run_id,entry.params.share_rank_min,entry.params.min_abs_return_ticks,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
27,0.35,4,0.006,2.5,234,234,234,0,0,0,0,0,0,0,234,58.65808776219277,21373.75,1.3508494747209454,0.06746964999108497,4005.0,0.025345294033888653,0.03395668415388475,1.3397628809704079,0.5341880341880342,0,0,True,-1730.0,0.12345751213521258,5,False,preferred_min_total_trades
28,0.45,2,0.003,1.5,207,207,207,0,0,0,0,0,0,0,207,51.89091032144384,16333.75,1.315856901136089,0.10463193314593701,6642.5,0.04170296252697665,0.026249213139573513,0.6294328160162128,0.5169082125603864,0,0,True,-930.0,0.08387541134154741,5,False,preferred_min_total_trades
29,0.45,2,0.003,2.0,207,207,207,0,0,0,0,0,0,0,207,51.89091032144384,16352.5,1.3092086603006523,0.10718999988915355,5810.0,0.03658402203856749,0.026278211692971842,0.7182975033545768,0.5072463768115942,0,0,True,-930.0,0.10747592111297967,5,False,preferred_min_total_trades
30,0.45,2,0.003,2.5,207,207,207,0,0,0,0,0,0,0,207,51.89091032144384,16065.0,1.3022435445181317,0.10698860303097801,5992.5,0.03742827028926104,0.02583329779540966,0.6902081660669683,0.5024154589371981,0,0,True,-930.0,0.1370214752567694,5,False,preferred_min_total_trades
31,0.45,2,0.004,1.5,207,207,207,0,0,0,0,0,0,0,207,51.89088558943973,13177.5,1.2282312188785451,0.06311994583472874,8467.5,0.05316485500137347,0.021332479419270856,0.401251530145615,0.5169082125603864,0,0,True,-1230.0,0.13384557010055018,5,False,preferred_min_total_trades
32,0.45,2,0.004,2.0,207,207,207,0,0,0,0,0,0,0,207,51.89088558943973,12277.5,1.2116627876907162,0.05942186345710545,9305.0,0.057984109674404115,0.019917436814703482,0.34349819160016565,0.5120772946859904,0,0,True,-1230.0,0.19201791895744247,5,False,min_mar;preferred_min_total_trades
33,0.45,2,0.004,2.5,207,207,207,0,0,0,0,0,0,0,207,51.89088558943973,12358.75,1.2130635290061202,0.059990877000390276,9642.5,0.05986806363989135,0.020045424847307203,0.3348266776737792,0.5120772946859904,0,0,True,-1230.0,0.18316981895418227,5,False,min_mar;preferred_min_total_trades
34,0.45,2,0.006,1.5,207,207,207,0,0,0,0,0,0,0,207,51.889846866555146,15346.25,1.2674844219791712,0.0509778526836816,7527.5,0.0467390545081999,0.024717969669794337,0.5288504427375145,0.5314009661835749,0,0,True,-1730.0,0.17235480980695608,5,False,preferred_min_total_trades
35,0.45,2,0.006,2.0,207,207,207,0,0,0,0,0,0,0,207,51.889846866555146,14102.5,1.2458059174691707,0.046390544595194184,7922.5,0.049026129735917946,0.022780286587757326,0.4646560254799766,0.5314009661835749,0,0,True,-1730.0,0.17780535366069847,5,False,preferred_min_total_trades
36,0.45,2,0.006,2.5,207,207,207,0,0,0,0,0,0,0,207,51.889846866555146,13827.5,1.2410126802910801,0.045306052827472604,7922.5,0.04910970261432844,0.022350369465018227,0.45511107327490097,0.5314009661835749,0,0,True,-1730.0,0.1813415295606581,5,False,preferred_min_total_trades
37,0.45,3,0.003,1.5,203,203,203,0,0,0,0,0,0,0,203,50.88818741668164,16728.75,1.333640805743917,0.10860261041473399,6363.75,0.04003334145900337,0.02685959899349899,0.6709307296020965,0.5172413793103449,0,0,True,-930.0,0.08189494134349548,5,False,preferred_min_total_trades
38,0.45,3,0.003,2.0,203,203,203,0,0,0,0,0,0,0,203,50.88818741668164,16747.5,1.3263824604141292,0.1112110824139745,5377.5,0.033929050270517534,0.026888546055523044,0.7924933306750322,0.5073891625615764,0,0,True,-930.0,0.10494103597551874,5,False,preferred_min_total_trades
39,0.45,3,0.003,2.5,203,203,203,0,0,0,0,0,0,0,203,50.88818741668164,16460.0,1.3191159364094611,0.11100571714480038,5325.0,0.03332577114739222,0.02644442280846926,0.793512704972727,0.5024630541871922,0,0,True,-930.0,0.13373329283110572,5,False,preferred_min_total_trades
40,0.45,3,0.004,1.5,203,203,203,0,0,0,0,0,0,0,203,50.88816316259066,14085.0,1.2530883608103858,0.06823959949723998,8171.25,0.051408079648314314,0.02275340492367972,0.4426036739620911,0.5172413793103449,0,0,True,-1230.0,0.1252218672346468,5,False,preferred_min_total_trades
41,0.45,3,0.004,2.0,203,203,203,0,0,0,0,0,0,0,203,50.88816316259066,13185.0,1.235783261802575,0.0644686485013384,8615.0,0.05379163934938029,0.021344246842944115,0.39679487558116244,0.5123152709359606,0,0,True,-1230.0,0.17880166856276072,5,False,min_mar;preferred_min_total_trades
42,0.45,3,0.004,2.5,203,203,203,0,0,0,0,0,0,0,203,50.88816316259066,13266.25,1.2372362303290414,0.0650488741341461,8762.5,0.05451265222327636,0.021471701297580914,0.39388472990886164,0.5123152709359606,0,0,True,-1230.0,0.1706397814001696,5,False,min_mar;preferred_min_total_trades
43,0.45,3,0.006,1.5,203,203,203,0,0,0,0,0,0,0,203,50.887144511645864,16316.25,1.29545043005885,0.05464971779043905,6747.5,0.04197936027747751,0.026221601230178804,0.6246307961068918,0.5320197044334976,0,0,True,-1730.0,0.16210832758752777,5,False,preferred_min_total_trades
44,0.45,3,0.006,2.0,203,203,203,0,0,0,0,0,0,0,203,50.887144511645864,15072.5,1.2729289271163422,0.04997201939478932,8000.0,0.04960394351350932,0.024292424424785297,0.48972768502103886,0.5320197044334976,0,0,True,-1730.0,0.16636258085918063,5,False,preferred_min_total_trades
45,0.45,3,0.006,2.5,203,203,203,0,0,0,0,0,0,0,203,50.887144511645864,14797.5,1.267949298325034,0.04886615833115205,8000.0,0.0496886694305989,0.023864403285347446,0.4802785737436441,0.5320197044334976,0,0,True,-1730.0,0.16945429971278933,5,False,preferred_min_total_trades
46,0.45,4,0.003,1.5,193,193,193,0,0,0,0,0,0,0,193,48.381380154776146,15791.25,1.3277212825568123,0.10741747423919344,5578.75,0.035375432978495734,0.025409125643071517,0.7182703787263154,0.5233160621761658,0,0,True,-930.0,0.08675690651468376,5,False,min_trades_per_year;preferred_min_total_trades
47,0.45,4,0.003,2.0,193,193,193,0,0,0,0,0,0,0,193,48.381380154776146,15460.0,1.3132249404852352,0.10764205818032531,5142.5,0.032758428487251766,0.024895155655876744,0.7599618420512728,0.5129533678756477,0,0,True,-930.0,0.11368046571798189,5,False,min_trades_per_year;preferred_min_total_trades
48,0.45,4,0.003,2.5,193,193,193,0,0,0,0,0,0,0,193,48.381380154776146,15172.5,1.305743073047859,0.10742605222362922,4677.5,0.029552759810773883,0.024448443125851815,0.827281217808253,0.5077720207253886,0,0,True,-930.0,0.14508156203657935,5,False,min_trades_per_year;preferred_min_total_trades
49,0.45,4,0.004,1.5,193,193,193,0,0,0,0,0,0,0,193,48.38135709546796,13247.5,1.2487910230527255,0.0673429927116362,6740.0,0.042810299243356546,0.0214422929503022,0.5008676259984258,0.5233160621761658,0,0,True,-1230.0,0.13313832798641254,5,False,min_trades_per_year;preferred_min_total_trades
50,0.45,4,0.004,2.0,193,193,193,0,0,0,0,0,0,0,193,48.38135709546796,12347.5,1.2307297019527235,0.0633766556537708,7577.5,0.0477638753191087,0.020027706290403957,0.41930656079724654,0.5181347150259067,0,0,True,-1230.0,0.1909293379226564,5,False,min_trades_per_year;preferred_min_total_trades
51,0.45,4,0.004,2.5,193,193,193,0,0,0,0,0,0,0,193,48.38135709546796,12428.75,1.2322479678594787,0.06398694479086904,7915.0,0.04970718917306454,0.020155652979854777,0.4054876832741284,0.5181347150259067,0,0,True,-1230.0,0.1821381876697174,5,False,min_trades_per_year;preferred_min_total_trades
52,0.45,4,0.006,1.5,193,193,193,0,0,0,0,0,0,0,193,48.38038862437267,15866.25,1.302603347160635,0.056191471936505026,5500.0,0.03454258551252561,0.025524859616520956,0.7389388847938234,0.538860103626943,0,0,True,-1730.0,0.16670605845741748,5,False,min_trades_per_year;preferred_min_total_trades
53,0.45,4,0.006,2.0,193,193,193,0,0,0,0,0,0,0,193,48.38038862437267,14622.5,1.2788823725742622,0.05127140574833459,6117.5,0.03829001517830598,0.02359174746233972,0.616133144697893,0.538860103626943,0,0,True,-1730.0,0.17148230466746453,5,False,min_trades_per_year;preferred_min_total_trades
54,0.45,4,0.006,2.5,193,193,193,0,0,0,0,0,0,0,193,48.38038862437267,14347.5,1.27363753397225,0.05010824618399072,6117.5,0.038356035550260986,0.023162849175228928,0.6038905961716714,0.538860103626943,0,0,True,-1730.0,0.17476912354068652,5,False,min_trades_per_year;preferred_min_total_trades
55,0.55,2,0.003,1.5,185,185,185,0,0,0,0,0,0,0,185,46.37593434525174,18525.0,1.4053832266535369,0.1295258196875262,5603.75,0.03547828013833601,0.029621720277039687,0.8349254857208249,0.5297297297297298,0,0,True,-930.0,0.07395411605937922,5,False,min_trades_per_year;preferred_min_total_trades
56,0.55,2,0.003,2.0,185,185,185,0,0,0,0,0,0,0,185,46.37593434525174,19100.0,1.4075101344143375,0.1362490928233723,5065.0,0.03199014716099286,0.03050124434523016,0.9534574565015383,0.518918918918919,0,0,True,-930.0,0.09201570680628272,5,False,min_trades_per_year;preferred_min_total_trades
57,0.55,2,0.003,2.5,185,185,185,0,0,0,0,0,0,0,185,46.37593434525174,19262.5,1.4086449217714134,0.14016405659183812,4797.5,0.030055051331647077,0.030749399282266943,1.0231025375055254,0.5135135135135135,0,0,True,-930.0,0.11427644386761843,5,False,min_trades_per_year;preferred_min_total_trades
58,0.55,2,0.004,1.5,185,185,185,0,0,0,0,0,0,0,185,46.37591224176981,16137.5,1.3132126740744334,0.08385228538329474,7722.5,0.048634563761030945,0.02594553533722288,0.5334793474185958,0.5297297297297298,0,0,True,-1230.0,0.10929512006196747,5,False,min_trades_per_year;preferred_min_total_trades
59,0.55,2,0.004,2.0,185,185,185,0,0,0,0,0,0,0,185,46.37591224176981,15675.0,1.3026646070670014,0.08276586958256087,8122.5,0.05076800475022267,0.025228826804960747,0.49694343768454075,0.5243243243243243,0,0,True,-1230.0,0.15039872408293462,5,False,min_trades_per_year;preferred_min_total_trades
60,0.55,2,0.004,2.5,185,185,185,0,0,0,0,0,0,0,185,46.37591224176981,15756.25,1.3042334427495657,0.08340254960126335,8460.0,0.05268402042595591,0.025354843520100534,0.48126250265457965,0.5243243243243243,0,0,True,-1230.0,0.1436731455771519,5,False,min_trades_per_year;preferred_min_total_trades
61,0.55,2,0.006,1.5,185,185,185,0,0,0,0,0,0,0,185,46.374983914554115,18656.25,1.364059908283735,0.0673034565893268,6595.0,0.04107210973321812,0.029822058820569763,0.7260902596501004,0.5459459459459459,0,0,True,-1730.0,0.1417755443886097,5,False,min_trades_per_year;preferred_min_total_trades
62,0.55,2,0.006,2.0,185,185,185,0,0,0,0,0,0,0,185,46.374983914554115,17412.5,1.3397892477314859,0.06217063078220844,6907.5,0.042873103063029515,0.027913048254991857,0.651062000666379,0.5459459459459459,0,0,True,-1730.0,0.14400574300071786,5,False,min_trades_per_year;preferred_min_total_trades
