trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,price_reference,level_reference,prev_rth_high,current_close,close_above_prev_rth_high_points,min_close_above_prev_high_ticks,hour_window_minutes,hour_window_start_timestamp,hour_window_end_timestamp,hour_open,hour_close,hour_return_points,hour_return_ticks,hour_signed_volume_delta,hour_volume,hour_delta_ratio,min_negative_hour_ticks,min_hour_delta,positive_delta_dislocation_signal_timestamp,positive_delta_dislocation_intended_entry_timestamp,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
11,positive_delta_dislocation,2011-09-07,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2171.25,2195.75,24.5,1.0,60,2011-09-07 09:30:00-04:00,2011-09-07 10:30:00-04:00,2197.75,2195.75,-2.0,-8.0,2684.0,58848.0,0.045609026644915715,1.0,500.0,2011-09-07 10:30:00-04:00,2011-09-07 10:30:00-04:00,16:00:00,2171.25,2011-09-07 09:30:00-04:00,2198.0,2195.25,2011-09-07 10:30:00-04:00,2011-09-07 10:30:00-04:00,2196.0,1696.0,2696.0,500.0,1,27.0,3.0,fixed_contracts,2011-09-07 16:00:00-04:00,2222.75,eod_flatten,535.0,530.0,0.0535,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
12,positive_delta_dislocation,2011-09-13,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2192.5,2211.0,18.5,1.0,60,2011-09-13 14:30:00-04:00,2011-09-13 15:30:00-04:00,2219.5,2211.0,-8.5,-34.0,5035.0,49439.0,0.10184267481138373,1.0,500.0,2011-09-13 15:30:00-04:00,2011-09-13 15:30:00-04:00,16:00:00,2192.5,2011-09-13 14:30:00-04:00,2211.75,2207.75,2011-09-13 15:30:00-04:00,2011-09-13 15:30:00-04:00,2211.5,1711.5,2711.5,500.0,1,8.25,0.75,fixed_contracts,2011-09-13 16:00:00-04:00,2214.75,eod_flatten,65.0,60.0,0.0065,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
13,positive_delta_dislocation,2011-09-16,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2285.0,2293.0,8.0,1.0,60,2011-09-16 14:30:00-04:00,2011-09-16 15:30:00-04:00,2293.5,2293.0,-0.5,-2.0,611.0,16963.0,0.0360195720096681,1.0,500.0,2011-09-16 15:30:00-04:00,2011-09-16 15:30:00-04:00,16:00:00,2285.0,2011-09-16 14:30:00-04:00,2294.25,2292.75,2011-09-16 15:30:00-04:00,2011-09-16 15:30:00-04:00,2293.25,1793.25,2793.25,500.0,1,7.5,0.5,fixed_contracts,2011-09-16 16:00:00-04:00,2300.0,eod_flatten,135.0,130.0,0.0135,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
14,positive_delta_dislocation,2011-09-27,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2230.5,2259.0,28.5,1.0,60,2011-09-27 09:30:00-04:00,2011-09-27 10:30:00-04:00,2264.75,2259.0,-5.75,-23.0,3340.0,84994.0,0.039296891545285546,1.0,500.0,2011-09-27 10:30:00-04:00,2011-09-27 10:30:00-04:00,16:00:00,2230.5,2011-09-27 09:30:00-04:00,2261.5,2258.5,2011-09-27 10:30:00-04:00,2011-09-27 10:30:00-04:00,2259.25,1759.25,2759.25,500.0,1,26.0,24.0,fixed_contracts,2011-09-27 16:00:00-04:00,2249.25,eod_flatten,-200.0,-205.0,-0.02,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
15,positive_delta_dislocation,2011-10-14,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2326.25,2348.25,22.0,1.0,60,2011-10-14 09:30:00-04:00,2011-10-14 10:30:00-04:00,2352.5,2348.25,-4.25,-17.0,2575.0,77557.0,0.03320138736671094,1.0,500.0,2011-10-14 10:30:00-04:00,2011-10-14 10:30:00-04:00,16:00:00,2326.25,2011-10-14 09:30:00-04:00,2349.5,2348.0,2011-10-14 10:30:00-04:00,2011-10-14 10:30:00-04:00,2348.5,1848.5,2848.5,500.0,1,18.0,9.5,fixed_contracts,2011-10-14 16:00:00-04:00,2365.75,eod_flatten,345.0,340.0,0.0345,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
16,positive_delta_dislocation,2011-12-02,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2315.5,2328.0,12.5,1.0,60,2011-12-02 09:30:00-05:00,2011-12-02 10:30:00-05:00,2331.25,2328.0,-3.25,-13.0,2176.0,50276.0,0.04328108839207574,1.0,500.0,2011-12-02 10:30:00-05:00,2011-12-02 10:30:00-05:00,16:00:00,2315.5,2011-12-02 09:30:00-05:00,2328.25,2326.75,2011-12-02 10:30:00-05:00,2011-12-02 10:30:00-05:00,2328.25,1828.25,2828.25,500.0,1,2.0,27.5,fixed_contracts,2011-12-02 16:00:00-05:00,2301.75,eod_flatten,-530.0,-535.0,-0.053,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
17,positive_delta_dislocation,2011-12-20,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2247.0,2274.0,27.0,1.0,60,2011-12-20 13:30:00-05:00,2011-12-20 14:30:00-05:00,2276.25,2274.0,-2.25,-9.0,540.0,10526.0,0.051301539046171386,1.0,500.0,2011-12-20 14:30:00-05:00,2011-12-20 14:30:00-05:00,16:00:00,2247.0,2011-12-20 13:30:00-05:00,2274.25,2273.25,2011-12-20 14:30:00-05:00,2011-12-20 14:30:00-05:00,2274.25,1774.25,2774.25,500.0,1,4.75,2.5,fixed_contracts,2011-12-20 16:00:00-05:00,2276.5,eod_flatten,45.0,40.0,0.0045,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
18,positive_delta_dislocation,2011-12-23,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2263.5,2265.0,1.5,1.0,60,2011-12-23 09:30:00-05:00,2011-12-23 10:30:00-05:00,2266.0,2265.0,-1.0,-4.0,1437.0,20007.0,0.07182486129854551,1.0,500.0,2011-12-23 10:30:00-05:00,2011-12-23 10:30:00-05:00,16:00:00,2263.5,2011-12-23 09:30:00-05:00,2265.5,2265.0,2011-12-23 10:30:00-05:00,2011-12-23 10:30:00-05:00,2265.5,1765.5,2765.5,500.0,1,17.0,2.0,fixed_contracts,2011-12-23 16:00:00-05:00,2281.75,eod_flatten,325.0,320.0,0.0325,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
19,positive_delta_dislocation,2012-01-03,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2284.5,2320.25,35.75,1.0,60,2012-01-03 11:30:00-05:00,2012-01-03 12:30:00-05:00,2324.5,2320.25,-4.25,-17.0,550.0,16396.0,0.03354476701634545,1.0,500.0,2012-01-03 12:30:00-05:00,2012-01-03 12:30:00-05:00,16:00:00,2284.5,2012-01-03 11:30:00-05:00,2320.25,2319.25,2012-01-03 12:30:00-05:00,2012-01-03 12:30:00-05:00,2320.25,1820.25,2820.25,500.0,1,4.75,9.75,fixed_contracts,2012-01-03 16:00:00-05:00,2316.0,eod_flatten,-85.0,-90.0,-0.0085,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
20,positive_delta_dislocation,2012-01-17,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2369.75,2398.25,28.5,1.0,60,2012-01-17 11:30:00-05:00,2012-01-17 12:30:00-05:00,2400.0,2398.25,-1.75,-7.0,590.0,15270.0,0.038637851997380485,1.0,500.0,2012-01-17 12:30:00-05:00,2012-01-17 12:30:00-05:00,16:00:00,2369.75,2012-01-17 11:30:00-05:00,2398.5,2398.25,2012-01-17 12:30:00-05:00,2012-01-17 12:30:00-05:00,2398.5,1898.5,2898.5,500.0,1,0.0,16.75,fixed_contracts,2012-01-17 16:00:00-05:00,2389.25,eod_flatten,-185.0,-190.0,-0.0185,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
21,positive_delta_dislocation,2012-01-23,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2435.25,2437.5,2.25,1.0,60,2012-01-23 10:30:00-05:00,2012-01-23 11:30:00-05:00,2444.25,2437.5,-6.75,-27.0,650.0,24548.0,0.026478735538536743,1.0,500.0,2012-01-23 11:30:00-05:00,2012-01-23 11:30:00-05:00,16:00:00,2435.25,2012-01-23 10:30:00-05:00,2438.75,2437.5,2012-01-23 11:30:00-05:00,2012-01-23 11:30:00-05:00,2437.75,1937.75,2937.75,500.0,1,0.25,17.0,fixed_contracts,2012-01-23 16:00:00-05:00,2434.5,eod_flatten,-65.0,-70.0,-0.0065,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
22,positive_delta_dislocation,2012-03-07,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2594.75,2606.75,12.0,1.0,60,2012-03-07 14:30:00-05:00,2012-03-07 15:30:00-05:00,2611.0,2606.75,-4.25,-17.0,2325.0,33379.0,0.0696545732346685,1.0,500.0,2012-03-07 15:30:00-05:00,2012-03-07 15:30:00-05:00,16:00:00,2594.75,2012-03-07 14:30:00-05:00,2607.0,2605.75,2012-03-07 15:30:00-05:00,2012-03-07 15:30:00-05:00,2607.0,2107.0,3107.0,500.0,1,6.25,1.25,fixed_contracts,2012-03-07 16:00:00-05:00,2609.0,eod_flatten,40.0,35.0,0.004,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
23,positive_delta_dislocation,2012-03-08,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2614.5,2621.25,6.75,1.0,60,2012-03-08 09:30:00-05:00,2012-03-08 10:30:00-05:00,2623.25,2621.25,-2.0,-8.0,8594.0,58568.0,0.1467354186586532,1.0,500.0,2012-03-08 10:30:00-05:00,2012-03-08 10:30:00-05:00,16:00:00,2614.5,2012-03-08 09:30:00-05:00,2621.25,2619.25,2012-03-08 10:30:00-05:00,2012-03-08 10:30:00-05:00,2621.5,2121.5,3121.5,500.0,1,22.75,1.0,fixed_contracts,2012-03-08 16:00:00-05:00,2635.75,eod_flatten,285.0,280.0,0.0285,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
24,positive_delta_dislocation,2012-03-13,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2644.25,2658.25,14.0,1.0,60,2012-03-13 09:30:00-04:00,2012-03-13 10:30:00-04:00,2659.5,2658.25,-1.25,-5.0,5721.0,71841.0,0.0796341921743851,1.0,500.0,2012-03-13 10:30:00-04:00,2012-03-13 10:30:00-04:00,16:00:00,2644.25,2012-03-13 09:30:00-04:00,2659.25,2658.25,2012-03-13 10:30:00-04:00,2012-03-13 10:30:00-04:00,2658.75,2158.75,3158.75,500.0,1,35.75,0.25,fixed_contracts,2012-03-13 16:00:00-04:00,2694.0,eod_flatten,705.0,700.0,0.0705,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
25,positive_delta_dislocation,2012-03-21,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2736.5,2741.25,4.75,1.0,60,2012-03-21 12:30:00-04:00,2012-03-21 13:30:00-04:00,2742.25,2741.25,-1.0,-4.0,545.0,13477.0,0.04043926689916153,1.0,500.0,2012-03-21 13:30:00-04:00,2012-03-21 13:30:00-04:00,16:00:00,2736.5,2012-03-21 12:30:00-04:00,2741.75,2741.0,2012-03-21 13:30:00-04:00,2012-03-21 13:30:00-04:00,2741.5,2241.5,3241.5,500.0,1,7.0,8.0,fixed_contracts,2012-03-21 16:00:00-04:00,2733.25,eod_flatten,-165.0,-170.0,-0.0165,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
26,positive_delta_dislocation,2012-04-12,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2723.75,2732.0,8.25,1.0,60,2012-04-12 12:30:00-04:00,2012-04-12 13:30:00-04:00,2733.75,2732.0,-1.75,-7.0,960.0,19256.0,0.04985459077690071,1.0,500.0,2012-04-12 13:30:00-04:00,2012-04-12 13:30:00-04:00,16:00:00,2723.75,2012-04-12 12:30:00-04:00,2732.25,2731.5,2012-04-12 13:30:00-04:00,2012-04-12 13:30:00-04:00,2732.5,2232.5,3232.5,500.0,1,7.25,5.5,fixed_contracts,2012-04-12 16:00:00-04:00,2736.5,eod_flatten,80.0,75.0,0.008,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
27,positive_delta_dislocation,2012-04-25,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2655.5,2698.0,42.5,1.0,60,2012-04-25 10:30:00-04:00,2012-04-25 11:30:00-04:00,2699.75,2698.0,-1.75,-7.0,1612.0,35802.0,0.04502541757443718,1.0,500.0,2012-04-25 11:30:00-04:00,2012-04-25 11:30:00-04:00,16:00:00,2655.5,2012-04-25 10:30:00-04:00,2698.0,2696.75,2012-04-25 11:30:00-04:00,2012-04-25 11:30:00-04:00,2698.0,2198.0,3198.0,500.0,1,7.75,6.75,fixed_contracts,2012-04-25 16:00:00-04:00,2705.0,eod_flatten,140.0,135.0,0.014,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
28,positive_delta_dislocation,2012-05-01,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2734.25,2746.0,11.75,1.0,60,2012-05-01 11:30:00-04:00,2012-05-01 12:30:00-04:00,2746.25,2746.0,-0.25,-1.0,1691.0,14625.0,0.11562393162393163,1.0,500.0,2012-05-01 12:30:00-04:00,2012-05-01 12:30:00-04:00,16:00:00,2734.25,2012-05-01 11:30:00-04:00,2746.5,2745.5,2012-05-01 12:30:00-04:00,2012-05-01 12:30:00-04:00,2746.0,2246.0,3246.0,500.0,1,1.0,24.25,fixed_contracts,2012-05-01 16:00:00-04:00,2722.25,eod_flatten,-475.0,-480.0,-0.0475,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
29,positive_delta_dislocation,2012-05-21,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2521.25,2529.0,7.75,1.0,60,2012-05-21 13:30:00-04:00,2012-05-21 14:30:00-04:00,2529.25,2529.0,-0.25,-1.0,2170.0,21442.0,0.10120324596586139,1.0,500.0,2012-05-21 14:30:00-04:00,2012-05-21 14:30:00-04:00,16:00:00,2521.25,2012-05-21 13:30:00-04:00,2530.0,2528.5,2012-05-21 14:30:00-04:00,2012-05-21 14:30:00-04:00,2529.0,2029.0,3029.0,500.0,1,17.0,0.5,fixed_contracts,2012-05-21 16:00:00-04:00,2542.25,eod_flatten,265.0,260.0,0.0265,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
