point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
45,2013-06-27 16:00:00-04:00,45,-135.0,1530.0,151530.0,151990.0,460.0,0.0030265149022962036
46,2013-07-01 16:00:00-04:00,46,-350.0,1180.0,151180.0,151990.0,810.0,0.005329297980130271
47,2013-07-15 16:00:00-04:00,47,-10.0,1170.0,151170.0,151990.0,820.0,0.005395091782354102
48,2013-08-02 16:00:00-04:00,48,145.0,1315.0,151315.0,151990.0,675.0,0.004441081650108559
49,2013-08-26 16:00:00-04:00,49,-425.0,890.0,150890.0,151990.0,1100.0,0.0072373182446213566
50,2013-09-04 16:00:00-04:00,50,40.0,930.0,150930.0,151990.0,1060.0,0.0069741430357260345
51,2013-09-19 16:00:00-04:00,51,-35.0,895.0,150895.0,151990.0,1095.0,0.007204421343509441
52,2013-09-20 16:00:00-04:00,52,-390.0,505.0,150505.0,151990.0,1485.0,0.00977037963023883
53,2013-10-11 16:00:00-04:00,53,30.0,535.0,150535.0,151990.0,1455.0,0.00957299822356734
54,2013-10-16 16:00:00-04:00,54,35.0,570.0,150570.0,151990.0,1420.0,0.009342719915783932
55,2013-10-21 16:00:00-04:00,55,15.0,585.0,150585.0,151990.0,1405.0,0.009244029212448187
56,2013-11-13 16:00:00-05:00,56,360.0,945.0,150945.0,151990.0,1045.0,0.006875452332390289
57,2013-12-09 16:00:00-05:00,57,-10.0,935.0,150935.0,151990.0,1055.0,0.006941246134614119
58,2013-12-20 16:00:00-05:00,58,-95.0,840.0,150840.0,151990.0,1150.0,0.007566287255740509
59,2013-12-23 16:00:00-05:00,59,215.0,1055.0,151055.0,151990.0,935.0,0.006151720507928153
60,2014-01-30 16:00:00-05:00,60,380.0,1435.0,151435.0,151990.0,555.0,0.0036515560234225935
61,2014-02-07 16:00:00-05:00,61,970.0,2405.0,152405.0,152405.0,0.0,0.0
62,2014-03-06 16:00:00-05:00,62,-240.0,2165.0,152165.0,152405.0,240.0,0.0015747514845313474
63,2014-06-06 16:00:00-04:00,63,145.0,2310.0,152310.0,152405.0,95.0,0.0006233391292936583
64,2014-09-02 16:00:00-04:00,64,45.0,2355.0,152355.0,152405.0,50.0,0.0003280732259440307
65,2014-10-17 16:00:00-04:00,65,105.0,2460.0,152460.0,152460.0,0.0,0.0
66,2014-10-31 16:00:00-04:00,66,-30.0,2430.0,152430.0,152460.0,30.0,0.0001967729240456513
67,2014-11-13 16:00:00-05:00,67,205.0,2635.0,152635.0,152635.0,0.0,0.0
68,2014-11-21 16:00:00-05:00,68,-455.0,2180.0,152180.0,152635.0,455.0,0.002980967667966063
69,2015-01-23 16:00:00-05:00,69,10.0,2190.0,152190.0,152635.0,445.0,0.0029154518950437317
70,2015-03-20 16:00:00-04:00,70,5.0,2195.0,152195.0,152635.0,440.0,0.0028826940085825664
71,2015-08-10 16:00:00-04:00,71,5.0,2200.0,152200.0,152635.0,435.0,0.0028499361221214006
72,2015-10-22 16:00:00-04:00,72,110.0,2310.0,152310.0,152635.0,325.0,0.0021292626199757594
73,2015-10-23 16:00:00-04:00,73,20.0,2330.0,152330.0,152635.0,305.0,0.001998231074131097
74,2015-12-15 16:00:00-05:00,74,-420.0,1910.0,151910.0,152635.0,725.0,0.004749893536869001
75,2015-12-22 16:00:00-05:00,75,185.0,2095.0,152095.0,152635.0,540.0,0.0035378517378058766
76,2016-01-19 16:00:00-05:00,76,-885.0,1210.0,151210.0,152635.0,1425.0,0.009335997641432175
77,2016-02-16 16:00:00-05:00,77,655.0,1865.0,151865.0,152635.0,770.0,0.005044714515019491
78,2016-07-12 16:00:00-04:00,78,-120.0,1745.0,151745.0,152635.0,890.0,0.0058309037900874635
79,2016-07-14 16:00:00-04:00,79,-20.0,1725.0,151725.0,152635.0,910.0,0.005961935335932126
80,2016-12-09 16:00:00-05:00,80,210.0,1935.0,151935.0,152635.0,700.0,0.004586104104563174
81,2017-01-24 16:00:00-05:00,81,505.0,2440.0,152440.0,152635.0,195.0,0.0012775575719854554
82,2017-02-01 16:00:00-05:00,82,150.0,2590.0,152590.0,152635.0,45.0,0.00029482097815048975
83,2017-06-13 16:00:00-04:00,83,275.0,2865.0,152865.0,152865.0,0.0,0.0
84,2017-08-14 16:00:00-04:00,84,40.0,2905.0,152905.0,152905.0,0.0,0.0
85,2017-12-12 16:00:00-05:00,85,-15.0,2890.0,152890.0,152905.0,15.0,9.810012753016579e-05
86,2018-01-08 16:00:00-05:00,86,30.0,2920.0,152920.0,152920.0,0.0,0.0
87,2018-01-11 16:00:00-05:00,87,675.0,3595.0,153595.0,153595.0,0.0,0.0
88,2018-02-16 16:00:00-05:00,88,-890.0,2705.0,152705.0,153595.0,890.0,0.005794459455060386
89,2018-05-30 16:00:00-04:00,89,-55.0,2650.0,152650.0,153595.0,945.0,0.006152544028125916
90,2018-06-01 16:00:00-04:00,90,220.0,2870.0,152870.0,153595.0,725.0,0.004720205735863798
91,2018-06-12 16:00:00-04:00,91,610.0,3480.0,153480.0,153595.0,115.0,0.0007487222891370161
92,2018-08-07 16:00:00-04:00,92,30.0,3510.0,153510.0,153595.0,85.0,0.0005534034311012728
93,2018-08-16 16:00:00-04:00,93,-815.0,2695.0,152695.0,153595.0,900.0,0.0058595657410723005
94,2018-08-21 16:00:00-04:00,94,-705.0,1990.0,151990.0,153595.0,1605.0,0.01044955890491227
95,2018-09-11 16:00:00-04:00,95,400.0,2390.0,152390.0,153595.0,1205.0,0.00784530746443569
96,2018-09-13 16:00:00-04:00,96,190.0,2580.0,152580.0,153595.0,1015.0,0.006608288030209316
97,2018-10-01 16:00:00-04:00,97,-460.0,2120.0,152120.0,153595.0,1475.0,0.009603177186757381
98,2018-11-28 16:00:00-05:00,98,3860.0,5980.0,155980.0,155980.0,0.0,0.0
99,2019-03-26 16:00:00-04:00,99,-670.0,5310.0,155310.0,155980.0,670.0,0.004295422490062829
100,2019-06-18 16:00:00-04:00,100,-25.0,5285.0,155285.0,155980.0,695.0,0.004455699448647262
101,2019-06-20 16:00:00-04:00,101,525.0,5810.0,155810.0,155980.0,170.0,0.0010898833183741504
102,2019-07-01 16:00:00-04:00,102,260.0,6070.0,156070.0,156070.0,0.0,0.0
103,2019-09-05 16:00:00-04:00,103,225.0,6295.0,156295.0,156295.0,0.0,0.0
104,2019-09-11 16:00:00-04:00,104,190.0,6485.0,156485.0,156485.0,0.0,0.0
105,2019-11-01 16:00:00-04:00,105,395.0,6880.0,156880.0,156880.0,0.0,0.0
106,2019-11-15 16:00:00-05:00,106,165.0,7045.0,157045.0,157045.0,0.0,0.0
107,2020-01-02 16:00:00-05:00,107,1405.0,8450.0,158450.0,158450.0,0.0,0.0
108,2020-03-03 16:00:00-05:00,108,-6075.0,2375.0,152375.0,158450.0,6075.0,0.03834017040075734
109,2020-03-24 16:00:00-04:00,109,3155.0,5530.0,155530.0,158450.0,2920.0,0.018428526349005995
110,2020-03-25 16:00:00-04:00,110,-3960.0,1570.0,151570.0,158450.0,6880.0,0.043420637425055225
111,2020-03-30 16:00:00-04:00,111,815.0,2385.0,152385.0,158450.0,6065.0,0.038277059009151154
112,2020-04-06 16:00:00-04:00,112,2530.0,4915.0,154915.0,158450.0,3535.0,0.02230987693278637
113,2020-04-29 16:00:00-04:00,113,750.0,5665.0,155665.0,158450.0,2785.0,0.0175765225623225
114,2020-05-07 16:00:00-04:00,114,425.0,6090.0,156090.0,158450.0,2360.0,0.01489428841905964
115,2020-05-18 16:00:00-04:00,115,-160.0,5930.0,155930.0,158450.0,2520.0,0.0159040706847586
116,2020-05-26 16:00:00-04:00,116,-2725.0,3205.0,153205.0,158450.0,5245.0,0.03310192489744399
117,2020-06-05 16:00:00-04:00,117,-330.0,2875.0,152875.0,158450.0,5575.0,0.03518460082044809
118,2020-07-02 16:00:00-04:00,118,-600.0,2275.0,152275.0,158450.0,6175.0,0.038971284316819184
119,2020-08-31 16:00:00-04:00,119,880.0,3155.0,153155.0,158450.0,5295.0,0.03341748185547491
120,2020-09-02 16:00:00-04:00,120,1245.0,4400.0,154400.0,158450.0,4050.0,0.02556011360050489
121,2020-09-10 16:00:00-04:00,121,-7175.0,-2775.0,147225.0,158450.0,11225.0,0.07084253707794257
122,2020-09-28 16:00:00-04:00,122,1255.0,-1520.0,148480.0,158450.0,9970.0,0.06292205743136636
