trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,share_mode,lookback_minutes,trend_lookback_minutes,rank_window,configured_direction,share_rank,share_value,es_pullback_return_ticks,trend_return_ticks,trend_start_timestamp,trend_end_timestamp,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,crowding_signal_timestamp,crowding_intended_entry_timestamp,signal_close_timestamp,intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,volatility_feature_csv,volatility_feature_session_date,volatility_gate_column,volatility_gate_value,volatility_gate_max,volatility_filter_result,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
11,volatility_filtered_trend_mes_participation_crowding,2025-09-04,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6547619047619048,0.3813304657808679,39.0,-45.0,2025-09-04 09:45:00-04:00,2025-09-04 10:15:00-04:00,0.55,3.0,4.0,2025-09-04 10:30:00-04:00,2025-09-04 10:30:00-04:00,2025-09-04 10:30:00-04:00,2025-09-04 10:30:00-04:00,0.003,2.5,12:00:00,6470.25,2025-09-04 10:29:00-04:00,6470.5,6468.75,2025-09-04 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-09-04,range10_rank_252,0.1865079365079365,0.95,passed,2025-09-04 10:30:00-04:00,6469.75,6482.75,6437.25,13.0,1,0.0,13.0,fixed_contracts,2025-09-04 11:17:00-04:00,6483.0,stop,-662.5,-667.5,-1.0192307692307692,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
12,volatility_filtered_trend_mes_participation_crowding,2025-10-01,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.7261904761904762,0.3891923174304626,36.0,-24.0,2025-10-01 09:45:00-04:00,2025-10-01 10:15:00-04:00,0.55,3.0,4.0,2025-10-01 10:30:00-04:00,2025-10-01 10:30:00-04:00,2025-10-01 10:30:00-04:00,2025-10-01 10:30:00-04:00,0.003,2.5,12:00:00,6730.5,2025-10-01 10:29:00-04:00,6732.25,6729.25,2025-10-01 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-10-01,range10_rank_252,0.25793650793650796,0.95,passed,2025-10-01 10:30:00-04:00,6730.25,6743.75,6696.5,13.5,1,2.75,14.5,fixed_contracts,2025-10-01 11:37:00-04:00,6744.0,stop,-687.5,-692.5,-1.0185185185185186,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
13,volatility_filtered_trend_mes_participation_crowding,2025-10-02,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5674603174603174,0.3717866823196312,5.0,-18.0,2025-10-02 09:45:00-04:00,2025-10-02 10:15:00-04:00,0.55,3.0,4.0,2025-10-02 10:30:00-04:00,2025-10-02 10:30:00-04:00,2025-10-02 10:30:00-04:00,2025-10-02 10:30:00-04:00,0.003,2.5,12:00:00,6761.5,2025-10-02 10:29:00-04:00,6762.75,6761.0,2025-10-02 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-10-02,range10_rank_252,0.2222222222222222,0.95,passed,2025-10-02 10:30:00-04:00,6761.0,6774.75,6726.625,13.75,1,19.5,3.75,fixed_contracts,2025-10-02 12:00:00-04:00,6757.75,eod_flatten,162.5,157.5,0.23636363636363636,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
14,volatility_filtered_trend_mes_participation_crowding,2025-10-03,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6031746031746031,0.3753776894530854,32.0,-8.0,2025-10-03 09:45:00-04:00,2025-10-03 10:15:00-04:00,0.55,3.0,4.0,2025-10-03 10:30:00-04:00,2025-10-03 10:30:00-04:00,2025-10-03 10:30:00-04:00,2025-10-03 10:30:00-04:00,0.003,2.5,12:00:00,6786.75,2025-10-03 10:29:00-04:00,6786.75,6785.5,2025-10-03 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-10-03,range10_rank_252,0.19444444444444445,0.95,passed,2025-10-03 10:30:00-04:00,6786.25,6800.0,6751.875,13.75,1,0.5,13.0,fixed_contracts,2025-10-03 12:00:00-04:00,6798.0,eod_flatten,-587.5,-592.5,-0.8545454545454545,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
15,volatility_filtered_trend_mes_participation_crowding,2025-10-13,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.75,0.3957966465048618,-55.0,45.0,2025-10-13 09:45:00-04:00,2025-10-13 10:15:00-04:00,0.55,3.0,4.0,2025-10-13 10:30:00-04:00,2025-10-13 10:30:00-04:00,2025-10-13 10:30:00-04:00,2025-10-13 10:30:00-04:00,0.003,2.5,12:00:00,6672.75,2025-10-13 10:29:00-04:00,6674.0,6671.5,2025-10-13 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-10-13,range10_rank_252,0.5793650793650794,0.95,passed,2025-10-13 10:30:00-04:00,6673.25,6659.75,6707.0,13.5,1,23.5,11.5,fixed_contracts,2025-10-13 12:00:00-04:00,6694.0,eod_flatten,1037.5,1032.5,1.537037037037037,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
16,volatility_filtered_trend_mes_participation_crowding,2025-10-16,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.7698412698412699,0.4083317537541332,45.0,-60.0,2025-10-16 09:45:00-04:00,2025-10-16 10:15:00-04:00,0.55,3.0,4.0,2025-10-16 10:30:00-04:00,2025-10-16 10:30:00-04:00,2025-10-16 10:30:00-04:00,2025-10-16 10:30:00-04:00,0.003,2.5,12:00:00,6732.25,2025-10-16 10:29:00-04:00,6732.75,6728.25,2025-10-16 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-10-16,range10_rank_252,0.7222222222222222,0.95,passed,2025-10-16 10:30:00-04:00,6732.25,6745.75,6698.5,13.5,1,1.5,16.5,fixed_contracts,2025-10-16 10:42:00-04:00,6746.0,stop,-687.5,-692.5,-1.0185185185185186,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
17,volatility_filtered_trend_mes_participation_crowding,2025-10-17,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.8571428571428571,0.4543983202834522,-32.0,181.0,2025-10-17 09:45:00-04:00,2025-10-17 10:15:00-04:00,0.55,3.0,4.0,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,0.003,2.5,12:00:00,6683.0,2025-10-17 10:29:00-04:00,6686.25,6681.0,2025-10-17 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-10-17,range10_rank_252,0.7698412698412699,0.95,passed,2025-10-17 10:30:00-04:00,6683.25,6669.75,6717.0,13.5,1,0.75,19.25,fixed_contracts,2025-10-17 10:35:00-04:00,6669.5,stop,-687.5,-692.5,-1.0185185185185186,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
18,volatility_filtered_trend_mes_participation_crowding,2025-11-06,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6468253968253969,0.3778953812128512,59.0,-117.0,2025-11-06 09:45:00-05:00,2025-11-06 10:15:00-05:00,0.55,3.0,4.0,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,0.003,2.5,12:00:00,6792.75,2025-11-06 10:29:00-05:00,6796.5,6791.5,2025-11-06 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-11-06,range10_rank_252,0.2976190476190476,0.95,passed,2025-11-06 10:30:00-05:00,6792.25,6806.0,6757.875,13.75,1,35.5,1.75,fixed_contracts,2025-11-06 10:44:00-05:00,6758.125,target,1706.25,1701.25,2.481818181818182,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
19,volatility_filtered_trend_mes_participation_crowding,2025-11-07,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6984126984126984,0.384800176564463,-25.0,45.0,2025-11-07 09:45:00-05:00,2025-11-07 10:15:00-05:00,0.55,3.0,4.0,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,0.003,2.5,12:00:00,6703.25,2025-11-07 10:29:00-05:00,6707.25,6700.75,2025-11-07 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-11-07,range10_rank_252,0.39285714285714285,0.95,passed,2025-11-07 10:30:00-05:00,6703.5,6690.0,6737.25,13.5,1,3.5,15.0,fixed_contracts,2025-11-07 10:41:00-05:00,6689.75,stop,-687.5,-692.5,-1.0185185185185186,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
20,volatility_filtered_trend_mes_participation_crowding,2025-11-13,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5912698412698413,0.373466788802252,-60.0,107.0,2025-11-13 09:45:00-05:00,2025-11-13 10:15:00-05:00,0.55,3.0,4.0,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,0.003,2.5,12:00:00,6831.0,2025-11-13 10:29:00-05:00,6833.0,6829.75,2025-11-13 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-11-13,range10_rank_252,0.5555555555555556,0.95,passed,2025-11-13 10:30:00-05:00,6831.25,6817.5,6865.625,13.75,1,0.75,17.5,fixed_contracts,2025-11-13 10:37:00-05:00,6817.25,stop,-700.0,-705.0,-1.018181818181818,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
21,volatility_filtered_trend_mes_participation_crowding,2025-11-17,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.7222222222222222,0.3903462100027222,13.0,-9.0,2025-11-17 09:45:00-05:00,2025-11-17 10:15:00-05:00,0.55,3.0,4.0,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,0.003,2.5,12:00:00,6758.25,2025-11-17 10:29:00-05:00,6760.75,6756.75,2025-11-17 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-11-17,range10_rank_252,0.6944444444444444,0.95,passed,2025-11-17 10:30:00-05:00,6757.75,6771.5,6723.375,13.75,1,35.25,3.75,fixed_contracts,2025-11-17 11:14:00-05:00,6723.625,target,1706.25,1701.25,2.481818181818182,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
22,volatility_filtered_trend_mes_participation_crowding,2025-12-02,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.7420634920634921,0.3975292300904478,-56.0,23.0,2025-12-02 09:45:00-05:00,2025-12-02 10:15:00-05:00,0.55,3.0,4.0,2025-12-02 10:30:00-05:00,2025-12-02 10:30:00-05:00,2025-12-02 10:30:00-05:00,2025-12-02 10:30:00-05:00,0.003,2.5,12:00:00,6840.75,2025-12-02 10:29:00-05:00,6842.5,6838.75,2025-12-02 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-12-02,range10_rank_252,0.8571428571428571,0.95,passed,2025-12-02 10:30:00-05:00,6840.75,6827.0,6875.125,13.75,1,22.75,15.5,fixed_contracts,2025-12-02 11:24:00-05:00,6826.75,stop,-700.0,-705.0,-1.018181818181818,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
23,volatility_filtered_trend_mes_participation_crowding,2025-12-04,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.8174603174603174,0.433699063765861,17.0,-28.0,2025-12-04 09:45:00-05:00,2025-12-04 10:15:00-05:00,0.55,3.0,4.0,2025-12-04 10:30:00-05:00,2025-12-04 10:30:00-05:00,2025-12-04 10:30:00-05:00,2025-12-04 10:30:00-05:00,0.003,2.5,12:00:00,6858.75,2025-12-04 10:29:00-05:00,6859.5,6857.0,2025-12-04 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-12-04,range10_rank_252,0.7976190476190477,0.95,passed,2025-12-04 10:30:00-05:00,6858.75,6872.5,6824.375,13.75,1,13.75,10.0,fixed_contracts,2025-12-04 12:00:00-05:00,6867.5,eod_flatten,-437.5,-442.5,-0.6363636363636364,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
24,volatility_filtered_trend_mes_participation_crowding,2025-12-19,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5555555555555556,0.3748572287345957,-16.0,10.0,2025-12-19 09:45:00-05:00,2025-12-19 10:15:00-05:00,0.55,3.0,4.0,2025-12-19 10:30:00-05:00,2025-12-19 10:30:00-05:00,2025-12-19 10:30:00-05:00,2025-12-19 10:30:00-05:00,0.003,2.5,12:00:00,6874.5,2025-12-19 10:29:00-05:00,6877.0,6874.0,2025-12-19 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-12-19,range10_rank_252,0.48412698412698413,0.95,passed,2025-12-19 10:30:00-05:00,6874.75,6861.0,6909.125,13.75,1,13.5,6.75,fixed_contracts,2025-12-19 12:00:00-05:00,6879.5,eod_flatten,237.5,232.5,0.34545454545454546,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
