wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.rank_threshold,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,21,False,33,0.7,0.0,0.004,2.0,353,353,353,0,0,0,0,0,0,0,353,88.79275746300777,5260.0,1.0766317016317015,0.040627416777195245,7625.0,0.049825203384846604,0.00870714093031566,0.1747537458715878,0.43909348441926344,0,0,True,-617.5,0.22005703422053233,11,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,22,False,24,0.65,0.02,0.004,2.0,268,268,268,0,0,0,0,0,0,0,268,67.45900623347411,3697.5,1.0708740655549167,0.04272500015241423,5507.5,0.03563686952020447,0.006148302765555558,0.1725264549982358,0.44402985074626866,0,0,True,-617.5,0.30628803245436104,8,False,min_profit_factor;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,23,False,4,0.65,0.0,0.004,1.0,430,430,430,0,0,0,0,0,0,0,430,108.16114931754488,4700.0,1.0649754613948987,0.03561794726992338,7482.5,0.047810737847638216,0.007790744421125595,0.16294967975505625,0.5186046511627908,0,0,True,-617.5,0.12127659574468085,6,False,min_profit_factor;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,24,False,60,0.75,0.0,0.004,2.0,300,300,300,0,0,0,0,0,0,0,300,75.461266965729,4787.5,1.0791976840363937,0.046001412443164455,7602.5,0.04904285000080636,0.007934094863141672,0.16177882939126131,0.43333333333333335,0,0,True,-617.5,0.24177545691906005,14,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,25,False,53,0.7,0.02,0.006,1.5,219,219,219,0,0,0,0,0,0,0,219,55.12481963690487,5073.75,1.112662373709337,0.041675774777707626,8617.5,0.05536548932684431,0.008408467369221073,0.15187199592118794,0.4657534246575342,0,0,True,-880.0,0.251539788125154,6,False,min_profit_factor;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,26,False,59,0.75,0.0,0.004,1.5,300,300,300,0,0,0,0,0,0,0,300,75.461266965729,3962.5,1.068496110630942,0.0380404388115847,6660.0,0.043409185344511526,0.006580087214965946,0.151582831208278,0.45,0,0,True,-617.5,0.21798107255520505,14,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,27,False,52,0.7,0.02,0.006,1.0,219,219,219,0,0,0,0,0,0,0,219,55.126930228217404,4392.5,1.1070884378618882,0.040120631625778676,7730.0,0.049587837187670396,0.0072918255597445025,0.14704867107125122,0.4931506849315068,0,0,True,-880.0,0.19237336368810473,6,False,min_profit_factor;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,28,False,40,0.7,0.01,0.004,1.0,300,300,300,0,0,0,0,0,0,0,300,75.51670419656894,4000.0,1.0794360043689804,0.03746338626633799,7147.5,0.046822030428587805,0.006646646184634397,0.1419555308429384,0.5133333333333333,0,0,True,-617.5,0.1425,7,False,min_profit_factor;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,29,False,67,0.75,0.01,0.004,1.0,252,252,252,0,0,0,0,0,0,0,252,63.434031525117916,3240.0,1.0733239038189533,0.038375315141128234,5910.0,0.03862555757070732,0.005393807523503602,0.1396434864048185,0.503968253968254,0,0,True,-617.5,0.17592592592592593,11,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,30,False,58,0.75,0.0,0.004,1.0,300,300,300,0,0,0,0,0,0,0,300,75.461266965729,3312.5,1.0632216814581543,0.03566013652481343,6192.5,0.040262020090374176,0.005509463449307805,0.13684021410105562,0.5033333333333333,0,0,True,-617.5,0.1720754716981132,14,False,min_profit_factor;min_mar;max_consecutive_losses
