DATE,OPEN,HIGH,LOW,CLOSE
08/25/2008,37.12,37.12,37.12,37.12
08/26/2008,36.72,36.72,36.72,36.72
08/27/2008,36.75,36.75,36.75,36.75
08/28/2008,36.49,36.49,36.49,36.49
08/29/2008,38.82,38.82,38.82,38.82
09/02/2008,40.18,40.18,40.18,40.18
09/03/2008,36.96,36.96,36.96,36.96
09/04/2008,39.85,39.85,39.85,39.85
09/05/2008,38.19,38.19,38.19,38.19
09/08/2008,37.65,37.65,37.65,37.65
09/09/2008,38.35,38.35,38.35,38.35
09/10/2008,38.34,38.34,38.34,38.34
09/11/2008,36.63,36.63,36.63,36.63
09/12/2008,38.69,38.69,38.69,38.69
09/15/2008,42.61,42.61,42.61,42.61
09/16/2008,40.68,40.68,40.68,40.68
09/17/2008,43.04,43.04,43.04,43.04
09/18/2008,39.92,39.92,39.92,39.92
09/19/2008,42.02,42.02,42.02,42.02
09/22/2008,48.17,48.17,48.17,48.17
09/23/2008,52.25,52.25,52.25,52.25
09/24/2008,52.2,52.2,52.2,52.2
09/25/2008,55.95,55.95,55.95,55.95
09/26/2008,59.17,59.17,59.17,59.17
09/29/2008,65.92,65.92,65.92,65.92
09/30/2008,60.89,60.89,60.89,60.89
10/01/2008,56.53,56.53,56.53,56.53
10/02/2008,58.76,58.76,58.76,58.76
10/03/2008,59.13,59.13,59.13,59.13
10/06/2008,62.05,62.05,62.05,62.05
10/07/2008,62.92,62.92,62.92,62.92
10/08/2008,64.18,64.18,64.18,64.18
10/09/2008,57.49,57.49,57.49,57.49
10/10/2008,67.59,67.59,67.59,67.59
10/13/2008,56.35,56.35,56.35,56.35
10/14/2008,57.82,57.82,57.82,57.82
10/15/2008,62.08,62.08,62.08,62.08
10/16/2008,65.29,65.29,65.29,65.29
10/17/2008,84.29,84.29,84.29,84.29
10/20/2008,67.28,67.28,67.28,67.28
10/21/2008,69.16,69.16,69.16,69.16
10/22/2008,81.98,81.98,81.98,81.98
10/23/2008,77.56,77.56,77.56,77.56
10/24/2008,96.59,96.59,96.59,96.59
10/27/2008,90.88,90.88,90.88,90.88
10/28/2008,86.0,86.0,86.0,86.0
10/29/2008,89.18,89.18,89.18,89.18
10/30/2008,73.33,73.33,73.33,73.33
10/31/2008,71.81,71.81,71.81,71.81
