signal_date,window_year,period,rank_in_period,regular_session,source,notes
2011-01-03,2011,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2017-01-04,2017,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2017-12-22,2018,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2017-12-26,2018,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2017-12-27,2018,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2017-12-28,2018,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2017-12-29,2018,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2018-01-02,2018,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2018-01-03,2018,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2018-12-21,2019,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2018-12-26,2019,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2018-12-27,2019,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2018-12-28,2019,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2018-12-31,2019,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2019-01-02,2019,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2019-01-03,2019,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2019-12-23,2020,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2019-12-26,2020,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2019-12-27,2020,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2019-12-30,2020,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2019-12-31,2020,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2020-01-02,2020,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2020-01-03,2020,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2020-12-23,2021,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2020-12-28,2021,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2020-12-29,2021,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2020-12-30,2021,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2020-12-31,2021,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2021-01-04,2021,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2021-01-05,2021,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2021-12-27,2022,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2021-12-28,2022,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2021-12-29,2022,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2021-12-30,2022,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2021-12-31,2022,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2022-01-03,2022,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2022-01-04,2022,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2022-12-23,2023,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2022-12-27,2023,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2022-12-28,2023,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2022-12-29,2023,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2022-12-30,2023,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2023-01-03,2023,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2023-01-04,2023,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2023-12-22,2024,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2023-12-26,2024,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2023-12-27,2024,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2023-12-28,2024,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2023-12-29,2024,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2024-01-02,2024,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2024-01-03,2024,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2024-12-23,2025,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2024-12-26,2025,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2024-12-27,2025,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2024-12-30,2025,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2024-12-31,2025,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2025-01-02,2025,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2025-01-03,2025,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2025-12-23,2026,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2025-12-26,2026,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2025-12-29,2026,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2025-12-30,2026,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2025-12-31,2026,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2026-01-02,2026,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2026-01-05,2026,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
