release_date,release_time,release_type,release_name,scheduled,source,source_url,notes
2018-07-12,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-08-03,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-08-10,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-09-07,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-09-13,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-10-05,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-10-11,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-11-02,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-11-14,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-12-07,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-12-12,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-01-04,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2019-01-11,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-02-01,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2019-02-11,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-02-13,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-03-08,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2019-03-12,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-04-05,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2019-04-10,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-05-03,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
