session_date,prior_close,prior_rth_return,prior_realized_variance,prior_bipower_variation,prior_jump_variation,prior_jump_share,prior_positive_jump_variation,prior_negative_jump_variation,prior_signed_jump_share,jump_variation_3d_mean,jump_share_3d_mean,jump_share_5d_mean,jump_variation_change_5d,jump_var_rank_252,jump_share_rank_252,jump_var3_rank_252,jump_share3_rank_252,negative_jump_rank_252,positive_jump_rank_252,signed_jump_rank_252,jump_change_rank_252
2021-03-09,3819.75,-0.007534913933095133,0.00015020108273824145,0.00014545833318692635,4.742749551315102e-06,0.03157600108369652,2.5478023600478402e-05,4.3425813858914084e-05,-0.2604759171651791,7.619800673655203e-06,0.027324227286835718,0.041359446547926566,-5.549323290875445e-07,0.6706349206349206,0.4246031746031746,0.7976190476190477,0.21825396825396826,0.8095238095238095,0.6666666666666666,0.16666666666666666,0.39285714285714285
2021-03-10,3873.0,0.003172958622029487,5.2117297031198414e-05,4.7874589233424425e-05,4.2427077977739885e-06,0.08140690403100188,1.8363144314090605e-05,1.260279252854746e-05,0.186022202874596,2.9951524496963635e-06,0.037660968371566045,0.035325406493984225,-3.663439366420879e-06,0.6547619047619048,0.7222222222222222,0.4642857142857143,0.31746031746031744,0.32142857142857145,0.5317460317460317,0.8174603174603174,0.21428571428571427
2021-03-11,3897.25,-0.0004488330341113622,8.391304760075645e-05,7.8478283676091e-05,5.434763924665444e-06,0.06476661353694478,1.674729740230809e-05,2.559819565541131e-05,-0.2090162993506517,4.806740424584845e-06,0.059249839550547634,0.04562923988569082,3.900707040531903e-06,0.7023809523809523,0.6388888888888888,0.6587301587301587,0.5833333333333334,0.623015873015873,0.5079365079365079,0.24603174603174602,0.7936507936507936
2021-03-12,3936.5,0.003185524974515852,2.838653812004435e-05,2.7160124606639657e-05,1.226413513404692e-06,0.04320405356293499,4.663378304879165e-06,6.0195719330920975e-06,-0.12694935369000457,3.6346284119480418e-06,0.06312585704362712,0.044190714442915634,-1.6890238956245815e-05,0.38492063492063494,0.4801587301587302,0.5198412698412699,0.623015873015873,0.10714285714285714,0.07936507936507936,0.376984126984127,0.06349206349206349
2021-03-15,3943.0,0.005162194888789662,3.472137847021598e-05,3.294628248314806e-05,1.7750959870679195e-06,0.05112400674387389,6.890394833720043e-06,9.21595418468961e-06,-0.14438774102755622,2.812091141712685e-06,0.0530315579479178,0.05441551579169042,1.7750959870679195e-06,0.4365079365079365,0.5515873015873016,0.44841269841269843,0.4880952380952381,0.23809523809523808,0.1626984126984127,0.3492063492063492,0.6666666666666666
2021-03-16,3966.75,0.0053858826511214986,2.0054076991862933e-05,1.9110378150302458e-05,9.436988415604744e-07,0.04705770512117741,4.903210593499305e-06,6.25715382669712e-06,-0.12131711673748238,1.315069447344362e-06,0.04712858847599533,0.057511856599186596,-3.799050709754628e-06,0.34523809523809523,0.5079365079365079,0.19444444444444445,0.4087301587301587,0.12301587301587301,0.09523809523809523,0.38492063492063494,0.1984126984126984
2021-03-17,3951.75,-0.002901658991988909,2.7796105814776466e-05,2.4481985520634814e-05,3.3141202941416513e-06,0.11922966174563411,5.660308509074388e-06,4.487598306329982e-06,0.11556178274757611,2.010971707590015e-06,0.07247045787022838,0.06507640814211305,-9.285875036323372e-07,0.5912698412698413,0.8571428571428571,0.31746031746031744,0.7182539682539683,0.07539682539682539,0.11904761904761904,0.7380952380952381,0.38492063492063494
2021-03-18,3964.0,0.006730158730158697,7.420816697301567e-05,5.393870770086497e-05,2.0269459272150704e-05,0.2731432414914829,3.915924787562021e-05,1.2838378688250725e-05,0.5061936654942977,8.175759469284276e-06,0.14647686945276472,0.10675173373302065,1.483469534748526e-05,0.9404761904761905,0.996031746031746,0.8214285714285714,0.9880952380952381,0.34523809523809523,0.8055555555555556,0.9841269841269841,0.9484126984126984
2021-03-19,3906.0,-0.0076849793585265225,5.2866543635292515e-05,4.9384216551534246e-05,3.4823270837582696e-06,0.06587014857225405,1.192584255902074e-05,1.800154501116139e-05,-0.20301479498979452,9.021968883350208e-06,0.1527476839364569,0.11128495273488448,2.2559135703535776e-06,0.6031746031746031,0.6468253968253969,0.8452380952380952,0.9880952380952381,0.49206349206349204,0.3888888888888889,0.25396825396825395,0.6984126984126984
2021-03-22,3898.0,-0.0010891152540201121,6.707769665510277e-05,6.793114604555463e-05,0.0,0.0,1.6657796239870153e-05,1.9315430678385306e-05,-0.07387812176411881,7.917262118636325e-06,0.11300446335457888,0.10106015138610971,-1.7750959870679195e-06,0.125,0.125,0.8174603174603174,0.9325396825396826,0.5158730158730159,0.5277777777777778,0.4523809523809524,0.32936507936507936
