wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.term_spread_rank_min,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,21,False,71,0.65,0.0025,0.006,1.5,161,161,161,0,0,0,0,0,0,0,161,40.92128459093967,8602.5,1.320391061452514,0.07515361882202812,4150.0,0.026298279522195114,0.01427488501287022,0.5428068022785506,0.484472049689441,0,0,True,-855.0,0.14879395524556815,5,False,preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,22,False,51,0.6,0.005,0.004,2.0,161,161,161,0,0,0,0,0,0,0,161,41.12189344284984,5820.0,1.2257126236183828,0.0918659844382889,2760.0,0.018033333333333332,0.00977011620188839,0.5417809354097075,0.43478260869565216,0,0,True,-585.0,0.1958762886597938,5,False,min_profit_factor;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,23,False,41,0.6,0.0025,0.004,1.5,184,184,184,0,0,0,0,0,0,0,184,46.767792602429516,5620.0,1.1958188153310105,0.08005509043402925,2717.5,0.017722922407186995,0.009392781663961847,0.5299792804008941,0.46195652173913043,0,0,True,-585.0,0.1543594306049822,5,False,min_profit_factor;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,24,False,17,0.55,0.0025,0.006,1.5,217,217,217,0,0,0,0,0,0,0,217,54.96353528582326,7895.0,1.213869700663687,0.05847438117238668,4150.0,0.026416715733859546,0.013077175422228082,0.4950341122634882,0.46543778801843316,0,0,True,-865.0,0.16212792906903103,6,False,min_profit_factor;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,25,False,50,0.6,0.005,0.004,1.5,161,161,161,0,0,0,0,0,0,0,161,41.12191341237899,4922.5,1.1992914979757086,0.07976753147448315,2700.0,0.017603625042786588,0.00828139550310203,0.47043694028778943,0.453416149068323,0,0,True,-585.0,0.17318435754189945,5,False,min_profit_factor;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,26,False,77,0.65,0.005,0.004,1.5,140,140,140,0,0,0,0,0,0,0,140,35.75818557598173,5192.5,1.2455663277370537,0.08511876066436924,2800.0,0.018666666666666668,0.00872993105182518,0.46767487777634886,0.45714285714285713,0,0,True,-580.0,0.16417910447761194,4,False,min_profit_factor;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,27,False,68,0.65,0.0025,0.004,1.5,161,161,161,0,0,0,0,0,0,0,161,40.92181852712583,5222.5,1.2093605933052716,0.07889899114303292,3000.0,0.019580008811003965,0.008736825127531489,0.44621150132585197,0.4658385093167702,0,0,True,-580.0,0.16323599808520822,5,False,min_profit_factor;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,28,False,39,0.6,0.0025,0.0025,2.0,184,184,184,0,0,0,0,0,0,0,184,46.76783780400996,5140.0,1.2102249488752557,0.1151882368565925,3065.0,0.020122771887207434,0.008600534593107279,0.42740307554621043,0.42391304347826086,0,0,True,-370.0,0.14007782101167315,6,False,min_profit_factor;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,29,False,12,0.55,0.0025,0.0025,2.0,217,217,217,0,0,0,0,0,0,0,217,54.96430289636547,6015.0,1.2081675030282055,0.10775312378478209,3760.0,0.02472545538238969,0.010008387863671864,0.40478072936930326,0.4147465437788018,0,0,True,-375.0,0.12468827930174564,6,False,min_profit_factor;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,30,False,48,0.6,0.005,0.0025,2.0,161,161,161,0,0,0,0,0,0,0,161,41.122332776971376,3640.0,1.1708920187793428,0.09840399284008808,2515.0,0.016534087173755836,0.006142930301104466,0.3715312636584494,0.40993788819875776,0,0,True,-370.0,0.19505494505494506,5,False,min_profit_factor;min_mar;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,31,False,66,0.65,0.0025,0.0025,2.0,161,161,161,0,0,0,0,0,0,0,161,40.92185807850871,3845.0,1.1767003676470589,0.09041997065647767,2685.0,0.0179,0.006453935164405733,0.36055503711763875,0.4161490683229814,0,0,True,-365.0,0.1846553966189857,6,False,min_profit_factor;min_mar;preferred_min_total_trades;min_positive_month_rate
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,32,False,61,0.65,0.0,0.006,1.0,191,191,191,0,0,0,0,0,0,0,191,48.51296122714781,5525.0,1.175063371356147,0.040732970714554055,3855.0,0.0257,0.00922961980467818,0.3591291752793066,0.4869109947643979,0,0,True,-855.0,0.15384615384615385,5,False,min_profit_factor;min_mar;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,33,False,15,0.55,0.0025,0.004,2.0,217,217,217,0,0,0,0,0,0,0,217,54.963747038314104,5020.0,1.14093206064009,0.06492563917004598,3660.0,0.02391609762472637,0.008372844766985521,0.3500924313977129,0.43317972350230416,0,0,True,-590.0,0.22709163346613545,6,False,min_profit_factor;min_mar;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,34,False,64,0.65,0.0025,0.0025,1.0,161,161,161,0,0,0,0,0,0,0,161,40.92191740572639,3025.0,1.1735015772870663,0.06888784088336714,2275.0,0.015166666666666667,0.005087728074821163,0.3354545983398569,0.5403726708074534,0,0,True,-365.0,0.11570247933884298,4,False,min_profit_factor;min_mar;preferred_min_total_trades;min_positive_month_rate
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,35,False,36,0.6,0.0,0.006,2.0,217,217,217,0,0,0,0,0,0,0,217,55.11681982351348,7100.0,1.1791572041382792,0.0497337121915969,5935.0,0.037136689296999655,0.011815811926799702,0.3181708480339502,0.45161290322580644,0,0,True,-855.0,0.23169014084507042,6,False,min_profit_factor;min_mar;preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,36,False,7,0.55,0.0,0.006,1.0,252,252,252,0,0,0,0,0,0,0,252,63.78484980170389,4125.0,1.0980392156862746,0.030248845630839814,3275.0,0.021802083680058582,0.006890288184450144,0.3160380579014285,0.4722222222222222,0,0,True,-865.0,0.2096969696969697,5,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades
