sampling_category,trade_id,review_reason,session_date,direction,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,r_multiple,check_error_count,check_warning_count,check_flags
strategy_edge_cases,12,sweep and reclaim on same bar,2026-05-19,long,2026-05-19 10:06:05.971204383-04:00,7378.5,7376.5,7385.5,2026-05-19 10:06:10.702361801-04:00,7376.25,stop,-1.125,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
strategy_edge_cases,13,sweep and reclaim on same bar,2026-05-20,long,2026-05-20 10:14:04.523934875-04:00,7384.0,7376.25,7391.25,2026-05-20 10:14:33.296744617-04:00,7391.0,target,0.9032258064516129,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
strategy_edge_cases,14,sweep and reclaim on same bar,2026-05-21,long,2026-05-21 11:10:51.306759257-04:00,7415.25,7408.0,7420.5,2026-05-21 11:13:31.595488179-04:00,7420.25,target,0.6896551724137931,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
strategy_edge_cases,15,sweep and reclaim on same bar,2026-05-26,long,2026-05-26 12:26:13.317936003-04:00,7529.75,7526.0,7540.0,2026-05-26 12:43:26.565458009-04:00,7525.75,stop,-1.0666666666666667,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
strategy_edge_cases,16,sweep and reclaim on same bar,2026-05-27,long,2026-05-27 10:34:43.111830137-04:00,7535.5,7525.25,7538.5,2026-05-27 10:36:14.906474663-04:00,7538.25,target,0.2682926829268293,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
strategy_edge_cases,17,sweep and reclaim on same bar,2026-05-28,short,2026-05-28 10:46:40.494109147-04:00,7558.0,7562.75,7541.75,2026-05-28 10:53:42.423981513-04:00,7563.0,stop,-1.0526315789473684,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
strategy_edge_cases,3,sweep and reclaim on same bar; large positive delta,2026-05-05,short,2026-05-05 10:37:07.936865893-04:00,7277.75,7281.5,7273.25,2026-05-05 10:47:57.744318303-04:00,7273.5,target,1.1333333333333333,0,0,
strategy_edge_cases,10,sweep and reclaim on same bar; large positive delta,2026-05-14,short,2026-05-14 12:06:08.117195007-04:00,7539.0,7540.5,7519.0,2026-05-14 12:34:02.389332407-04:00,7519.25,target,13.166666666666666,0,0,
strategy_edge_cases,4,sweep and reclaim on same bar; volume borderline below threshold,2026-05-06,short,2026-05-06 10:02:49.675482285-04:00,7345.25,7350.0,7341.5,2026-05-06 10:06:17.307150237-04:00,7341.75,target,0.7368421052631579,0,0,
strategy_edge_cases,18,sweep and reclaim on same bar; volume borderline below threshold,2026-05-29,short,2026-05-29 10:00:09.593752053-04:00,7608.25,7610.5,7602.25,2026-05-29 10:00:46.476637235-04:00,7610.75,stop,-1.1111111111111112,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
