trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,share_mode,lookback_minutes,trend_lookback_minutes,rank_window,configured_direction,share_rank,share_value,es_pullback_return_ticks,trend_return_ticks,trend_start_timestamp,trend_end_timestamp,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,crowding_signal_timestamp,crowding_intended_entry_timestamp,signal_close_timestamp,intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
13,trend_filtered_mes_participation_crowding,2025-08-06,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6507936507936508,0.3833434946957688,-28.0,16.0,2025-08-06 09:45:00-04:00,2025-08-06 10:15:00-04:00,0.4,4.0,4.0,2025-08-06 10:30:00-04:00,2025-08-06 10:30:00-04:00,2025-08-06 10:30:00-04:00,2025-08-06 10:30:00-04:00,0.0045,1.5,12:00:00,6332.25,2025-08-06 10:29:00-04:00,6334.0,6328.75,2025-08-06 10:30:00-04:00,2025-08-06 10:30:00-04:00,6332.75,6294.75,6408.75,38.0,1,41.5,4.5,fixed_contracts,2025-08-06 12:00:00-04:00,6371.5,eod_flatten,1937.5,1932.5,1.019736842105263,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
14,trend_filtered_mes_participation_crowding,2025-08-18,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5357142857142857,0.3720345538937596,-12.0,4.0,2025-08-18 09:45:00-04:00,2025-08-18 10:15:00-04:00,0.4,4.0,4.0,2025-08-18 10:30:00-04:00,2025-08-18 10:30:00-04:00,2025-08-18 10:30:00-04:00,2025-08-18 10:30:00-04:00,0.0045,1.5,12:00:00,6465.75,2025-08-18 10:29:00-04:00,6468.5,6465.75,2025-08-18 10:30:00-04:00,2025-08-18 10:30:00-04:00,6466.0,6427.0,6544.0,39.0,1,4.5,7.5,fixed_contracts,2025-08-18 12:00:00-04:00,6463.0,eod_flatten,-150.0,-155.0,-0.07692307692307693,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
15,trend_filtered_mes_participation_crowding,2025-09-04,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6547619047619048,0.3813304657808679,39.0,-45.0,2025-09-04 09:45:00-04:00,2025-09-04 10:15:00-04:00,0.4,4.0,4.0,2025-09-04 10:30:00-04:00,2025-09-04 10:30:00-04:00,2025-09-04 10:30:00-04:00,2025-09-04 10:30:00-04:00,0.0045,1.5,12:00:00,6470.25,2025-09-04 10:29:00-04:00,6470.5,6468.75,2025-09-04 10:30:00-04:00,2025-09-04 10:30:00-04:00,6469.75,6508.75,6391.75,39.0,1,0.0,18.0,fixed_contracts,2025-09-04 12:00:00-04:00,6483.5,eod_flatten,-687.5,-692.5,-0.3525641025641026,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
16,trend_filtered_mes_participation_crowding,2025-10-01,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.7261904761904762,0.3891923174304626,36.0,-24.0,2025-10-01 09:45:00-04:00,2025-10-01 10:15:00-04:00,0.4,4.0,4.0,2025-10-01 10:30:00-04:00,2025-10-01 10:30:00-04:00,2025-10-01 10:30:00-04:00,2025-10-01 10:30:00-04:00,0.0045,1.5,12:00:00,6730.5,2025-10-01 10:29:00-04:00,6732.25,6729.25,2025-10-01 10:30:00-04:00,2025-10-01 10:30:00-04:00,6730.25,6770.75,6649.25,40.5,1,2.75,17.25,fixed_contracts,2025-10-01 12:00:00-04:00,6745.0,eod_flatten,-737.5,-742.5,-0.36419753086419754,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
17,trend_filtered_mes_participation_crowding,2025-10-02,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5674603174603174,0.3717866823196312,5.0,-18.0,2025-10-02 09:45:00-04:00,2025-10-02 10:15:00-04:00,0.4,4.0,4.0,2025-10-02 10:30:00-04:00,2025-10-02 10:30:00-04:00,2025-10-02 10:30:00-04:00,2025-10-02 10:30:00-04:00,0.0045,1.5,12:00:00,6761.5,2025-10-02 10:29:00-04:00,6762.75,6761.0,2025-10-02 10:30:00-04:00,2025-10-02 10:30:00-04:00,6761.0,6801.75,6679.5,40.75,1,19.5,3.75,fixed_contracts,2025-10-02 12:00:00-04:00,6757.75,eod_flatten,162.5,157.5,0.07975460122699386,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
18,trend_filtered_mes_participation_crowding,2025-10-03,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6031746031746031,0.3753776894530854,32.0,-8.0,2025-10-03 09:45:00-04:00,2025-10-03 10:15:00-04:00,0.4,4.0,4.0,2025-10-03 10:30:00-04:00,2025-10-03 10:30:00-04:00,2025-10-03 10:30:00-04:00,2025-10-03 10:30:00-04:00,0.0045,1.5,12:00:00,6786.75,2025-10-03 10:29:00-04:00,6786.75,6785.5,2025-10-03 10:30:00-04:00,2025-10-03 10:30:00-04:00,6786.25,6827.0,6704.75,40.75,1,0.5,13.0,fixed_contracts,2025-10-03 12:00:00-04:00,6798.0,eod_flatten,-587.5,-592.5,-0.2883435582822086,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
19,trend_filtered_mes_participation_crowding,2025-10-13,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.75,0.3957966465048618,-55.0,45.0,2025-10-13 09:45:00-04:00,2025-10-13 10:15:00-04:00,0.4,4.0,4.0,2025-10-13 10:30:00-04:00,2025-10-13 10:30:00-04:00,2025-10-13 10:30:00-04:00,2025-10-13 10:30:00-04:00,0.0045,1.5,12:00:00,6672.75,2025-10-13 10:29:00-04:00,6674.0,6671.5,2025-10-13 10:30:00-04:00,2025-10-13 10:30:00-04:00,6673.25,6633.0,6753.75,40.25,1,23.5,11.5,fixed_contracts,2025-10-13 12:00:00-04:00,6694.0,eod_flatten,1037.5,1032.5,0.515527950310559,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
20,trend_filtered_mes_participation_crowding,2025-10-16,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.7698412698412699,0.4083317537541332,45.0,-60.0,2025-10-16 09:45:00-04:00,2025-10-16 10:15:00-04:00,0.4,4.0,4.0,2025-10-16 10:30:00-04:00,2025-10-16 10:30:00-04:00,2025-10-16 10:30:00-04:00,2025-10-16 10:30:00-04:00,0.0045,1.5,12:00:00,6732.25,2025-10-16 10:29:00-04:00,6732.75,6728.25,2025-10-16 10:30:00-04:00,2025-10-16 10:30:00-04:00,6732.25,6772.75,6651.25,40.5,1,30.5,18.25,fixed_contracts,2025-10-16 12:00:00-04:00,6707.75,eod_flatten,1225.0,1220.0,0.6049382716049383,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
21,trend_filtered_mes_participation_crowding,2025-10-17,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.8571428571428571,0.4543983202834522,-32.0,181.0,2025-10-17 09:45:00-04:00,2025-10-17 10:15:00-04:00,0.4,4.0,4.0,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,0.0045,1.5,12:00:00,6683.0,2025-10-17 10:29:00-04:00,6686.25,6681.0,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,6683.25,6643.0,6763.75,40.25,1,0.75,42.75,fixed_contracts,2025-10-17 11:36:00-04:00,6642.75,stop,-2025.0,-2030.0,-1.0062111801242235,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
22,trend_filtered_mes_participation_crowding,2025-10-23,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.4801587301587302,0.3629196419916637,11.0,-17.0,2025-10-23 09:45:00-04:00,2025-10-23 10:15:00-04:00,0.4,4.0,4.0,2025-10-23 10:30:00-04:00,2025-10-23 10:30:00-04:00,2025-10-23 10:30:00-04:00,2025-10-23 10:30:00-04:00,0.0045,1.5,12:00:00,6752.0,2025-10-23 10:29:00-04:00,6753.5,6751.0,2025-10-23 10:30:00-04:00,2025-10-23 10:30:00-04:00,6751.75,6792.5,6670.25,40.75,1,6.5,13.75,fixed_contracts,2025-10-23 12:00:00-04:00,6761.25,eod_flatten,-475.0,-480.0,-0.2331288343558282,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
23,trend_filtered_mes_participation_crowding,2025-10-30,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.4642857142857143,0.3596293629966791,-55.0,96.0,2025-10-30 09:45:00-04:00,2025-10-30 10:15:00-04:00,0.4,4.0,4.0,2025-10-30 10:30:00-04:00,2025-10-30 10:30:00-04:00,2025-10-30 10:30:00-04:00,2025-10-30 10:30:00-04:00,0.0045,1.5,12:00:00,6888.5,2025-10-30 10:29:00-04:00,6891.25,6886.75,2025-10-30 10:30:00-04:00,2025-10-30 10:30:00-04:00,6888.75,6847.25,6971.75,41.5,1,23.0,5.0,fixed_contracts,2025-10-30 12:00:00-04:00,6887.5,eod_flatten,-62.5,-67.5,-0.030120481927710843,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
24,trend_filtered_mes_participation_crowding,2025-11-06,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6468253968253969,0.3778953812128512,59.0,-117.0,2025-11-06 09:45:00-05:00,2025-11-06 10:15:00-05:00,0.4,4.0,4.0,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,0.0045,1.5,12:00:00,6792.75,2025-11-06 10:29:00-05:00,6796.5,6791.5,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,6792.25,6833.25,6710.25,41.0,1,55.5,1.75,fixed_contracts,2025-11-06 12:00:00-05:00,6739.0,eod_flatten,2662.5,2657.5,1.298780487804878,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
25,trend_filtered_mes_participation_crowding,2025-11-07,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6984126984126984,0.384800176564463,-25.0,45.0,2025-11-07 09:45:00-05:00,2025-11-07 10:15:00-05:00,0.4,4.0,4.0,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,0.0045,1.5,12:00:00,6703.25,2025-11-07 10:29:00-05:00,6707.25,6700.75,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,6703.5,6663.25,6784.0,40.25,1,3.5,40.25,fixed_contracts,2025-11-07 11:56:00-05:00,6663.0,stop,-2025.0,-2030.0,-1.0062111801242235,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
26,trend_filtered_mes_participation_crowding,2025-11-13,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5912698412698413,0.373466788802252,-60.0,107.0,2025-11-13 09:45:00-05:00,2025-11-13 10:15:00-05:00,0.4,4.0,4.0,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,0.0045,1.5,12:00:00,6831.0,2025-11-13 10:29:00-05:00,6833.0,6829.75,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,6831.25,6790.25,6913.25,41.0,1,0.75,42.25,fixed_contracts,2025-11-13 11:39:00-05:00,6790.0,stop,-2062.5,-2067.5,-1.0060975609756098,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
27,trend_filtered_mes_participation_crowding,2025-11-17,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.7222222222222222,0.3903462100027222,13.0,-9.0,2025-11-17 09:45:00-05:00,2025-11-17 10:15:00-05:00,0.4,4.0,4.0,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,0.0045,1.5,12:00:00,6758.25,2025-11-17 10:29:00-05:00,6760.75,6756.75,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,6757.75,6798.5,6676.25,40.75,1,43.0,9.5,fixed_contracts,2025-11-17 12:00:00-05:00,6767.25,eod_flatten,-475.0,-480.0,-0.2331288343558282,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
