run_id,ending_balance,net_pnl,trader_net_pnl,account_ending_balance,final_account_phase,max_drawdown,worst_day,best_day,best_day_concentration,max_consecutive_losses,account_breached,breach_reason,payout_eligible,profit_before_drawdown,drawdown_before_profit,accounts_purchased,accounts_breached,accounts_terminated,challenge_passes,funded_accounts_started,payout_count,gross_payouts,net_payouts,total_challenge_fees
57,55414.59375,5414.59375,5414.59375,52343.75,funded,3831.5625,-1230.0,1863.75,0.03693702621017688,6,True,trailing_drawdown,True,True,True,7,6,0,3,3,5,6778.4375,6100.59375,686.0
58,52137.625,2137.625,2137.625,50311.25,funded,3472.5,-1230.0,1882.5,0.03604940635771735,5,True,trailing_drawdown,True,True,True,8,7,0,5,5,4,3246.25,2921.625,784.0
59,56485.703125,6485.703125,6485.703125,49120.0,funded,3230.9375,-1230.0,1882.5,0.03731047468040828,4,True,trailing_drawdown,True,True,True,5,3,1,3,3,6,7750.78125,6975.703125,490.0
60,58338.78125,8338.78125,8338.78125,49732.5,challenge,3268.125,-1230.0,1882.5,0.03639439342677622,7,True,trailing_drawdown,True,True,True,9,7,1,3,3,8,10245.3125,9220.78125,882.0
61,56878.921875,6878.921875,6878.921875,49640.0,challenge,4489.6875,-1230.0,1882.5,0.03491121516991979,7,True,trailing_drawdown,True,True,True,7,6,0,4,4,6,8405.46875,7564.921875,686.0
62,59080.390625,9080.390625,9080.390625,49870.0,funded,3354.21875,-1230.0,1882.5,0.03478702762635129,8,True,trailing_drawdown,True,True,True,6,4,1,3,3,8,10742.65625,9668.390625,588.0
63,60248.578125,10248.578125,10248.578125,51275.0,challenge,4503.125,-1230.0,1882.5,0.03467649090490445,5,True,trailing_drawdown,True,True,True,7,5,1,2,2,9,12149.53125,10934.578125,686.0
64,60048.59375,10048.59375,10048.59375,,,3475.0,-1230.0,1882.5,0.034380421879280434,7,True,trailing_drawdown,True,True,True,6,5,1,2,2,7,11818.4375,10636.59375,588.0
65,57182.671875,7182.671875,7182.671875,50757.5,challenge,3488.125,-1230.0,1882.5,0.035024884878366434,5,True,trailing_drawdown,True,True,False,7,5,1,4,4,5,8742.96875,7868.671875,686.0
66,53450.15625,3450.15625,3450.15625,52512.5,funded,4430.0,-1230.0,1882.5,0.03515570288062001,4,True,trailing_drawdown,True,True,False,4,3,0,3,3,4,4269.0625,3842.15625,392.0
67,60466.96875,10466.96875,10466.96875,48735.0,challenge,4582.5,-1230.0,1882.5,0.034882104970584145,6,True,trailing_drawdown,True,True,True,7,6,0,3,3,7,12392.1875,11152.96875,686.0
68,54607.96875,4607.96875,4607.96875,51174.0625,funded,3183.75,-1230.0,1882.5,0.034191527039912815,6,True,trailing_drawdown,True,True,False,7,6,0,5,5,5,5882.1875,5293.96875,686.0
69,54963.46875,4963.46875,4963.46875,52256.25,funded,4117.1875,-1230.0,1882.5,0.035923858594532704,5,True,trailing_drawdown,True,True,True,7,6,0,3,3,5,6277.1875,5649.46875,686.0
70,60116.0390625,10116.0390625,10116.0390625,49871.25,challenge,3644.375,-1230.0,1882.5,0.0357227572465487,5,True,trailing_drawdown,True,True,True,7,5,1,2,2,8,12002.265625,10802.0390625,686.0
71,55338.7421875,5338.7421875,5338.7421875,51321.25,funded,3869.84375,-1230.0,1882.5,0.035748195974173946,5,True,trailing_drawdown,True,True,False,8,6,1,4,4,6,6803.046875,6122.7421875,784.0
72,53507.5625,3507.5625,3507.5625,52015.0,challenge,5075.0,-1230.0,1882.5,0.03576517526360787,5,True,trailing_drawdown,True,True,False,6,5,0,3,3,3,4550.625,4095.5625,588.0
73,53555.125,3555.125,3555.125,51186.25,funded,3272.5,-1230.0,1882.5,0.03568551253495095,4,True,trailing_drawdown,True,True,False,8,7,0,6,6,4,4821.25,4339.125,784.0
74,56461.125,6461.125,6461.125,52578.75,challenge,4729.375,-1230.0,1882.5,0.03472126158528151,5,True,trailing_drawdown,True,True,False,7,6,0,3,3,6,7941.25,7147.125,686.0
75,58235.4375,8235.4375,8235.4375,51565.0,challenge,3746.875,-1230.0,1882.5,0.03747200796217965,5,True,trailing_drawdown,True,True,False,10,8,1,3,3,6,10239.375,9215.4375,980.0
