session_date,net_pnl,gross_pnl,trades,wins,losses
2014-10-21,-55.0,-50.0,1,0,1
2014-10-23,-55.0,-50.0,1,0,1
2014-10-28,32.5,37.5,1,1,0
2014-11-03,-117.5,-112.5,1,0,1
2014-11-04,-55.0,-50.0,1,0,1
2014-11-11,-30.0,-25.0,1,0,1
2014-11-13,-42.5,-37.5,1,0,1
2014-11-14,-5.0,0.0,1,0,1
2014-12-05,45.0,50.0,1,1,0
2014-12-08,20.0,25.0,1,1,0
2014-12-16,-30.0,-25.0,1,0,1
2014-12-18,-117.5,-112.5,1,0,1
2014-12-22,57.5,62.5,1,1,0
2014-12-26,45.0,50.0,1,1,0
2014-12-31,-5.0,0.0,1,0,1
2015-01-14,57.5,62.5,1,1,0
2015-01-16,-105.0,-100.0,1,0,1
2015-02-04,-42.5,-37.5,1,0,1
2015-02-11,45.0,50.0,1,1,0
2015-02-13,-42.5,-37.5,1,0,1
2015-02-24,-30.0,-25.0,1,0,1
2015-03-05,-30.0,-25.0,1,0,1
2015-03-09,-80.0,-75.0,1,0,1
2015-03-11,20.0,25.0,1,1,0
2015-03-16,-55.0,-50.0,1,0,1
2015-03-18,-67.5,-62.5,1,0,1
2015-03-23,-17.5,-12.5,1,0,1
2015-03-24,-30.0,-25.0,1,0,1
2015-03-31,45.0,50.0,1,1,0
2015-04-07,32.5,37.5,1,1,0
2015-04-10,-42.5,-37.5,1,0,1
2015-05-07,-55.0,-50.0,1,0,1
2015-06-04,282.5,287.5,1,1,0
2015-06-11,145.0,150.0,1,1,0
2015-07-13,-42.5,-37.5,1,0,1
2015-07-14,-5.0,0.0,1,0,1
2015-07-15,-42.5,-37.5,1,0,1
2015-07-29,-17.5,-12.5,1,0,1
2015-08-04,-80.0,-75.0,1,0,1
2015-08-05,45.0,50.0,1,1,0
2015-08-14,195.0,200.0,1,1,0
2015-08-18,-55.0,-50.0,1,0,1
2015-08-28,-105.0,-100.0,1,0,1
2015-09-04,420.0,425.0,1,1,0
2015-09-17,52.5,62.5,2,1,1
2015-09-22,220.0,225.0,1,1,0
2015-09-23,-42.5,-37.5,1,0,1
2015-09-30,-42.5,-37.5,1,0,1
2015-10-05,57.5,62.5,1,1,0
2015-10-08,-55.0,-50.0,1,0,1
2015-10-15,-17.5,-12.5,1,0,1
2015-10-19,-42.5,-37.5,1,0,1
2015-12-02,20.0,25.0,1,1,0
