wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.attention_rank_threshold,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,21,False,53,0.6,0.01,0.006,1.5,212,212,212,0,0,0,0,0,0,0,212,53.50366956409081,-2497.5,0.9320685434516524,-0.0061575394312353045,7268.75,0.04738815092494499,-0.004228467159240634,-0.08923047379370906,0.4669811320754717,0,0,False,-655.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,22,False,8,0.55,0.0,0.006,1.5,281,281,281,0,0,0,0,0,0,0,281,70.8730497831294,-3580.0,0.9288376484619589,-0.011215846278658542,10331.25,0.06742205472076745,-0.006074060630026801,-0.09009011450604543,0.4697508896797153,0,0,False,-655.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,23,False,13,0.55,0.005,0.004,1.0,265,265,265,0,0,0,0,0,0,0,265,66.88809225586317,-1612.5,0.9581304771178188,0.0053112529500794195,4450.0,0.029191334437574823,-0.0027243568759336423,-0.09332758945157624,0.5094339622641509,0,0,False,-442.5,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,24,False,38,0.6,0.005,0.003,1.5,234,234,234,0,0,0,0,0,0,0,234,59.06514822120161,-1826.25,0.9453872607655502,0.0035724057207648947,5035.0,0.032863658244062434,-0.003087240330334029,-0.09394086036942674,0.452991452991453,0,0,False,-342.5,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,25,False,9,0.55,0.0,0.006,2.0,281,281,281,0,0,0,0,0,0,0,281,70.8730497831294,-4342.5,0.9141246848272111,-0.019311790588220044,11750.0,0.0769633850789284,-0.007382084374727316,-0.09591683587145697,0.4626334519572954,0,0,False,-655.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,26,False,64,0.65,0.005,0.003,1.0,197,197,197,0,0,0,0,0,0,0,197,50.88627289201892,-2247.5,0.9125486381322957,-0.00795701484491233,5915.0,0.03873354724641477,-0.00389197854996548,-0.1004808189966574,0.5177664974619289,0,0,False,-342.5,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,27,False,44,0.6,0.005,0.006,1.5,234,234,234,0,0,0,0,0,0,0,234,59.05593716036439,-3557.5,0.917200046549517,-0.014975018758811886,9112.5,0.059483982570948314,-0.006039323046354128,-0.10152855920752865,0.47435897435897434,0,0,False,-655.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,28,False,52,0.6,0.01,0.006,1.0,212,212,212,0,0,0,0,0,0,0,212,53.50366956409081,-2735.0,0.9226472459874143,-0.007169528849191854,6897.5,0.04488441328149148,-0.00463335358053929,-0.10322856514757871,0.4858490566037736,0,0,False,-655.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,29,False,56,0.65,0.0,0.003,1.5,208,208,208,0,0,0,0,0,0,0,208,53.687956244678425,-2602.5,0.9155580791693705,-0.012527933180066649,6517.5,0.042524385867614915,-0.004507413778167102,-0.10599597586663305,0.4519230769230769,0,0,False,-342.5,0.0,9,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;min_positive_month_rate
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,30,False,20,0.55,0.01,0.003,1.5,240,240,240,0,0,0,0,0,0,0,240,60.57963920123242,-2568.75,0.9236853832442068,-0.005532588471606995,6273.75,0.040816824436420415,-0.004350558858486342,-0.10658739180611966,0.42916666666666664,0,0,False,-342.5,0.0,9,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,31,False,25,0.55,0.01,0.006,1.0,240,240,240,0,0,0,0,0,0,0,240,60.57019195934809,-3312.5,0.9169487275918266,-0.008516187474919312,7845.0,0.05097383083445688,-0.005619907584456185,-0.11025083837052492,0.4708333333333333,0,0,False,-655.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,32,False,26,0.55,0.01,0.006,1.5,240,240,240,0,0,0,0,0,0,0,240,60.57019195934809,-3831.25,0.9083926116324945,-0.0140895600006856,9041.25,0.058862783714060174,-0.006508576638577845,-0.1105720155912909,0.45,0,0,False,-655.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate
