campaign_id,variant_id,window,sessions,years,rank_threshold,min_orderflow_imbalance,signals,signal_sessions,signals_per_year,long_signals,short_signals,passes_50_signals_per_year
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,full_history,3813,15.130952,0.55,0.02,795,795,52.541306,0,795,True
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,full_history,3813,15.130952,0.55,0.04,784,784,51.814319,0,784,True
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,full_history,3813,15.130952,0.55,0.06,764,764,50.492526,0,764,True
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,full_history,3813,15.130952,0.6,0.02,713,713,47.121951,0,713,False
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,full_history,3813,15.130952,0.6,0.04,702,702,46.394965,0,702,False
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,full_history,3813,15.130952,0.6,0.06,685,685,45.27144,0,685,False
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,full_history,3813,15.130952,0.65,0.02,638,638,42.165224,0,638,False
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,full_history,3813,15.130952,0.65,0.04,630,630,41.636507,0,630,False
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,full_history,3813,15.130952,0.65,0.06,614,614,40.579072,0,614,False
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,limited_core,371,1.472222,0.55,0.02,80,80,54.339623,0,80,True
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,limited_core,371,1.472222,0.55,0.04,80,80,54.339623,0,80,True
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,limited_core,371,1.472222,0.55,0.06,77,77,52.301887,0,77,True
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,limited_core,371,1.472222,0.6,0.02,74,74,50.264151,0,74,True
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,limited_core,371,1.472222,0.6,0.04,74,74,50.264151,0,74,True
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,limited_core,371,1.472222,0.6,0.06,71,71,48.226415,0,71,False
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,limited_core,371,1.472222,0.65,0.02,70,70,47.54717,0,70,False
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,limited_core,371,1.472222,0.65,0.04,70,70,47.54717,0,70,False
nq_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,limited_core,371,1.472222,0.65,0.06,67,67,45.509434,0,67,False
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,full_history,3813,15.130952,0.55,0.02,836,836,55.250983,836,0,True
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,full_history,3813,15.130952,0.55,0.04,827,827,54.656176,827,0,True
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,full_history,3813,15.130952,0.55,0.06,818,818,54.061369,818,0,True
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,full_history,3813,15.130952,0.6,0.02,734,734,48.509835,734,0,False
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,full_history,3813,15.130952,0.6,0.04,725,725,47.915028,725,0,False
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,full_history,3813,15.130952,0.6,0.06,716,716,47.32022,716,0,False
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,full_history,3813,15.130952,0.65,0.02,640,640,42.297404,640,0,False
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,full_history,3813,15.130952,0.65,0.04,632,632,41.768686,632,0,False
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,full_history,3813,15.130952,0.65,0.06,624,624,41.239969,624,0,False
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,limited_core,371,1.472222,0.55,0.02,92,92,62.490566,92,0,True
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,limited_core,371,1.472222,0.55,0.04,92,92,62.490566,92,0,True
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,limited_core,371,1.472222,0.55,0.06,89,89,60.45283,89,0,True
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,limited_core,371,1.472222,0.6,0.02,77,77,52.301887,77,0,True
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,limited_core,371,1.472222,0.6,0.04,77,77,52.301887,77,0,True
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,limited_core,371,1.472222,0.6,0.06,74,74,50.264151,74,0,True
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,limited_core,371,1.472222,0.65,0.02,68,68,46.188679,68,0,False
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,limited_core,371,1.472222,0.65,0.04,68,68,46.188679,68,0,False
nq_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,limited_core,371,1.472222,0.65,0.06,66,66,44.830189,66,0,False
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,full_history,3813,15.130952,0.55,0.02,889,889,58.753737,889,0,True
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,full_history,3813,15.130952,0.55,0.04,875,875,57.828482,875,0,True
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,full_history,3813,15.130952,0.55,0.06,863,863,57.035405,863,0,True
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,full_history,3813,15.130952,0.6,0.02,791,791,52.276947,791,0,True
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,full_history,3813,15.130952,0.6,0.04,780,780,51.549961,780,0,True
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,full_history,3813,15.130952,0.6,0.06,771,771,50.955153,771,0,True
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,full_history,3813,15.130952,0.65,0.02,703,703,46.461054,703,0,False
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,full_history,3813,15.130952,0.65,0.04,692,692,45.734068,692,0,False
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,full_history,3813,15.130952,0.65,0.06,684,684,45.20535,684,0,False
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,limited_core,371,1.472222,0.55,0.02,82,82,55.698113,82,0,True
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,limited_core,371,1.472222,0.55,0.04,81,81,55.018868,81,0,True
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,limited_core,371,1.472222,0.55,0.06,80,80,54.339623,80,0,True
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,limited_core,371,1.472222,0.6,0.02,72,72,48.90566,72,0,False
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,limited_core,371,1.472222,0.6,0.04,71,71,48.226415,71,0,False
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,limited_core,371,1.472222,0.6,0.06,70,70,47.54717,70,0,False
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,limited_core,371,1.472222,0.65,0.02,67,67,45.509434,67,0,False
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,limited_core,371,1.472222,0.65,0.04,66,66,44.830189,66,0,False
nq_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,limited_core,371,1.472222,0.65,0.06,65,65,44.150943,65,0,False
