campaign_id,variant_id,entry.params.min_trend_gap_ticks,entry.params.min_orderflow_imbalance,full_signals,full_years,full_signals_per_year,limited_core_start_date,limited_core_end_date,limited_core_signals,limited_core_years,limited_core_signals_per_year,latest_252_session_start,latest_252_session_end,latest_252_signals,density_gate_pass
nq_ema_pullback_orderflow_continuation,late_morning_signed_two_sided_ema_pullback_1130,4,0.0,3264,15.441478,211.3787234042553,2011-02-22,2012-09-07,293,1.544148,189.74867021276594,2025-06-09,2026-06-12,234,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_two_sided_ema_pullback_1130,4,0.02,3119,15.441478,201.98843085106384,2011-02-22,2012-09-07,289,1.544148,187.15824468085106,2025-06-09,2026-06-12,219,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_two_sided_ema_pullback_1130,4,0.04,2858,15.441478,185.08590425531915,2011-02-22,2012-09-07,275,1.544148,178.09175531914894,2025-06-09,2026-06-12,191,True
nq_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,1,0.0,3749,15.441478,242.78763297872342,2011-02-22,2012-09-07,363,1.544148,235.08111702127658,2025-06-09,2026-06-12,249,True
nq_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,1,0.02,3710,15.441478,240.2619680851064,2011-02-22,2012-09-07,362,1.544148,234.43351063829786,2025-06-09,2026-06-12,244,True
nq_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,1,0.04,3608,15.441478,233.6563829787234,2011-02-22,2012-09-07,358,1.544148,231.84308510638297,2025-06-09,2026-06-12,229,True
nq_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,2,0.0,3709,15.441478,240.1972074468085,2011-02-22,2012-09-07,355,1.544148,229.9002659574468,2025-06-09,2026-06-12,249,True
nq_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,2,0.02,3656,15.441478,236.76489361702127,2011-02-22,2012-09-07,351,1.544148,227.30984042553192,2025-06-09,2026-06-12,244,True
nq_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,2,0.04,3538,15.441478,229.12313829787234,2011-02-22,2012-09-07,343,1.544148,222.12898936170214,2025-06-09,2026-06-12,229,True
nq_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,4,0.0,3510,15.441478,227.30984042553192,2011-02-22,2012-09-07,317,1.544148,205.2912234042553,2025-06-09,2026-06-12,247,True
nq_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,4,0.02,3436,15.441478,222.51755319148936,2011-02-22,2012-09-07,312,1.544148,202.0531914893617,2025-06-09,2026-06-12,241,True
nq_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,4,0.04,3291,15.441478,213.12726063829788,2011-02-22,2012-09-07,305,1.544148,197.51994680851064,2025-06-09,2026-06-12,226,True
