variant_id,gate_col,gate_max,gate_type,share_mode,lookback,trend,min_trend,share_rank_min,min_abs_return_ticks,period,signals,signals_per_year
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,2,latest1y,83,83.28502747252747
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,3,full,434,61.18043226553454
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,3,limited_core,51,71.92181467181467
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,3,wfa90,379,58.6070067739204
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,3,latest1y,81,81.27815934065934
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,full,414,58.36105750675414
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,limited_core,48,67.6911196911197
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,wfa90,360,55.66892464013548
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,latest1y,79,79.27129120879121
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,full,391,55.118776534156694
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,limited_core,51,71.92181467181467
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,wfa90,339,52.42157070279424
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,latest1y,75,75.25755494505495
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,full,382,53.850057892705514
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,limited_core,50,70.51158301158301
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,wfa90,331,51.18448348856901
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,latest1y,74,74.25412087912088
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,full,364,51.31262060980316
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,limited_core,48,67.6911196911197
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,wfa90,314,48.55567315834039
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,latest1y,72,72.24725274725274
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,full,350,49.339058278656886
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,limited_core,49,69.10135135135135
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,wfa90,300,46.39077053344623
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,latest1y,67,67.23008241758241
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,full,344,48.49324585102277
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,limited_core,48,67.6911196911197
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,wfa90,295,45.61759102455546
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,latest1y,66,66.22664835164835
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,full,329,46.378714781937475
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,limited_core,46,64.87065637065638
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,wfa90,281,43.452688399661305
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,latest1y,64,64.21978021978022
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,2,full,496,69.92049401775375
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,2,limited_core,63,88.8445945945946
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,2,wfa90,443,68.50370448772227
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,2,latest1y,75,75.25755494505495
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,3,full,484,68.22886916248552
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,3,limited_core,62,87.43436293436294
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,3,wfa90,433,66.95734546994073
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,3,latest1y,73,73.2506868131868
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,4,full,464,65.40949440370512
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,4,limited_core,59,83.20366795366796
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,4,wfa90,414,64.0192633361558
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.35,4,latest1y,71,71.24381868131867
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,2,full,442,62.308182169046695
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,2,limited_core,62,87.43436293436294
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,2,wfa90,394,60.926545300592714
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,2,latest1y,67,67.23008241758241
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,3,full,431,60.75752605171748
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,3,limited_core,61,86.02413127413128
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,3,wfa90,384,59.380186282811174
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,3,latest1y,66,66.22664835164835
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,4,full,413,58.220088768815124
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,4,limited_core,59,83.20366795366796
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,4,wfa90,367,56.751375952582556
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.45,4,latest1y,64,64.21978021978022
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,2,full,401,56.52846391354689
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,2,limited_core,60,84.61389961389962
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,2,wfa90,355,54.89574513124471
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,2,latest1y,59,59.20260989010989
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,3,full,393,55.40071401003473
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,3,limited_core,59,83.20366795366796
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,3,wfa90,348,53.813293818797625
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,3,latest1y,58,58.199175824175825
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,4,full,377,53.14521420301042
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,4,limited_core,57,80.38320463320463
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,4,wfa90,333,51.493755292125314
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,ratio_max,trade,15,30,4,0.55,4,latest1y,56,56.19230769230769
