variant,window,start_date,end_date,entry_combos,calendar_sessions,lookback_days,min_orderflow_imbalance,signals,signals_per_year,density_pass
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.005,1419,91.9442522618414,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.01,1290,83.58568387440127,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.0,181,117.42495559502665,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.005,177,114.82992895204262,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.01,171,110.9373889875666,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.0,169,109.6398756660746,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.005,164,106.39609236234458,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.01,157,101.85479573712256,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.0,153,99.25976909413853,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.005,148,96.01598579040852,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.01,144,93.42095914742451,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.0,1599,115.12610881135423,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.005,1466,105.55026611472502,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.01,1343,96.69441159077469,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.0,1542,111.02217622708457,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.005,1410,101.51833234772324,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.01,1286,92.59047900650502,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.0,1401,100.87034299231225,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.005,1297,93.3824659964518,True
