campaign_id,variant_id,window_minutes,start_time,end_time,invariance_rank_threshold,min_return_ticks,max_aligned_flow_imbalance,signals,signal_days,signals_per_year,signal_days_per_year,latest_252_signals,latest_252_signal_days,density_pass
nq_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,15,12:00:00,13:30:00,0.9,8,0.05,3008,1674,194.8345451321156,108.42853342791274,260,137,True
nq_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,15,12:00:00,13:30:00,0.9,12,0.05,2998,1670,194.1868239049477,108.16944493704557,260,137,True
nq_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,15,12:00:00,13:30:00,0.9,16,0.05,2959,1641,191.6607111189927,106.29105337825855,260,137,True
nq_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,15,12:00:00,13:30:00,0.95,8,0.05,1771,1002,114.71142933144174,64.90166696222734,172,96,True
nq_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,15,12:00:00,13:30:00,0.95,12,0.05,1764,999,114.25802447242418,64.70735059407696,172,96,True
nq_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,15,12:00:00,13:30:00,0.95,16,0.05,1752,993,113.48075899982265,64.31871785777619,172,96,True
nq_intraday_invariance_dislocation_reversion,midday_30m_two_sided_dislocation_fade_1430,30,11:00:00,14:30:00,0.85,8,0.05,5572,2898,360.9102677779748,187.7096116332683,396,204,True
nq_intraday_invariance_dislocation_reversion,midday_30m_two_sided_dislocation_fade_1430,30,11:00:00,14:30:00,0.85,12,0.05,5571,2898,360.845495655258,187.7096116332683,396,204,True
nq_intraday_invariance_dislocation_reversion,midday_30m_two_sided_dislocation_fade_1430,30,11:00:00,14:30:00,0.85,16,0.05,5562,2893,360.26254655080686,187.38575101968434,396,204,True
nq_intraday_invariance_dislocation_reversion,midday_30m_two_sided_dislocation_fade_1430,30,11:00:00,14:30:00,0.9,8,0.05,4535,2391,293.7415765206597,154.87014541585387,339,179,True
nq_intraday_invariance_dislocation_reversion,midday_30m_two_sided_dislocation_fade_1430,30,11:00:00,14:30:00,0.9,12,0.05,4535,2391,293.7415765206597,154.87014541585387,339,179,True
nq_intraday_invariance_dislocation_reversion,midday_30m_two_sided_dislocation_fade_1430,30,11:00:00,14:30:00,0.9,16,0.05,4530,2388,293.4177159070757,154.67582904770347,339,179,True
nq_intraday_invariance_dislocation_reversion,midday_30m_two_sided_dislocation_fade_1430,30,11:00:00,14:30:00,0.95,8,0.05,2975,1613,192.69706508246142,104.47743394218833,239,127,True
nq_intraday_invariance_dislocation_reversion,midday_30m_two_sided_dislocation_fade_1430,30,11:00:00,14:30:00,0.95,12,0.05,2974,1613,192.63229295974463,104.47743394218833,239,127,True
nq_intraday_invariance_dislocation_reversion,midday_30m_two_sided_dislocation_fade_1430,30,11:00:00,14:30:00,0.95,16,0.05,2972,1611,192.50274871431105,104.34788969675473,239,127,True
nq_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,15,13:00:00,15:30:00,0.85,8,0.05,4584,2465,296.91541053378256,159.6632824968966,346,181,True
nq_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,15,13:00:00,15:30:00,0.85,12,0.05,4555,2452,295.03701897499553,158.8212449015783,346,181,True
nq_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,15,13:00:00,15:30:00,0.85,16,0.05,4434,2379,287.1995921262635,154.09287994325234,346,181,True
nq_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,15,13:00:00,15:30:00,0.9,8,0.05,3590,1944,232.53192055328958,125.91700656144705,294,156,True
nq_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,15,13:00:00,15:30:00,0.9,12,0.05,3580,1937,231.88419932612163,125.4636017024295,294,156,True
nq_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,15,13:00:00,15:30:00,0.9,16,0.05,3529,1909,228.58082106756515,123.64998226635927,294,156,True
nq_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,15,13:00:00,15:30:00,0.95,8,0.05,2239,1246,145.02478276290122,80.70606490512502,221,119,True
nq_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,15,13:00:00,15:30:00,0.95,12,0.05,2235,1244,144.76569427203404,80.57652065969143,221,119,True
nq_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,15,13:00:00,15:30:00,0.95,16,0.05,2218,1234,143.66456818584854,79.92879943252349,221,119,True
nq_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,15,10:00:00,15:30:00,0.85,8,0.05,6069,3159,393.1020127682213,204.61513566235146,432,223,True
nq_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,15,10:00:00,15:30:00,0.85,12,0.05,6059,3156,392.45429154105335,204.4208192942011,432,223,True
nq_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,15,10:00:00,15:30:00,0.85,16,0.05,5994,3123,388.2441035644618,202.2833392445469,432,223,True
nq_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,15,10:00:00,15:30:00,0.9,8,0.05,5057,2682,327.552624578826,173.71883312644084,379,195,True
nq_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,15,10:00:00,15:30:00,0.9,12,0.05,5056,2681,327.48785245610924,173.65406100372405,379,195,True
nq_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,15,10:00:00,15:30:00,0.9,16,0.05,5025,2665,325.47991665188863,172.61770704025537,379,195,True
nq_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,15,10:00:00,15:30:00,0.95,8,0.05,3408,1849,220.74339421883312,119.76365490335165,299,157,True
nq_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,15,10:00:00,15:30:00,0.95,12,0.05,3408,1849,220.74339421883312,119.76365490335165,299,157,True
nq_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,15,10:00:00,15:30:00,0.95,16,0.05,3400,1844,220.22521723709878,119.43979428976769,299,157,True
