campaign_id,variant_id,window,breakout_buffer_ticks,min_measured_move_ticks,signals,span_years,signals_per_year,density_pass_50_per_year
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,full_available_history,2,16.0,2452,15.439358506350294,158.81488851958966,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,limited_core_window,2,16.0,197,1.5420279108677466,127.75384843011177,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,latest_252_sessions,2,16.0,185,1.0082610844931172,183.48422134432073,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,full_available_history,2,32.0,2037,15.439358506350294,131.9355334071795,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,limited_core_window,2,32.0,107,1.5420279108677466,69.38914610163431,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,latest_252_sessions,2,32.0,185,1.0082610844931172,183.48422134432073,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,full_available_history,2,64.0,1511,15.439358506350294,97.8667604213295,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,limited_core_window,2,64.0,31,1.5420279108677466,20.103397468697793,False
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,latest_252_sessions,2,64.0,184,1.0082610844931172,182.49241474245954,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,full_available_history,0,16.0,1105,15.439358506350294,71.5703310824415,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,limited_core_window,0,16.0,91,1.5420279108677466,59.0131990210161,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,latest_252_sessions,0,16.0,80,1.0082610844931172,79.34452814889545,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,full_available_history,0,32.0,978,15.439358506350294,63.34460072274008,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,limited_core_window,0,32.0,59,1.5420279108677466,38.26130485977966,False
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,latest_252_sessions,0,32.0,80,1.0082610844931172,79.34452814889545,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,full_available_history,0,64.0,746,15.439358506350294,48.31806967194693,False
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,limited_core_window,0,64.0,27,1.5420279108677466,17.50941069854324,False
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,latest_252_sessions,0,64.0,80,1.0082610844931172,79.34452814889545,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,full_available_history,1,16.0,1089,15.439358506350294,70.5340185961799,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,limited_core_window,1,16.0,84,1.5420279108677466,54.473722173245626,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,latest_252_sessions,1,16.0,80,1.0082610844931172,79.34452814889545,True
