campaign_id,variant_id,max_overnight_range_rank,min_orderflow_imbalance,orderflow_mode,min_flow_volume,start_time,end_time,flatten_time,full_start_date,full_end_date,full_signals,full_signals_per_year,limited_start_date,limited_end_date,limited_signals,limited_signals_per_year,latest_252_start_date,latest_252_end_date,latest_252_signals,density_gate_pass
nq_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,0.4,0.08,large10,10,09:45:00,11:00:00,12:00:00,2011-01-03,2026-05-29,1042,67.66053333333333,2011-02-22,2012-09-07,108,70.06571936056838,2025-05-23,2026-05-29,66,True
nq_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,0.5,0.0,large10,10,09:45:00,11:00:00,12:00:00,2011-01-03,2026-05-29,1312,85.19253333333334,2011-02-22,2012-09-07,127,82.39209591474246,2025-05-23,2026-05-29,84,True
nq_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,0.5,0.04,large10,10,09:45:00,11:00:00,12:00:00,2011-01-03,2026-05-29,1305,84.738,2011-02-22,2012-09-07,126,81.74333925399644,2025-05-23,2026-05-29,84,True
nq_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,0.5,0.08,large10,10,09:45:00,11:00:00,12:00:00,2011-01-03,2026-05-29,1292,83.89386666666667,2011-02-22,2012-09-07,125,81.09458259325044,2025-05-23,2026-05-29,84,True
nq_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,0.6,0.0,large10,10,09:45:00,11:00:00,12:00:00,2011-01-03,2026-05-29,1581,102.6596,2011-02-22,2012-09-07,153,99.25976909413853,2025-05-23,2026-05-29,104,True
nq_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,0.6,0.04,large10,10,09:45:00,11:00:00,12:00:00,2011-01-03,2026-05-29,1571,102.01026666666667,2011-02-22,2012-09-07,152,98.61101243339253,2025-05-23,2026-05-29,104,True
nq_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,0.6,0.08,large10,10,09:45:00,11:00:00,12:00:00,2011-01-03,2026-05-29,1553,100.84146666666668,2011-02-22,2012-09-07,151,97.96225577264653,2025-05-23,2026-05-29,104,True
nq_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,0.4,0.0,signed,0,09:35:00,10:30:00,11:30:00,2011-01-03,2026-05-29,1034,67.14106666666667,2011-02-22,2012-09-07,104,67.47069271758437,2025-05-23,2026-05-29,68,True
nq_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,0.4,0.02,signed,0,09:35:00,10:30:00,11:30:00,2011-01-03,2026-05-29,1014,65.8424,2011-02-22,2012-09-07,104,67.47069271758437,2025-05-23,2026-05-29,68,True
nq_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,0.4,0.04,signed,0,09:35:00,10:30:00,11:30:00,2011-01-03,2026-05-29,971,63.05026666666667,2011-02-22,2012-09-07,104,67.47069271758437,2025-05-23,2026-05-29,62,True
nq_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,0.5,0.0,signed,0,09:35:00,10:30:00,11:30:00,2011-01-03,2026-05-29,1273,82.66013333333333,2011-02-22,2012-09-07,120,77.85079928952042,2025-05-23,2026-05-29,85,True
nq_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,0.5,0.02,signed,0,09:35:00,10:30:00,11:30:00,2011-01-03,2026-05-29,1247,80.97186666666667,2011-02-22,2012-09-07,120,77.85079928952042,2025-05-23,2026-05-29,84,True
nq_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,0.5,0.04,signed,0,09:35:00,10:30:00,11:30:00,2011-01-03,2026-05-29,1191,77.3356,2011-02-22,2012-09-07,118,76.55328596802842,2025-05-23,2026-05-29,77,True
nq_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,0.6,0.0,signed,0,09:35:00,10:30:00,11:30:00,2011-01-03,2026-05-29,1531,99.41293333333334,2011-02-22,2012-09-07,146,94.71847246891652,2025-05-23,2026-05-29,104,True
nq_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,0.6,0.02,signed,0,09:35:00,10:30:00,11:30:00,2011-01-03,2026-05-29,1498,97.27013333333333,2011-02-22,2012-09-07,145,94.06971580817051,2025-05-23,2026-05-29,103,True
nq_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,0.6,0.04,signed,0,09:35:00,10:30:00,11:30:00,2011-01-03,2026-05-29,1429,92.78973333333333,2011-02-22,2012-09-07,143,92.77220248667851,2025-05-23,2026-05-29,94,True
