campaign_id,source_campaign_id,variant_id,screen_label,pivot_timeframes_minutes,min_aligned_timeframes,pivot_left_bars,pivot_right_bars,min_pivot_move_ticks,carry_pivots_across_sessions,breakout_buffer_ticks,min_orderflow_imbalance,total_signals,long_signals,short_signals,full_signals,full_years,full_signals_per_year,limited_core_signals,limited_core_years,limited_core_signals_per_year,wfa90_signals,wfa90_years,wfa90_signals_per_year,latest1y_signals,latest1y_years,latest1y_signals_per_year,density_pass_all_windows
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_large20_flow_breakout_1100,loose,"5,15",1,1,1,0,True,0,0.06,1069,667,402,1069,15.433264887063656,69.26596593932943,101,1.541409993155373,65.52442273534636,954,13.88911704312115,68.68687167356593,81,0.999315537303217,81.0554794520548,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_large20_flow_breakout_1100,loose,"5,15",1,1,1,0,True,0,0.1,1066,662,404,1066,15.433264887063656,69.07158062799361,100,1.541409993155373,64.87566607460035,950,13.88911704312115,68.39887640449439,82,0.999315537303217,82.05616438356164,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_large20_flow_breakout_1100,loose,"5,15",1,1,1,0,True,2,0.02,1002,623,379,1002,15.433264887063656,64.92469398616285,93,1.541409993155373,60.33436944937833,892,13.88911704312115,64.22294500295683,76,0.999315537303217,76.05205479452054,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_large20_flow_breakout_1100,loose,"5,15",1,1,1,0,True,2,0.06,997,626,371,997,15.433264887063656,64.60071846726981,90,1.541409993155373,58.388099467140314,885,13.88911704312115,63.71895328208161,78,0.999315537303217,78.05342465753425,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_large20_flow_breakout_1100,loose,"5,15",1,1,1,0,True,2,0.1,993,619,374,993,15.433264887063656,64.3415380521554,89,1.541409993155373,57.73934280639431,880,13.88911704312115,63.358959195742166,79,0.999315537303217,79.05410958904109,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_large20_flow_breakout_1100,loose,"5,15",1,1,1,0,True,4,0.02,874,539,335,874,15.433264887063656,56.63092070250133,77,1.541409993155373,49.954262877442275,770,13.88911704312115,55.439089296274396,72,0.999315537303217,72.04931506849314,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_large20_flow_breakout_1100,loose,"5,15",1,1,1,0,True,4,0.06,870,540,330,870,15.433264887063656,56.371740287386906,75,1.541409993155373,48.65674955595026,764,13.88911704312115,55.00709639266706,74,0.999315537303217,74.05068493150685,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_large20_flow_breakout_1100,loose,"5,15",1,1,1,0,True,4,0.1,860,530,330,860,15.433264887063656,55.72378924960085,75,1.541409993155373,48.65674955595026,754,13.88911704312115,54.28710821998817,74,0.999315537303217,74.05068493150685,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or60_signed_flow_breakout_1200,loose,"5,15",1,1,1,0,True,0,0.02,979,637,342,979,15.433264887063656,63.43440659925492,73,1.541409993155373,47.35923623445826,886,13.88911704312115,63.7909520993495,70,0.999315537303217,70.04794520547945,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or60_signed_flow_breakout_1200,loose,"5,15",1,1,1,0,True,0,0.06,935,615,320,935,15.433264887063656,60.583422032996275,72,1.541409993155373,46.710479573712256,853,13.88911704312115,61.41499112950917,61,0.999315537303217,61.041780821917804,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or60_signed_flow_breakout_1200,loose,"5,15",1,1,1,0,True,0,0.1,830,544,286,830,15.433264887063656,53.77993613624268,72,1.541409993155373,46.710479573712256,778,13.88911704312115,56.015079834417506,37,0.999315537303217,37.025342465753425,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or60_signed_flow_breakout_1200,loose,"5,15",1,1,1,0,True,2,0.02,897,578,319,897,15.433264887063656,58.12120808940926,56,1.541409993155373,36.330373001776195,809,13.88911704312115,58.247043169722055,67,0.999315537303217,67.0458904109589,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or60_signed_flow_breakout_1200,loose,"5,15",1,1,1,0,True,2,0.06,855,555,300,855,15.433264887063656,55.39981373070782,55,1.541409993155373,35.68161634103019,776,13.88911704312115,55.87108219988173,60,0.999315537303217,60.04109589041096,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or60_signed_flow_breakout_1200,loose,"5,15",1,1,1,0,True,2,0.1,747,492,255,747,15.433264887063656,48.40194252261841,53,1.541409993155373,34.38410301953819,698,13.88911704312115,50.255174452986395,35,0.999315537303217,35.023972602739725,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or60_signed_flow_breakout_1200,loose,"5,15",1,1,1,0,True,4,0.02,803,511,292,803,15.433264887063656,52.03046833422033,41,1.541409993155373,26.599023090586144,717,13.88911704312115,51.62315198107628,65,0.999315537303217,65.04452054794521,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or60_signed_flow_breakout_1200,loose,"5,15",1,1,1,0,True,4,0.06,778,494,284,778,15.433264887063656,50.410590739755186,41,1.541409993155373,26.599023090586144,700,13.88911704312115,50.399172087522174,59,0.999315537303217,59.04041095890411,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or60_signed_flow_breakout_1200,loose,"5,15",1,1,1,0,True,4,0.1,675,435,240,675,15.433264887063656,43.73669505055881,40,1.541409993155373,25.95026642984014,630,13.88911704312115,45.35925487876996,33,0.999315537303217,33.022602739726025,False
