campaign_id,end_date,entry.params.min_orderflow_imbalance,entry.params.semivar_rank_threshold,run_id,session_days_with_signal_bar,signal_days,signals,signals_per_year,sl.params.stop_pct,start_date,tp.params.target_r_multiple,variant_id,window
es_semivariance_orderflow_confirmation,2026-06-09,0.0,0.5,28,3817,1077,1077,71.10400838354728,0.0015,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.0,0.5,29,374,113,113,76.13903743315508,0.0015,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.0,0.5,29,3817,1077,1077,71.10400838354728,0.0015,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.0,0.5,30,374,113,113,76.13903743315508,0.0015,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.0,0.5,30,3817,1077,1077,71.10400838354728,0.0015,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.0,0.5,31,374,113,113,76.13903743315508,0.0025,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.0,0.5,31,3817,1077,1077,71.10400838354728,0.0025,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.0,0.5,32,374,113,113,76.13903743315508,0.0025,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.0,0.5,32,3817,1077,1077,71.10400838354728,0.0025,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.0,0.5,33,374,113,113,76.13903743315508,0.0025,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.0,0.5,33,3817,1077,1077,71.10400838354728,0.0025,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.0,0.5,34,374,113,113,76.13903743315508,0.004,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.0,0.5,34,3817,1077,1077,71.10400838354728,0.004,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.0,0.5,35,374,113,113,76.13903743315508,0.004,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.0,0.5,35,3817,1077,1077,71.10400838354728,0.004,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.0,0.5,36,374,113,113,76.13903743315508,0.004,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.0,0.5,36,3817,1077,1077,71.10400838354728,0.004,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.5,37,374,109,109,73.44385026737967,0.0015,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.5,37,3817,1019,1019,67.27482315954938,0.0015,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.5,38,374,109,109,73.44385026737967,0.0015,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.5,38,3817,1019,1019,67.27482315954938,0.0015,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.5,39,374,109,109,73.44385026737967,0.0015,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.5,39,3817,1019,1019,67.27482315954938,0.0015,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.5,40,374,109,109,73.44385026737967,0.0025,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.5,40,3817,1019,1019,67.27482315954938,0.0025,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.5,41,374,109,109,73.44385026737967,0.0025,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.5,41,3817,1019,1019,67.27482315954938,0.0025,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.5,42,374,109,109,73.44385026737967,0.0025,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.5,42,3817,1019,1019,67.27482315954938,0.0025,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.5,43,374,109,109,73.44385026737967,0.004,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.5,43,3817,1019,1019,67.27482315954938,0.004,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.5,44,374,109,109,73.44385026737967,0.004,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.5,44,3817,1019,1019,67.27482315954938,0.004,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.5,45,374,109,109,73.44385026737967,0.004,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.5,45,3817,1019,1019,67.27482315954938,0.004,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.5,46,374,106,106,71.42245989304813,0.0015,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.5,46,3817,952,952,62.85145402148284,0.0015,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.5,47,374,106,106,71.42245989304813,0.0015,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.5,47,3817,952,952,62.85145402148284,0.0015,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.5,48,374,106,106,71.42245989304813,0.0015,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.5,48,3817,952,952,62.85145402148284,0.0015,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.5,49,374,106,106,71.42245989304813,0.0025,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.5,49,3817,952,952,62.85145402148284,0.0025,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.5,50,374,106,106,71.42245989304813,0.0025,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.5,50,3817,952,952,62.85145402148284,0.0025,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.5,51,374,106,106,71.42245989304813,0.0025,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.5,51,3817,952,952,62.85145402148284,0.0025,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.5,52,374,106,106,71.42245989304813,0.004,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.5,52,3817,952,952,62.85145402148284,0.004,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.5,53,374,106,106,71.42245989304813,0.004,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.5,53,3817,952,952,62.85145402148284,0.004,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.5,54,374,106,106,71.42245989304813,0.004,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
