campaign_id,variant_id,window,start_date,end_date,entry_combinations,max_overnight_range_rank,breakout_buffer_ticks,signals,years_proxy,signals_per_year,density_gate_pass
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.4,2,966,15.403148528405202,62.714450764308566,True
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.2,0,45,1.538672142368241,29.245996441281136,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.2,1,43,1.538672142368241,27.9461743772242,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.2,2,42,1.538672142368241,27.29626334519573,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.3,0,71,1.538672142368241,46.14368327402135,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.3,1,69,1.538672142368241,44.84386120996441,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.3,2,67,1.538672142368241,43.54403914590747,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.4,0,93,1.538672142368241,60.44172597864768,True
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.4,1,90,1.538672142368241,58.49199288256227,True
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.4,2,87,1.538672142368241,56.54225978647686,True
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,full_configured_period,2011-01-03,2026-05-29,9,0.2,0,251,15.403148528405202,16.29536971205119,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,full_configured_period,2011-01-03,2026-05-29,9,0.2,1,236,15.403148528405202,15.321542836829009,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,full_configured_period,2011-01-03,2026-05-29,9,0.2,2,224,15.403148528405202,14.542481336651262,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,full_configured_period,2011-01-03,2026-05-29,9,0.3,0,363,15.403148528405202,23.566610380376822,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,full_configured_period,2011-01-03,2026-05-29,9,0.3,1,345,15.403148528405202,22.398018130110202,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,full_configured_period,2011-01-03,2026-05-29,9,0.3,2,330,15.403148528405202,21.42419125488802,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,full_configured_period,2011-01-03,2026-05-29,9,0.4,0,467,15.403148528405202,30.318476715250622,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,full_configured_period,2011-01-03,2026-05-29,9,0.4,1,442,15.403148528405202,28.69543192321365,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,full_configured_period,2011-01-03,2026-05-29,9,0.4,2,421,15.403148528405202,27.332074297902594,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.2,0,23,1.538672142368241,14.947953736654803,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.2,1,20,1.538672142368241,12.998220640569395,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.2,2,19,1.538672142368241,12.348309608540925,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.3,0,31,1.538672142368241,20.14724199288256,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.3,1,28,1.538672142368241,18.197508896797153,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.3,2,27,1.538672142368241,17.547597864768683,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.4,0,39,1.538672142368241,25.34653024911032,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.4,1,35,1.538672142368241,22.74688612099644,False
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.4,2,33,1.538672142368241,21.4470640569395,False
es_overnight_range_compression_orderflow_breakout,morning_signed_low_breakout_short_1030,full_configured_period,2011-01-03,2026-05-29,9,0.2,0,232,15.403148528405202,15.061855670103093,False
es_overnight_range_compression_orderflow_breakout,morning_signed_low_breakout_short_1030,full_configured_period,2011-01-03,2026-05-29,9,0.2,1,219,15.403148528405202,14.217872378243868,False
es_overnight_range_compression_orderflow_breakout,morning_signed_low_breakout_short_1030,full_configured_period,2011-01-03,2026-05-29,9,0.2,2,211,15.403148528405202,13.698498044792037,False
es_overnight_range_compression_orderflow_breakout,morning_signed_low_breakout_short_1030,full_configured_period,2011-01-03,2026-05-29,9,0.3,0,350,15.403148528405202,22.722627088517598,False
es_overnight_range_compression_orderflow_breakout,morning_signed_low_breakout_short_1030,full_configured_period,2011-01-03,2026-05-29,9,0.3,1,332,15.403148528405202,21.554034838250978,False
es_overnight_range_compression_orderflow_breakout,morning_signed_low_breakout_short_1030,full_configured_period,2011-01-03,2026-05-29,9,0.3,2,321,15.403148528405202,20.83989512975471,False
es_overnight_range_compression_orderflow_breakout,morning_signed_low_breakout_short_1030,full_configured_period,2011-01-03,2026-05-29,9,0.4,0,439,15.403148528405202,28.500666548169214,False
