variant,mode,macro,op,threshold,entry_time,signal_bar_time,flow_column,ret_bps,flow_threshold,all_windows_ge_50,min_window_tpy,full_count,full_tpy,limited_10pct_count,limited_10pct_tpy,wfa90_count,wfa90_tpy,latest1y_count,latest1y_tpy
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,2,250,True,65.89,1036,67.14,151,97.79,915,65.89,66,66.05
import_disinflation_signed_long_1030,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,10:30:00,10:29:00,signed_volume,0,0,True,61.07,967,62.67,147,95.2,848,61.07,77,77.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,0,0,True,60.42,970,62.86,156,101.03,839,60.42,74,74.05
import_disinflation_signed_long_1030,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,10:30:00,10:29:00,signed_volume,1,0,True,59.99,950,61.57,145,93.9,833,59.99,76,76.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,0,100,True,59.99,960,62.21,156,101.03,833,59.99,71,71.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,1,0,True,59.77,957,62.02,155,100.38,830,59.77,72,72.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,1,100,True,59.34,947,61.37,155,100.38,824,59.34,69,69.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,0,250,True,59.05,941,60.98,156,101.03,820,59.05,68,68.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,2,0,True,58.69,940,60.92,151,97.79,815,58.69,72,72.05
import_disinflation_signed_long_1030,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,10:30:00,10:29:00,signed_volume,2,0,True,58.55,926,60.01,139,90.02,813,58.55,72,72.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,1,250,True,58.4,929,60.21,155,100.38,811,58.4,66,66.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,2,100,True,58.26,930,60.27,151,97.79,809,58.26,69,69.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,2,250,True,57.39,913,59.17,151,97.79,797,57.39,66,66.05
core_pressure_signed_short_1100,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,11:00:00,10:59:00,signed_volume,0,0,True,54.04,950,61.57,139,90.02,871,62.72,54,54.04
core_pressure_signed_short_1100,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,11:00:00,10:59:00,signed_volume,1,0,True,54.04,930,60.27,135,87.43,851,61.28,54,54.04
core_pressure_signed_short_1100,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,11:00:00,10:59:00,signed_volume,2,0,True,54.04,911,59.04,132,85.48,832,59.91,54,54.04
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,0,0,True,52.71,832,53.92,149,96.49,732,52.71,65,65.04
import_disinflation_signed_long_1030,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,10:30:00,10:29:00,signed_volume,0,0,True,52.64,823,53.34,140,90.66,731,52.64,66,66.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,0,100,True,52.35,823,53.34,149,96.49,727,52.35,62,62.04
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,1,0,True,52.07,819,53.08,148,95.85,723,52.07,63,63.04
import_disinflation_signed_long_1030,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,10:30:00,10:29:00,signed_volume,1,0,True,51.78,809,52.43,138,89.37,719,51.78,65,65.04
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,1,100,True,51.71,810,52.49,148,95.85,718,51.71,60,60.04
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,0,250,True,51.56,808,52.36,149,96.49,716,51.56,59,59.04
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,2,0,True,51.13,805,52.17,144,93.26,710,51.13,63,63.04
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,1,250,True,50.91,796,51.59,148,95.85,707,50.91,57,57.04
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,2,100,True,50.77,796,51.59,144,93.26,705,50.77,60,60.04
import_disinflation_signed_long_1030,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,10:30:00,10:29:00,signed_volume,2,0,True,50.48,788,51.07,132,85.48,701,50.48,62,62.04
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,2,250,True,50.05,783,50.74,144,93.26,695,50.05,57,57.04
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,0,0,True,50.03,893,57.87,127,82.25,803,57.83,50,50.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,1,0,True,50.03,876,56.77,122,79.01,786,56.6,50,50.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,2,0,True,50.03,858,55.6,117,75.77,768,55.31,50,50.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,0,100,False,49.03,880,57.03,127,82.25,791,56.96,49,49.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,1,100,False,49.03,865,56.06,122,79.01,776,55.88,49,49.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,2,100,False,49.03,847,54.89,117,75.77,758,54.59,49,49.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,0,250,False,47.03,863,55.93,127,82.25,777,55.95,47,47.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,1,250,False,47.03,848,54.96,122,79.01,762,54.87,47,47.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,2,250,False,47.03,830,53.79,117,75.77,744,53.58,47,47.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,0,0,False,43.03,768,49.77,120,77.71,704,50.7,43,43.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,1,0,False,43.03,753,48.8,115,74.47,689,49.62,43,43.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,2,0,False,43.03,736,47.7,110,71.24,672,48.39,43,43.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,0,100,False,42.03,756,48.99,120,77.71,693,49.91,42,42.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,1,100,False,42.03,743,48.15,115,74.47,680,48.97,42,42.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,2,100,False,42.03,726,47.05,110,71.24,663,47.74,42,42.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,0,250,False,41.03,747,48.41,120,77.71,685,49.33,41,41.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,1,250,False,41.03,734,47.57,115,74.47,672,48.39,41,41.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,2,250,False,41.03,717,46.47,110,71.24,655,47.17,41,41.03
core_pressure_signed_short_1100,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,11:00:00,10:59:00,signed_volume,0,0,False,38.03,809,52.43,124,80.3,759,54.66,38,38.03
core_pressure_signed_short_1100,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,11:00:00,10:59:00,signed_volume,1,0,False,38.03,791,51.26,120,77.71,741,53.36,38,38.03
core_pressure_signed_short_1100,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,11:00:00,10:59:00,signed_volume,2,0,False,38.03,774,50.16,117,75.77,724,52.14,38,38.03
broad_import_pressure_signed_short_1100,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,11:00:00,10:59:00,signed_volume,0,0,False,35.62,865,56.06,55,35.62,773,55.67,57,57.04
broad_import_pressure_signed_short_1100,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,11:00:00,10:59:00,signed_volume,1,0,False,35.62,844,54.7,55,35.62,753,54.23,57,57.04
broad_import_pressure_signed_short_1100,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,11:00:00,10:59:00,signed_volume,2,0,False,35.62,828,53.66,55,35.62,737,53.07,57,57.04
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,0,0,False,29.79,757,49.06,46,29.79,682,49.11,43,43.03
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,1,0,False,29.79,748,48.48,46,29.79,673,48.46,43,43.03
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,0,100,False,29.79,750,48.6,46,29.79,676,48.68,42,42.03
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,1,100,False,29.79,741,48.02,46,29.79,667,48.03,42,42.03
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,0,250,False,29.79,732,47.44,46,29.79,660,47.53,41,41.03
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,1,250,False,29.79,724,46.92,46,29.79,652,46.95,41,41.03
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,2,0,False,28.49,733,47.5,44,28.49,658,47.38,43,43.03
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,2,100,False,28.49,726,47.05,44,28.49,652,46.95,42,42.03
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,2,250,False,28.49,709,45.95,44,28.49,637,45.87,41,41.03
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,0,0,False,28.02,645,41.8,109,70.59,603,43.42,28,28.02
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,0,100,False,28.02,636,41.22,109,70.59,594,42.78,28,28.02
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,1,0,False,28.02,632,40.96,105,68.0,590,42.49,28,28.02
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,1,100,False,28.02,625,40.5,105,68.0,583,41.98,28,28.02
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,2,0,False,28.02,618,40.05,101,65.41,576,41.48,28,28.02
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,2,100,False,28.02,611,39.6,101,65.41,569,40.98,28,28.02
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,0,250,False,27.02,628,40.7,109,70.59,587,42.27,27,27.02
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,1,250,False,27.02,617,39.99,105,68.0,576,41.48,27,27.02
core_pressure_large10_short_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,2,250,False,27.02,603,39.08,101,65.41,562,40.47,27,27.02
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,0,0,False,24.61,909,58.91,38,24.61,744,53.58,103,103.07
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,1,0,False,24.61,893,57.87,38,24.61,732,52.71,101,101.07
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,0,100,False,24.61,898,58.2,38,24.61,737,53.07,100,100.07
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,1,100,False,24.61,882,57.16,38,24.61,725,52.21,98,98.07
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,0,250,False,24.61,882,57.16,38,24.61,728,52.43,96,96.07
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,1,250,False,24.61,867,56.19,38,24.61,716,51.56,94,94.06
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,2,0,False,23.31,877,56.84,36,23.31,718,51.71,101,101.07
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,2,100,False,23.31,866,56.12,36,23.31,711,51.2,98,98.07
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,12:00:00,11:59:00,large10_signed_volume,2,250,False,23.31,852,55.22,36,23.31,703,50.63,94,94.06
export_demand_signed_long_1030,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,10:30:00,10:29:00,signed_volume,0,0,False,22.67,881,57.09,35,22.67,733,52.79,101,101.07
export_demand_signed_long_1030,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,10:30:00,10:29:00,signed_volume,1,0,False,21.37,857,55.54,33,21.37,711,51.2,100,100.07
export_demand_signed_long_1030,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.35,10:30:00,10:29:00,signed_volume,2,0,False,21.37,840,54.44,33,21.37,698,50.27,96,96.07
broad_import_pressure_signed_short_1100,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,11:00:00,10:59:00,signed_volume,0,0,False,16.84,635,41.15,26,16.84,589,42.42,21,21.01
broad_import_pressure_signed_short_1100,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,11:00:00,10:59:00,signed_volume,1,0,False,16.84,618,40.05,26,16.84,573,41.26,21,21.01
broad_import_pressure_signed_short_1100,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,11:00:00,10:59:00,signed_volume,2,0,False,16.84,606,39.27,26,16.84,561,40.4,21,21.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,0,0,False,16.84,584,37.85,26,16.84,541,38.96,20,20.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,0,100,False,16.84,579,37.52,26,16.84,536,38.6,20,20.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,1,0,False,16.84,576,37.33,26,16.84,533,38.38,20,20.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,1,100,False,16.84,571,37.0,26,16.84,528,38.02,20,20.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,0,250,False,16.84,563,36.49,26,16.84,522,37.59,19,19.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,1,250,False,16.84,556,36.03,26,16.84,515,37.09,19,19.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,2,0,False,16.19,565,36.62,25,16.19,522,37.59,20,20.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,2,100,False,16.19,560,36.29,25,16.19,517,37.23,20,20.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,2,250,False,16.19,545,35.32,25,16.19,504,36.29,19,19.01
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,0,0,False,15.54,764,49.51,24,15.54,615,44.29,95,95.07
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,1,0,False,15.54,749,48.54,24,15.54,604,43.5,93,93.06
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,0,100,False,15.54,754,48.86,24,15.54,609,43.86,92,92.06
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,1,100,False,15.54,739,47.89,24,15.54,598,43.06,90,90.06
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,0,250,False,15.54,740,47.96,24,15.54,602,43.35,88,88.06
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,1,250,False,15.54,726,47.05,24,15.54,591,42.56,86,86.06
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,2,0,False,14.89,735,47.63,23,14.89,592,42.63,93,93.06
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,2,100,False,14.89,725,46.98,23,14.89,586,42.2,90,90.06
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,12:00:00,11:59:00,large10_signed_volume,2,250,False,14.89,713,46.21,23,14.89,580,41.77,86,86.06
export_demand_signed_long_1030,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,10:30:00,10:29:00,signed_volume,0,0,False,14.25,754,48.86,22,14.25,621,44.72,93,93.06
export_demand_signed_long_1030,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,10:30:00,10:29:00,signed_volume,1,0,False,12.95,734,47.57,20,12.95,602,43.35,92,92.06
export_demand_signed_long_1030,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.45,10:30:00,10:29:00,signed_volume,2,0,False,12.95,722,46.79,20,12.95,593,42.7,89,89.06
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,0,0,False,10.36,647,41.93,16,10.36,530,38.17,63,63.04
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,1,0,False,10.36,635,41.15,16,10.36,521,37.52,62,62.04
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,0,100,False,10.36,639,41.41,16,10.36,525,37.81,61,61.04
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,1,100,False,10.36,627,40.63,16,10.36,516,37.16,60,60.04
export_demand_signed_long_1030,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,10:30:00,10:29:00,signed_volume,0,0,False,10.36,634,41.09,16,10.36,535,38.53,59,59.04
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,0,250,False,10.36,629,40.76,16,10.36,521,37.52,58,58.04
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,1,250,False,10.36,618,40.05,16,10.36,512,36.87,57,57.04
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,2,0,False,9.71,624,40.44,15,9.71,512,36.87,62,62.04
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,2,100,False,9.71,616,39.92,15,9.71,507,36.51,60,60.04
export_demand_large10_long_1200,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,2,250,False,9.71,607,39.34,15,9.71,503,36.22,57,57.04
export_demand_signed_long_1030,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,10:30:00,10:29:00,signed_volume,1,0,False,9.07,617,39.99,14,9.07,518,37.3,59,59.04
export_demand_signed_long_1030,export_demand_strength_long,export_all_mom3_rank_120m,>=,0.55,10:30:00,10:29:00,signed_volume,2,0,False,9.07,609,39.47,14,9.07,511,36.8,58,58.04
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,0,0,False,9.07,345,22.36,14,9.07,298,21.46,35,35.02
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,1,0,False,9.07,325,21.06,14,9.07,281,20.24,34,34.02
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,2,0,False,9.07,317,20.54,14,9.07,274,19.73,33,33.02
