campaign_id,variant_id,source_run_id,source_config_path,new_config_path,core_passed,number_passing_benchmark,profitable_combo_rate,top_net_profit,top_profit_factor,top_mar,top_trades_per_year,top_failure_reason,target_key,target_grid_values,target_grid_values_below_1r,target_grid_has_below_1r,top_target_value,top_target_is_grid_max,higher_target_net_slope,higher_target_pf_slope,higher_target_profitable_rate_slope,higher_target_evidence_score,target_grid_note
es_mes_lead_lag_catchup,late_morning30_signed_two_sided_1130,stop_widen_rescue1,campaigns/es_mes_lead_lag_catchup/rescue_attempts/stop_distance_rescue_1/late_morning30_signed_two_sided_1130/config.yaml,campaigns/es_mes_lead_lag_catchup/rescue_attempts/tp_min_rr_floor_rescue_1/late_morning30_signed_two_sided_1130/config.yaml,False,0,0.0,-132.5,0.984887368120901,-0.08446184265020894,192.6814625264505,min_total_net_profit,tp.params.target_r_multiple,"[0.75, 1.0, 1.5]",[0.75],True,1.5,True,1962.8472222222226,0.21277434510889992,0.0,4.0,target_grid_evaluated
es_mes_participation_crowding_reversion,afternoon_trade_up_reversal_short_1400,rescue1,campaigns/es_mes_participation_crowding_reversion/rescue_attempts/parameter_space_rescue_1/afternoon_trade_up_reversal_short_1400/config.yaml,campaigns/es_mes_participation_crowding_reversion/rescue_attempts/tp_min_rr_floor_rescue_1/afternoon_trade_up_reversal_short_1400/config.yaml,False,0,0.0,-1522.5,0.8258009153318078,-0.990025327662052,70.3966806645363,min_total_net_profit;preferred_min_total_trades,tp.params.target_r_multiple,"[0.75, 1.0, 1.25]",[0.75],True,1.0,False,-4035.0694444444443,-0.21054135089026887,0.0,1.0,target_grid_evaluated
es_midday_range_orderflow_breakout,late_lunch_1200_1330_large10_breakout_1500,run1,campaigns/es_midday_range_orderflow_breakout/variants/late_lunch_1200_1330_large10_breakout_1500/config.yaml,campaigns/es_midday_range_orderflow_breakout/rescue_attempts/tp_min_rr_floor_rescue_1/late_lunch_1200_1330_large10_breakout_1500/config.yaml,False,0,0.0,-4603.75,0.7792231147344443,-0.52241205752598,145.04194874725164,min_total_net_profit;max_consecutive_losses,tp.params.target_r_multiple,"[0.75, 1.0, 1.5]",[0.75],True,1.5,True,-336.34259259259306,0.055538324549351814,0.0,3.0,target_grid_evaluated
es_monthly_opex_pressure,nonquarterly_post_opex_monday_reversal_long_1000,rescue1,campaigns/es_monthly_opex_pressure/rescue_attempts/parameter_space_rescue_1/nonquarterly_post_opex_monday_reversal_long_1000/config.yaml,campaigns/es_monthly_opex_pressure/rescue_attempts/tp_min_rr_floor_rescue_1/nonquarterly_post_opex_monday_reversal_long_1000/config.yaml,False,0,0.16666666666666666,323.125,1.2201873935264054,0.2719297526643793,8.317294560426449,min_mar;preferred_min_total_trades;max_best_day_concentration,tp.params.target_r_multiple,"[0.75, 1.25, 1.75]",[0.75],True,1.75,True,303.125,0.30093029079658984,0.25,4.0,target_grid_evaluated
es_morning_trend_lunch_reversal_orderflow,late_morning_signed_up_extension_short_1130,rescue1,campaigns/es_morning_trend_lunch_reversal_orderflow/rescue_attempts/parameter_space_rescue_1/late_morning_signed_up_extension_short_1130/config.yaml,campaigns/es_morning_trend_lunch_reversal_orderflow/rescue_attempts/tp_min_rr_floor_rescue_1/late_morning_signed_up_extension_short_1130/config.yaml,False,0,0.012345679012345678,51.875,1.0137235449735449,0.033733866907255,45.085926192798176,min_trades_per_year;preferred_min_total_trades;max_best_day_concentration,tp.params.target_r_multiple,"[0.25, 0.5, 0.75]","[0.25, 0.5, 0.75]",True,0.75,True,813.773148148148,0.42497046972219354,0.037037037037037035,4.0,target_grid_evaluated
es_naaim_exposure_sentiment,level_median_contrarian_1000,rescue1,campaigns/es_naaim_exposure_sentiment/rescue_attempts/parameter_space_rescue_1/level_median_contrarian_1000/config.yaml,campaigns/es_naaim_exposure_sentiment/rescue_attempts/tp_min_rr_floor_rescue_1/level_median_contrarian_1000/config.yaml,False,0,0.0,-1687.5,0.610726643598616,-0.6188685088186374,52.84304121769271,min_total_net_profit,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,1.0,True,754.166666666667,0.25161129584812325,0.0,4.0,target_grid_evaluated
es_nq_relative_value_orderflow_absorption_reversion,morning15_two_sided_absorption_1000,rescue1,campaigns/es_nq_relative_value_orderflow_absorption_reversion/rescue_attempts/parameter_space_rescue_1/morning15_two_sided_absorption_1000/config.yaml,campaigns/es_nq_relative_value_orderflow_absorption_reversion/rescue_attempts/tp_min_rr_floor_rescue_1/morning15_two_sided_absorption_1000/config.yaml,False,0,0.0,-2048.125,0.7677862811791383,-0.3834393023839738,71.09392070615692,min_total_net_profit,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,0.75,False,712.0370370370365,0.12308327551897724,0.0,3.0,target_grid_evaluated
es_oil_price_shock_spillover,wti_down_relief_long_1000,rescue1,campaigns/es_oil_price_shock_spillover/rescue_attempts/parameter_space_rescue_1/wti_down_relief_long_1000/config.yaml,campaigns/es_oil_price_shock_spillover/rescue_attempts/tp_min_rr_floor_rescue_1/wti_down_relief_long_1000/config.yaml,False,0,0.0,-1040.0,0.9033906177426846,-0.23519528219892225,63.87700701286731,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate,tp.params.target_r_multiple,"[0.75, 1.0, 1.25]",[0.75],True,1.0,False,-1364.2361111111109,-0.019456648716664304,0.0,1.0,target_grid_evaluated
es_opening_drive_inventory_absorption,open60_flow_continuation_1130,rescue1,campaigns/es_opening_drive_inventory_absorption/rescue_attempts/parameter_space_rescue_1/open60_flow_continuation_1130/config.yaml,campaigns/es_opening_drive_inventory_absorption/rescue_attempts/tp_min_rr_floor_rescue_1/open60_flow_continuation_1130/config.yaml,True,0,0.8888888888888888,1422.5,1.5518913676042676,0.719551274475427,19.62798880447821,min_trades_per_year;preferred_min_total_trades,tp.params.target_r_multiple,"[0.75, 1.0, 1.25]",[0.75],True,1.25,True,294.3287037037037,0.13283253216231738,0.14814814814814814,4.0,target_grid_evaluated
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,run1,campaigns/es_opening_drive_mes_crowding_reversal/variants/od30_notional_failed_extension_reversal_1300/config.yaml,campaigns/es_opening_drive_mes_crowding_reversal/rescue_attempts/tp_min_rr_floor_rescue_1/od30_notional_failed_extension_reversal_1300/config.yaml,False,6,0.345679012345679,1425.0,1.1796973518284994,1.5574766895154655,143.9715780738555,,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,1.0,True,803.2407407407408,0.13793428119908668,0.2592592592592593,4.0,target_grid_evaluated
es_opening_drive_vwap_orderflow_pullback,drive60_large20_pullback_1430,rescue1,campaigns/es_opening_drive_vwap_orderflow_pullback/rescue_attempts/parameter_space_rescue_1/drive60_large20_pullback_1430/config.yaml,campaigns/es_opening_drive_vwap_orderflow_pullback/rescue_attempts/tp_min_rr_floor_rescue_1/drive60_large20_pullback_1430/config.yaml,False,0,0.0,-1240.0,0.8619537990537156,-0.28535010791403653,67.53668935597278,min_total_net_profit;max_consecutive_losses,tp.params.target_r_multiple,"[0.75, 1.0, 1.5]",[0.75],True,1.5,True,-1.25,0.12134339344585165,0.0,3.0,target_grid_evaluated
es_opening_gap_orderflow_absorption_fade,late_morning_large20_gap_absorption_fade_1100,run1,campaigns/es_opening_gap_orderflow_absorption_fade/variants/late_morning_large20_gap_absorption_fade_1100/config.yaml,campaigns/es_opening_gap_orderflow_absorption_fade/rescue_attempts/tp_min_rr_floor_rescue_1/late_morning_large20_gap_absorption_fade_1100/config.yaml,False,0,0.0,-1815.0,0.7985012489592007,-0.3958710123830476,65.20316502533159,min_total_net_profit,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,1.0,True,223.14814814814827,0.15674536180656612,0.0,4.0,target_grid_evaluated
es_opening_gap_orderflow_continuation,late_morning_large10_gap_hold_continuation_1100,run1,campaigns/es_opening_gap_orderflow_continuation/variants/late_morning_large10_gap_hold_continuation_1100/config.yaml,campaigns/es_opening_gap_orderflow_continuation/rescue_attempts/tp_min_rr_floor_rescue_1/late_morning_large10_gap_hold_continuation_1100/config.yaml,False,0,0.0,-407.5,0.9660416666666667,-0.10920811104166402,51.32806680543288,min_total_net_profit,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,1.0,True,1018.75,0.08959261509072247,0.0,4.0,target_grid_evaluated
es_opening_range_failed_breakout_trend_orderflow,or15_full_session_large10_trend_reclaim_1530,rescue1,campaigns/es_opening_range_failed_breakout_trend_orderflow/rescue_attempts/parameter_space_rescue_1/or15_full_session_large10_trend_reclaim_1530/config.yaml,campaigns/es_opening_range_failed_breakout_trend_orderflow/rescue_attempts/tp_min_rr_floor_rescue_1/or15_full_session_large10_trend_reclaim_1530/config.yaml,False,0,0.0,-2852.5,0.31430288461538464,-0.6569883267149538,71.45476501962364,min_total_net_profit;max_consecutive_losses,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,1.0,True,187.08333333333348,0.1607326994366308,0.0,4.0,target_grid_evaluated
es_opening_range_nq_orderflow_breakout,or15_nq15_signed_breakout_1030,run1,campaigns/es_opening_range_nq_orderflow_breakout/variants/or15_nq15_signed_breakout_1030/config.yaml,campaigns/es_opening_range_nq_orderflow_breakout/rescue_attempts/tp_min_rr_floor_rescue_1/or15_nq15_signed_breakout_1030/config.yaml,False,0,0.0,-7640.625,0.822641016713092,-0.5053989344648052,185.1546345910132,min_total_net_profit;max_consecutive_losses,tp.params.target_r_multiple,"[0.75, 1.0, 1.25]",[0.75],True,1.25,True,1341.666666666666,0.06907734584502201,0.0,4.0,target_grid_evaluated
