campaign_id,variant_id,share_rank_min,min_abs_return_ticks,signals,signals_per_year,status,seconds
nq_pivot_filtered_mes_participation_crowding_reversion,midday_notional_two_sided_reversal_window_1330,0.55,2,911,128.273998,PASS,13.466
nq_pivot_filtered_mes_participation_crowding_reversion,midday_notional_two_sided_reversal_window_1330,0.55,3,907,127.710775,PASS,13.057
nq_pivot_filtered_mes_participation_crowding_reversion,midday_notional_two_sided_reversal_window_1330,0.65,1,777,109.406033,PASS,12.85
nq_pivot_filtered_mes_participation_crowding_reversion,midday_notional_two_sided_reversal_window_1330,0.65,2,773,108.84281,PASS,13.503
nq_pivot_filtered_mes_participation_crowding_reversion,midday_notional_two_sided_reversal_window_1330,0.65,3,771,108.561199,PASS,12.857
nq_pivot_filtered_mes_participation_crowding_reversion,afternoon_trade_two_sided_reversal_window_1500,0.45,1,741,104.337028,PASS,13.254
nq_pivot_filtered_mes_participation_crowding_reversion,afternoon_trade_two_sided_reversal_window_1500,0.45,2,740,104.196222,PASS,16.122
nq_pivot_filtered_mes_participation_crowding_reversion,afternoon_trade_two_sided_reversal_window_1500,0.45,3,739,104.055416,PASS,21.096
nq_pivot_filtered_mes_participation_crowding_reversion,afternoon_trade_two_sided_reversal_window_1500,0.55,1,665,93.635794,PASS,22.03
nq_pivot_filtered_mes_participation_crowding_reversion,afternoon_trade_two_sided_reversal_window_1500,0.55,2,664,93.494988,PASS,16.886
nq_pivot_filtered_mes_participation_crowding_reversion,afternoon_trade_two_sided_reversal_window_1500,0.55,3,662,93.213377,PASS,13.964
nq_pivot_filtered_mes_participation_crowding_reversion,afternoon_trade_two_sided_reversal_window_1500,0.65,1,552,77.724749,PASS,13.398
nq_pivot_filtered_mes_participation_crowding_reversion,afternoon_trade_two_sided_reversal_window_1500,0.65,2,551,77.583944,PASS,13.498
nq_pivot_filtered_mes_participation_crowding_reversion,afternoon_trade_two_sided_reversal_window_1500,0.65,3,551,77.583944,PASS,12.938
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_down_reversal_long_window_1100,0.35,1,437,61.532093,PASS,12.779
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_down_reversal_long_window_1100,0.35,2,436,61.391288,PASS,12.523
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_down_reversal_long_window_1100,0.35,3,436,61.391288,PASS,13.292
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_down_reversal_long_window_1100,0.4,1,418,58.856785,PASS,12.788
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_down_reversal_long_window_1100,0.4,2,417,58.715979,PASS,12.819
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_down_reversal_long_window_1100,0.4,3,417,58.715979,PASS,12.736
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_down_reversal_long_window_1100,0.45,1,393,55.336642,PASS,12.636
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_down_reversal_long_window_1100,0.45,2,392,55.195837,PASS,12.962
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_down_reversal_long_window_1100,0.45,3,392,55.195837,PASS,13.614
