variant_id,period,start_date,end_date,min_mes_return_ticks,min_lag_gap_ticks,signal_sessions,available_sessions,signals_per_year
midday30_large10_two_sided_1230,limited_core,2021-07-13,2022-03-28,6,1.0,178,178,251.99999999999997
midday30_large10_two_sided_1230,limited_core,2021-07-13,2022-03-28,6,1.5,144,178,203.86516853932582
midday30_large10_two_sided_1230,limited_core,2021-07-13,2022-03-28,6,2.0,144,178,203.86516853932582
morning15_signed_two_sided_1030,full,2019-05-06,2026-06-09,2,1.0,1757,1757,252.0
morning15_signed_two_sided_1030,full,2019-05-06,2026-06-09,2,1.5,1469,1757,210.69322709163347
morning15_signed_two_sided_1030,full,2019-05-06,2026-06-09,2,2.0,1469,1757,210.69322709163347
morning15_signed_two_sided_1030,full,2019-05-06,2026-06-09,3,1.0,1757,1757,252.0
morning15_signed_two_sided_1030,full,2019-05-06,2026-06-09,3,1.5,1456,1757,208.82868525896413
morning15_signed_two_sided_1030,full,2019-05-06,2026-06-09,3,2.0,1456,1757,208.82868525896413
morning15_signed_two_sided_1030,full,2019-05-06,2026-06-09,4,1.0,1757,1757,252.0
morning15_signed_two_sided_1030,full,2019-05-06,2026-06-09,4,1.5,1442,1757,206.8207171314741
morning15_signed_two_sided_1030,full,2019-05-06,2026-06-09,4,2.0,1442,1757,206.8207171314741
morning15_signed_two_sided_1030,limited_core,2021-07-13,2022-03-28,2,1.0,178,178,251.99999999999997
morning15_signed_two_sided_1030,limited_core,2021-07-13,2022-03-28,2,1.5,126,178,178.3820224719101
morning15_signed_two_sided_1030,limited_core,2021-07-13,2022-03-28,2,2.0,126,178,178.3820224719101
morning15_signed_two_sided_1030,limited_core,2021-07-13,2022-03-28,3,1.0,178,178,251.99999999999997
morning15_signed_two_sided_1030,limited_core,2021-07-13,2022-03-28,3,1.5,126,178,178.3820224719101
morning15_signed_two_sided_1030,limited_core,2021-07-13,2022-03-28,3,2.0,126,178,178.3820224719101
morning15_signed_two_sided_1030,limited_core,2021-07-13,2022-03-28,4,1.0,178,178,251.99999999999997
morning15_signed_two_sided_1030,limited_core,2021-07-13,2022-03-28,4,1.5,125,178,176.96629213483146
morning15_signed_two_sided_1030,limited_core,2021-07-13,2022-03-28,4,2.0,125,178,176.96629213483146
