campaign_id,variant_id,entry_time,share_mode,lookback_minutes,trend_lookback_minutes,min_trend_return_ticks,share_rank_min,min_abs_return_ticks,signals,signals_per_year
es_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,8,0.45,4,454,63.99980702431493
es_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,8,0.45,6,435,61.32140100347356
es_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,8,0.55,2,419,59.065901196449246
es_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,8,0.55,4,400,56.38749517560787
es_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,8,0.55,6,385,54.27296410652257
es_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,8,0.6,2,386,54.41393284446159
es_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,8,0.6,4,369,52.01746429949826
es_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,8,0.6,6,355,50.04390196835198
es_trend_filtered_mes_participation_crowding,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,8,0.45,2,494,69.63855654187572
es_trend_filtered_mes_participation_crowding,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,8,0.45,4,469,66.11433809340022
es_trend_filtered_mes_participation_crowding,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,8,0.45,6,447,63.0130258587418
es_trend_filtered_mes_participation_crowding,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,8,0.55,2,431,60.75752605171748
es_trend_filtered_mes_participation_crowding,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,8,0.55,4,409,57.65621381705905
es_trend_filtered_mes_participation_crowding,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,8,0.55,6,391,55.118776534156694
es_trend_filtered_mes_participation_crowding,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,8,0.6,2,402,56.66943265148591
es_trend_filtered_mes_participation_crowding,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,8,0.6,4,382,53.850057892705514
es_trend_filtered_mes_participation_crowding,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,8,0.6,6,365,51.45358934774218
es_trend_filtered_mes_participation_crowding,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,8,0.45,2,481,67.80596294866847
es_trend_filtered_mes_participation_crowding,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,8,0.45,4,455,64.14077576225395
es_trend_filtered_mes_participation_crowding,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,8,0.45,6,428,60.33461983790042
es_trend_filtered_mes_participation_crowding,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,8,0.55,2,432,60.8984947896565
es_trend_filtered_mes_participation_crowding,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,8,0.55,4,411,57.938151292937086
es_trend_filtered_mes_participation_crowding,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,8,0.55,6,387,54.55490158240062
es_trend_filtered_mes_participation_crowding,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,8,0.6,2,403,56.81040138942493
es_trend_filtered_mes_participation_crowding,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,8,0.6,4,385,54.27296410652257
es_trend_filtered_mes_participation_crowding,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,8,0.6,6,362,51.03068313392512
