campaign_id,variant_id,min_impulse_ticks,min_orderflow_imbalance,flow_mode,allow_long,allow_short,impulse_bars,pause_bars,max_pullback_fraction,full_signals,full_signals_per_year,limited_signals,limited_signals_per_year,limited_start,limited_end
es_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,8,0.03,large10,True,True,4,2,0.55,2630,170.43453404409595,245,159.16428381741713,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,8,0.06,large10,True,True,4,2,0.55,2549,165.18540961155915,242,157.2153334033263,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,12,0.0,large10,True,True,4,2,0.55,2274,147.36430814307005,174,113.03912401726768,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,12,0.03,large10,True,True,4,2,0.55,2217,143.6704798386923,173,112.3894738792374,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,12,0.06,large10,True,True,4,2,0.55,2139,138.61576742217537,168,109.14122318908603,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,16,0.0,large10,True,True,4,2,0.55,1882,121.96113804980554,107,69.51256476923932,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,16,0.03,large10,True,True,4,2,0.55,1839,119.17456582018724,107,69.51256476923932,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,16,0.06,large10,True,True,4,2,0.55,1775,115.02710947842978,104,67.5636143551485,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,midday_signed_two_sided_impulse_pause_breakout_1400,6,0.0,signed_volume,True,True,4,3,0.55,2955,191.4958357795831,254,165.0111350596896,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,midday_signed_two_sided_impulse_pause_breakout_1400,6,0.02,signed_volume,True,True,4,3,0.55,2901,187.99641949122523,253,164.36148492165933,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,midday_signed_two_sided_impulse_pause_breakout_1400,6,0.04,signed_volume,True,True,4,3,0.55,2829,183.33053110674808,252,163.71183478362906,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,midday_signed_two_sided_impulse_pause_breakout_1400,10,0.0,signed_volume,True,True,4,3,0.55,2514,162.91726942466053,198,128.63072732999424,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,midday_signed_two_sided_impulse_pause_breakout_1400,10,0.02,signed_volume,True,True,4,3,0.55,2457,159.22344112028279,196,127.33142705393371,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,midday_signed_two_sided_impulse_pause_breakout_1400,10,0.04,signed_volume,True,True,4,3,0.55,2386,154.6223567411456,196,127.33142705393371,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,midday_signed_two_sided_impulse_pause_breakout_1400,14,0.0,signed_volume,True,True,4,3,0.55,2089,135.37556715517735,122,79.25731683969343,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,midday_signed_two_sided_impulse_pause_breakout_1400,14,0.02,signed_volume,True,True,4,3,0.55,2035,131.8761508668195,121,78.60766670166315,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,midday_signed_two_sided_impulse_pause_breakout_1400,14,0.04,signed_volume,True,True,4,3,0.55,1956,126.75663444496261,121,78.60766670166315,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,morning_signed_two_sided_impulse_pause_breakout_1130,6,0.0,signed_volume,True,True,3,2,0.5,2340,151.64137249550743,211,137.0761791243878,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,morning_signed_two_sided_impulse_pause_breakout_1130,6,0.02,signed_volume,True,True,3,2,0.5,2263,146.65146408433046,210,136.42652898635754,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,morning_signed_two_sided_impulse_pause_breakout_1130,6,0.04,signed_volume,True,True,3,2,0.5,2122,137.51409933139604,204,132.5286281581759,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,morning_signed_two_sided_impulse_pause_breakout_1130,10,0.0,signed_volume,True,True,3,2,0.5,1989,128.89516662118132,146,94.84892015242,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,morning_signed_two_sided_impulse_pause_breakout_1130,10,0.02,signed_volume,True,True,3,2,0.5,1905,123.45163017262463,143,92.89996973832918,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,morning_signed_two_sided_impulse_pause_breakout_1130,10,0.04,signed_volume,True,True,3,2,0.5,1768,114.57348144105005,140,90.95101932423836,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,morning_signed_two_sided_impulse_pause_breakout_1130,14,0.0,signed_volume,True,True,3,2,0.5,1631,105.69533270947547,90,58.46851242272466,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,morning_signed_two_sided_impulse_pause_breakout_1130,14,0.02,signed_volume,True,True,3,2,0.5,1559,101.02944432499832,90,58.46851242272466,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,morning_signed_two_sided_impulse_pause_breakout_1130,14,0.04,signed_volume,True,True,3,2,0.5,1423,92.2160995987637,88,57.169212146664115,2011-02-22,2012-09-06
