variant_id,entry_combo,full_signals,signals_per_year_full,limited_core_start,limited_core_end,limited_core_signals,signals_per_year_limited_core,latest_252_signals,fails_full_50_per_year,fails_limited_core_50_per_year,fails_latest_252_50
or15_signed_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.04",955,61.84641,2011-02-22,2012-09-07,104,67.351064,58,False,False,False
or15_signed_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.0",1011,65.473005,2011-02-22,2012-09-07,101,65.408245,63,False,False,False
or15_signed_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.02",988,63.983511,2011-02-22,2012-09-07,98,63.465426,62,False,False,False
or15_signed_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.04",941,60.939761,2011-02-22,2012-09-07,100,64.760638,58,False,False,False
or15_signed_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.0",1003,64.95492,2011-02-22,2012-09-07,101,65.408245,63,False,False,False
or15_signed_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.02",981,63.530186,2011-02-22,2012-09-07,99,64.113032,61,False,False,False
or15_signed_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.04",932,60.356915,2011-02-22,2012-09-07,99,64.113032,57,False,False,False
or30_large20_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.0",647,41.900133,2011-02-22,2012-09-07,56,36.265957,37,True,True,True
or30_large20_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.02",642,41.57633,2011-02-22,2012-09-07,56,36.265957,36,True,True,True
or30_large20_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.04",640,41.446809,2011-02-22,2012-09-07,56,36.265957,36,True,True,True
or30_large20_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.0",635,41.123005,2011-02-22,2012-09-07,57,36.913564,36,True,True,True
or30_large20_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.02",630,40.799202,2011-02-22,2012-09-07,57,36.913564,35,True,True,True
or30_large20_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.04",628,40.669681,2011-02-22,2012-09-07,57,36.913564,35,True,True,True
or30_large20_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.0",627,40.60492,2011-02-22,2012-09-07,56,36.265957,36,True,True,True
or30_large20_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.02",622,40.281117,2011-02-22,2012-09-07,56,36.265957,35,True,True,True
or30_large20_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.04",620,40.151596,2011-02-22,2012-09-07,56,36.265957,35,True,True,True
or30_signed_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.0",852,55.176064,2011-02-22,2012-09-07,75,48.570479,63,False,True,False
or30_signed_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.02",854,55.305585,2011-02-22,2012-09-07,78,50.513298,62,False,False,False
or30_signed_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.04",838,54.269415,2011-02-22,2012-09-07,81,52.456117,59,False,False,False
or30_signed_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.0",848,54.917021,2011-02-22,2012-09-07,76,49.218085,63,False,True,False
or30_signed_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.02",848,54.917021,2011-02-22,2012-09-07,78,50.513298,61,False,False,False
or30_signed_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.04",829,53.686569,2011-02-22,2012-09-07,80,51.808511,58,False,False,False
or30_signed_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.0",846,54.7875,2011-02-22,2012-09-07,76,49.218085,63,False,True,False
or30_signed_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.02",846,54.7875,2011-02-22,2012-09-07,78,50.513298,61,False,False,False
or30_signed_pivot_flow_breakout_1100,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.04",822,53.233245,2011-02-22,2012-09-07,80,51.808511,58,False,False,False
or60_signed_pivot_flow_breakout_1200,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.0",534,34.582181,2011-02-22,2012-09-07,52,33.675532,35,True,True,True
or60_signed_pivot_flow_breakout_1200,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.02",530,34.323138,2011-02-22,2012-09-07,51,33.027926,35,True,True,True
or60_signed_pivot_flow_breakout_1200,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.04",521,33.740293,2011-02-22,2012-09-07,49,31.732713,34,True,True,True
or60_signed_pivot_flow_breakout_1200,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.0",522,33.805053,2011-02-22,2012-09-07,48,31.085106,35,True,True,True
or60_signed_pivot_flow_breakout_1200,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.02",518,33.546011,2011-02-22,2012-09-07,48,31.085106,35,True,True,True
or60_signed_pivot_flow_breakout_1200,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.04",512,33.157447,2011-02-22,2012-09-07,49,31.732713,34,True,True,True
or60_signed_pivot_flow_breakout_1200,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.0",499,32.315559,2011-02-22,2012-09-07,46,29.789894,35,True,True,True
or60_signed_pivot_flow_breakout_1200,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.02",495,32.056516,2011-02-22,2012-09-07,46,29.789894,35,True,True,True
or60_signed_pivot_flow_breakout_1200,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.04",490,31.732713,2011-02-22,2012-09-07,47,30.4375,34,True,True,True
