campaign_id,variant_id,window,breakout_buffer_ticks,min_orderflow_imbalance,signals,span_years,signals_per_year,density_pass_50_per_year
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,full_available_history,2,0.04,1875,15.43874058863792,121.44773009398828,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,limited_core_window,2,0.04,188,1.541409993155373,121.96625222024866,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,latest_252_sessions,2,0.04,118,1.0075290896646132,117.11820652173914,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,full_available_history,0,0.0,1651,15.43874058863792,106.93877460542649,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,limited_core_window,0,0.0,160,1.541409993155373,103.80106571936057,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,latest_252_sessions,0,0.0,94,1.0075290896646132,93.2975543478261,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,full_available_history,0,0.02,1689,15.43874058863792,109.40011526866465,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,limited_core_window,0,0.02,166,1.541409993155373,107.69360568383658,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,latest_252_sessions,0,0.02,96,1.0075290896646132,95.28260869565219,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,full_available_history,0,0.04,1740,15.43874058863792,112.70349352722113,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,limited_core_window,0,0.04,167,1.541409993155373,108.3423623445826,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,latest_252_sessions,0,0.04,106,1.0075290896646132,105.20788043478262,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,full_available_history,1,0.0,1658,15.43874058863792,107.39217946444404,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,limited_core_window,1,0.0,162,1.541409993155373,105.09857904085257,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,latest_252_sessions,1,0.0,94,1.0075290896646132,93.2975543478261,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,full_available_history,1,0.02,1698,15.43874058863792,109.9830643731158,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,limited_core_window,1,0.02,167,1.541409993155373,108.3423623445826,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,latest_252_sessions,1,0.02,96,1.0075290896646132,95.28260869565219,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,full_available_history,1,0.04,1749,15.43874058863792,113.28644263167227,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,limited_core_window,1,0.04,168,1.541409993155373,108.9911190053286,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,latest_252_sessions,1,0.04,107,1.0075290896646132,106.20040760869566,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,full_available_history,2,0.0,1657,15.43874058863792,107.32740734172725,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,limited_core_window,2,0.0,161,1.541409993155373,104.44982238010657,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,latest_252_sessions,2,0.0,94,1.0075290896646132,93.2975543478261,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,full_available_history,2,0.02,1697,15.43874058863792,109.918292250399,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,limited_core_window,2,0.02,166,1.541409993155373,107.69360568383658,True
nq_pivot_filtered_prior_value_area_acceptance,morning_signed_two_sided_pivot_acceptance_1230,latest_252_sessions,2,0.02,96,1.0075290896646132,95.28260869565219,True
