variant_id,entry_time,volatility_gate_column,share_column,flow_window_minutes,min_abs_return_ticks,min_trend_return_ticks,share_rank_min,min_orderflow_imbalance,signals,signals_per_year
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,16,8,0.45,0.005,349,49.14119121048574
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,16,8,0.45,0.01,323,45.48024286815728
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,16,8,0.55,0.0,315,44.353797224363916
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,16,8,0.55,0.005,298,41.960100231303
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,16,8,0.55,0.01,281,39.566403238242096
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,20,8,0.35,0.0,401,56.463087895142635
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,20,8,0.35,0.005,381,53.64697378565921
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,20,8,0.35,0.01,354,49.84521973785659
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,20,8,0.45,0.0,363,51.11247108712413
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,20,8,0.45,0.005,343,48.296356977640706
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,20,8,0.45,0.01,317,44.63540863531226
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,20,8,0.55,0.0,309,43.508962991518885
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,20,8,0.55,0.005,293,41.25607170393215
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,20,8,0.55,0.01,276,38.86237471087124
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,12,8,0.35,0.0,428,60.26484194294525
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,12,8,0.35,0.005,405,57.026310717039316
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,12,8,0.35,0.01,377,53.083750963762526
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,12,8,0.45,0.0,383,53.92858519660756
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,12,8,0.45,0.005,360,50.69005397070162
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,12,8,0.45,0.01,336,47.31071703932151
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,12,8,0.55,0.0,338,47.592328450269854
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,12,8,0.55,0.005,317,44.63540863531226
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,12,8,0.55,0.01,297,41.81929452582883
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,16,8,0.35,0.0,422,59.42000771010023
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,16,8,0.35,0.005,401,56.463087895142635
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,16,8,0.35,0.01,374,52.66133384734001
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,16,8,0.45,0.0,377,53.083750963762526
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,16,8,0.45,0.005,356,50.12683114880493
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,16,8,0.45,0.01,333,46.888299922898995
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,16,8,0.55,0.0,333,46.888299922898995
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,16,8,0.55,0.005,314,44.212991518889744
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,16,8,0.55,0.01,295,41.537683114880494
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,20,8,0.35,0.0,411,57.871144949884346
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,20,8,0.35,0.005,391,55.055030840400924
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,20,8,0.35,0.01,364,51.2532767925983
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,20,8,0.45,0.0,369,51.95730531996916
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,20,8,0.45,0.005,349,49.14119121048574
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,20,8,0.45,0.01,326,45.9026599845798
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,20,8,0.55,0.0,325,45.76185427910563
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,20,8,0.55,0.005,307,43.22735158057055
absret5_1030_notional_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,mes_participation_share_15_rank252,15,20,8,0.55,0.01,288,40.55204317656129
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,12,8,0.35,0.0,438,61.672898997686964
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,12,8,0.35,0.005,412,58.01195065535852
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,12,8,0.35,0.01,383,53.92858519660756
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,12,8,0.45,0.0,394,55.47744795682344
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,12,8,0.45,0.005,368,51.81649961449499
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,12,8,0.45,0.01,342,48.155551272166534
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,12,8,0.55,0.0,348,49.000385505011565
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,12,8,0.55,0.005,324,45.621048573631455
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,12,8,0.55,0.01,302,42.52332305319969
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,16,8,0.35,0.0,432,60.82806476484194
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,16,8,0.35,0.005,408,57.44872783346183
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,16,8,0.35,0.01,380,53.50616808018504
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,16,8,0.45,0.0,388,54.63261372397841
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,16,8,0.45,0.005,364,51.2532767925983
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,16,8,0.45,0.01,339,47.733134155744025
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,16,8,0.55,0.0,343,48.296356977640706
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,16,8,0.55,0.005,321,45.19863145720894
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,16,8,0.55,0.01,300,42.241711642251346
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,20,8,0.35,0.0,421,59.27920200462606
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,20,8,0.35,0.005,398,56.04067077872012
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,20,8,0.35,0.01,370,52.09811102544333
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,20,8,0.45,0.0,380,53.50616808018504
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,20,8,0.45,0.005,357,50.267636854279104
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,20,8,0.45,0.01,332,46.74749421742482
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,20,8,0.55,0.0,335,47.16991133384734
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,20,8,0.55,0.005,314,44.212991518889744
range10_1030_notional_signed_window15_pressure_reversal,10:30:00,range10_rank_252,mes_participation_share_15_rank252,15,20,8,0.55,0.01,293,41.25607170393215
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,12,8,0.35,0.0,289,40.69284888203546
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,12,8,0.35,0.005,243,34.21578643022359
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,12,8,0.35,0.01,192,27.03469545104086
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,12,8,0.45,0.0,265,37.313511950655354
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,12,8,0.45,0.005,224,31.54047802621434
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,12,8,0.45,0.01,177,24.922609868928294
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,12,8,0.55,0.0,235,33.08934078643022
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,12,8,0.55,0.005,201,28.301946800308404
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,12,8,0.55,0.01,159,22.388107170393216
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,16,8,0.35,0.0,284,39.98882035466461
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,16,8,0.35,0.005,240,33.79336931380108
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,16,8,0.35,0.01,190,26.75308404009252
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,16,8,0.45,0.0,261,36.75028912875867
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,16,8,0.45,0.005,222,31.258866615265998
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,16,8,0.45,0.01,175,24.640998457979954
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,16,8,0.55,0.0,232,32.66692367000771
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,16,8,0.55,0.005,199,28.02033538936006
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,16,8,0.55,0.01,157,22.106495759444872
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,20,8,0.35,0.0,280,39.425597532767924
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,20,8,0.35,0.005,238,33.511757902852736
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,20,8,0.35,0.01,188,26.471472629144177
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,20,8,0.45,0.0,258,36.32787201233616
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,20,8,0.45,0.005,220,30.977255204317654
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,20,8,0.45,0.01,173,24.35938704703161
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,20,8,0.55,0.0,229,32.2445065535852
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,20,8,0.55,0.005,197,27.73872397841172
absret5_1030_signed_window30_pressure_reversal,10:30:00,absret5_rank_252,mes_trade_share_15_rank252,30,20,8,0.55,0.01,155,21.82488434849653
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,12,8,0.35,0.0,298,41.960100231303
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,12,8,0.35,0.005,250,35.20142636854279
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,12,8,0.35,0.01,193,27.175501156515033
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,12,8,0.45,0.0,274,38.5807632999229
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,12,8,0.45,0.005,231,32.52611796453354
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,12,8,0.45,0.01,178,25.063415574402466
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,12,8,0.55,0.0,243,34.21578643022359
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,12,8,0.55,0.005,207,29.14678103315343
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,12,8,0.55,0.01,159,22.388107170393216
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,16,8,0.35,0.0,292,41.11526599845798
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,16,8,0.35,0.005,246,34.6382035466461
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,16,8,0.35,0.01,190,26.75308404009252
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,16,8,0.45,0.0,269,37.87673477255204
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,16,8,0.45,0.005,228,32.103700848111025
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,16,8,0.45,0.01,175,24.640998457979954
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,16,8,0.55,0.0,240,33.79336931380108
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,16,8,0.55,0.005,205,28.865169622205087
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,16,8,0.55,0.01,157,22.106495759444872
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,20,8,0.35,0.0,288,40.55204317656129
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,20,8,0.35,0.005,244,34.35659213569776
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,20,8,0.35,0.01,188,26.471472629144177
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,20,8,0.45,0.0,266,37.454317656129525
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,20,8,0.45,0.005,226,31.82208943716268
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,20,8,0.45,0.01,173,24.35938704703161
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,20,8,0.55,0.0,237,33.370952197378564
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,20,8,0.55,0.005,203,28.583558211256744
range10_1030_signed_window30_pressure_reversal,10:30:00,range10_rank_252,mes_trade_share_15_rank252,30,20,8,0.55,0.01,155,21.82488434849653
