campaign_id,variant_id,max_retest_bars,min_orderflow_imbalance,full_signals,full_signal_days,full_signals_per_year,limited_core_start,limited_core_end,limited_core_signals,limited_core_signal_days,limited_core_signals_per_year,latest252_start,latest252_end,latest252_signals,latest252_signal_days,latest252_signals_per_year,full_long_signals,full_short_signals,density_pass
nq_opening_range_retest_orderflow,or30_signed_absorption_retest_1100,4,0.02,818,818,52.98359638233729,2011-02-22,2012-09-07,91,91,59.036856127886324,2025-06-09,2026-06-12,36,36,35.73097826086957,496,322,False
nq_opening_range_retest_orderflow,or30_signed_absorption_retest_1100,4,0.04,670,670,43.397322220251816,2011-02-22,2012-09-07,84,84,54.4955595026643,2025-06-09,2026-06-12,24,24,23.820652173913047,421,249,False
nq_opening_range_retest_orderflow,or60_large20_aligned_retest_1230,2,0.02,786,786,50.91088845539989,2011-02-22,2012-09-07,107,107,69.41696269982238,2025-06-09,2026-06-12,45,45,44.66372282608696,440,346,False
nq_opening_range_retest_orderflow,or60_large20_aligned_retest_1230,2,0.05,772,772,50.00407873736478,2011-02-22,2012-09-07,105,105,68.11944937833037,2025-06-09,2026-06-12,44,44,43.671195652173914,433,339,False
nq_opening_range_retest_orderflow,or60_large20_aligned_retest_1230,2,0.08,762,762,49.356357510196844,2011-02-22,2012-09-07,103,103,66.82193605683837,2025-06-09,2026-06-12,44,44,43.671195652173914,427,335,False
nq_opening_range_retest_orderflow,or60_large20_aligned_retest_1230,3,0.02,805,805,52.14155878701897,2011-02-22,2012-09-07,115,115,74.60701598579041,2025-06-09,2026-06-12,44,44,43.671195652173914,457,348,False
nq_opening_range_retest_orderflow,or60_large20_aligned_retest_1230,3,0.05,791,791,51.23474906898386,2011-02-22,2012-09-07,113,113,73.30950266429839,2025-06-09,2026-06-12,43,43,42.678668478260875,450,341,False
nq_opening_range_retest_orderflow,or60_large20_aligned_retest_1230,3,0.08,777,777,50.327939350948746,2011-02-22,2012-09-07,110,110,71.36323268206039,2025-06-09,2026-06-12,43,43,42.678668478260875,443,334,False
nq_opening_range_retest_orderflow,or60_large20_aligned_retest_1230,4,0.02,832,832,53.8904061003724,2011-02-22,2012-09-07,116,116,75.25577264653641,2025-06-09,2026-06-12,47,47,46.64877717391305,466,366,False
nq_opening_range_retest_orderflow,or60_large20_aligned_retest_1230,4,0.05,820,820,53.11314062777088,2011-02-22,2012-09-07,114,114,73.95825932504441,2025-06-09,2026-06-12,47,47,46.64877717391305,462,358,False
nq_opening_range_retest_orderflow,or60_large20_aligned_retest_1230,4,0.08,806,806,52.20633090973577,2011-02-22,2012-09-07,111,111,72.01198934280639,2025-06-09,2026-06-12,47,47,46.64877717391305,454,352,False
