campaign_id,variant_id,concept,lookback_bars,start_time,end_time,share_mode,mes_imbalance_column,min_sweep_ticks,share_rank_min,one_trade_per_day_signal_count,annualized_signal_count,decision
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_trade_large10_two_sided,selected_rolling_range,30,10:00:00,15:00:00,trade,mes_trade_orderflow_large10_imbalance_15,2,0.65,660,93.03936703975299,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling45_full_session_trade_large10_two_sided,selected_rolling_range,45,10:00:00,15:00:00,trade,mes_trade_orderflow_large10_imbalance_15,1,0.55,740,104.31686607487455,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling45_full_session_trade_large10_two_sided,selected_rolling_range,45,10:00:00,15:00:00,trade,mes_trade_orderflow_large10_imbalance_15,1,0.65,654,92.19355461211887,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling45_full_session_trade_large10_two_sided,selected_rolling_range,45,10:00:00,15:00:00,trade,mes_trade_orderflow_large10_imbalance_15,2,0.55,630,88.8103049015824,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling45_full_session_trade_large10_two_sided,selected_rolling_range,45,10:00:00,15:00:00,trade,mes_trade_orderflow_large10_imbalance_15,2,0.65,560,78.94249324585101,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling45_midday_notional_two_sided,selected_rolling_range,45,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.55,742,104.59880355075259,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling45_midday_notional_two_sided,selected_rolling_range,45,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.65,640,90.21999228097259,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling45_midday_notional_two_sided,selected_rolling_range,45,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.55,618,87.11868004631415,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling45_midday_notional_two_sided,selected_rolling_range,45,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.65,541,76.26408722500965,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling60_midday_notional_two_sided,selected_rolling_range,60,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.55,686,96.7045542261675,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling60_midday_notional_two_sided,selected_rolling_range,60,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.65,592,83.45349285989965,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling60_midday_notional_two_sided,selected_rolling_range,60,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.55,565,79.64733693554612,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling60_midday_notional_two_sided,selected_rolling_range,60,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.65,494,69.63855654187572,eligible
