variant_id,share_rank_min,semivar_rank_min,window,signals,signals_per_year
midday_notional_high_semivar_balance_1200,0.6,0.65,wfa90,127,19.89993564993565
midday_notional_high_semivar_balance_1200,0.6,0.65,latest1y,17,17.05837912087912
afternoon_notional_high_downside1_1400,0.4,0.55,full,259,36.510903126206095
afternoon_notional_high_downside1_1400,0.4,0.55,limited_core,35,49.54941860465116
afternoon_notional_high_downside1_1400,0.4,0.55,wfa90,228,35.72586872586872
afternoon_notional_high_downside1_1400,0.4,0.55,latest1y,37,37.12706043956044
afternoon_notional_high_downside1_1400,0.4,0.65,full,202,28.475685063681976
afternoon_notional_high_downside1_1400,0.4,0.65,limited_core,31,43.88662790697674
afternoon_notional_high_downside1_1400,0.4,0.65,wfa90,181,28.36132561132561
afternoon_notional_high_downside1_1400,0.4,0.65,latest1y,23,23.078983516483515
afternoon_notional_high_downside1_1400,0.5,0.55,full,240,33.83249710536472
afternoon_notional_high_downside1_1400,0.5,0.55,limited_core,35,49.54941860465116
afternoon_notional_high_downside1_1400,0.5,0.55,wfa90,212,33.21879021879022
afternoon_notional_high_downside1_1400,0.5,0.55,latest1y,33,33.113324175824175
afternoon_notional_high_downside1_1400,0.5,0.65,full,190,26.784060208413738
afternoon_notional_high_downside1_1400,0.5,0.65,limited_core,31,43.88662790697674
afternoon_notional_high_downside1_1400,0.5,0.65,wfa90,170,26.637709137709138
afternoon_notional_high_downside1_1400,0.5,0.65,latest1y,21,21.072115384615383
afternoon_notional_high_downside1_1400,0.6,0.55,full,224,31.57699729834041
afternoon_notional_high_downside1_1400,0.6,0.55,limited_core,33,46.718023255813954
afternoon_notional_high_downside1_1400,0.6,0.55,wfa90,198,31.025096525096522
afternoon_notional_high_downside1_1400,0.6,0.55,latest1y,31,31.106456043956044
afternoon_notional_high_downside1_1400,0.6,0.65,full,179,25.233404091084523
afternoon_notional_high_downside1_1400,0.6,0.65,limited_core,29,41.05523255813953
afternoon_notional_high_downside1_1400,0.6,0.65,wfa90,161,25.22747747747748
afternoon_notional_high_downside1_1400,0.6,0.65,latest1y,19,19.065247252747252
early_afternoon_notional_high_downside1_1300,0.4,0.55,full,256,36.08799691238904
early_afternoon_notional_high_downside1_1300,0.4,0.55,limited_core,34,48.133720930232556
early_afternoon_notional_high_downside1_1300,0.4,0.55,wfa90,232,36.35263835263835
early_afternoon_notional_high_downside1_1300,0.4,0.55,latest1y,28,28.096153846153847
early_afternoon_notional_high_downside1_1300,0.4,0.65,full,204,28.757622539560014
early_afternoon_notional_high_downside1_1300,0.4,0.65,limited_core,27,38.223837209302324
early_afternoon_notional_high_downside1_1300,0.4,0.65,wfa90,186,29.144787644787645
early_afternoon_notional_high_downside1_1300,0.4,0.65,latest1y,19,19.065247252747252
early_afternoon_notional_high_downside1_1300,0.5,0.55,full,236,33.268622153608646
early_afternoon_notional_high_downside1_1300,0.5,0.55,limited_core,32,45.302325581395344
early_afternoon_notional_high_downside1_1300,0.5,0.55,wfa90,215,33.68886743886744
early_afternoon_notional_high_downside1_1300,0.5,0.55,latest1y,25,25.085851648351646
early_afternoon_notional_high_downside1_1300,0.5,0.65,full,193,27.206966422230796
early_afternoon_notional_high_downside1_1300,0.5,0.65,limited_core,26,36.80813953488372
early_afternoon_notional_high_downside1_1300,0.5,0.65,wfa90,176,27.577863577863578
early_afternoon_notional_high_downside1_1300,0.5,0.65,latest1y,18,18.061813186813186
early_afternoon_notional_high_downside1_1300,0.6,0.55,full,217,30.59021613276727
early_afternoon_notional_high_downside1_1300,0.6,0.55,limited_core,31,43.88662790697674
early_afternoon_notional_high_downside1_1300,0.6,0.55,wfa90,198,31.025096525096522
early_afternoon_notional_high_downside1_1300,0.6,0.55,latest1y,22,22.07554945054945
early_afternoon_notional_high_downside1_1300,0.6,0.65,full,178,25.092435353145504
early_afternoon_notional_high_downside1_1300,0.6,0.65,limited_core,25,35.39244186046511
early_afternoon_notional_high_downside1_1300,0.6,0.65,wfa90,163,25.54086229086229
early_afternoon_notional_high_downside1_1300,0.6,0.65,latest1y,15,15.051510989010989
