variant_id,gate_col,gate_max,share_rank_min,min_abs_return_ticks,period,signals,signals_per_year
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,4,latest1y,81,81.27815934065934
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,2,full,455,64.14077576225395
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,2,limited_core,61,85.69326923076923
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,2,wfa90,401,62.0089966130398
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,2,latest1y,77,77.26442307692308
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,3,full,444,62.590119644924734
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,3,limited_core,58,81.47884615384616
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,3,wfa90,391,60.46263759525826
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,3,latest1y,76,76.26098901098901
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,4,full,425,59.91171362408336
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,4,limited_core,57,80.07403846153846
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,4,wfa90,373,57.67919136325148
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.45,4,latest1y,74,74.25412087912088
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,2,full,412,58.079120030876105
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,2,limited_core,55,77.26442307692308
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,2,wfa90,360,55.66892464013548
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,2,latest1y,69,69.23695054945054
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,3,full,404,56.95137012736395
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,3,limited_core,52,73.05
