variant_id,period,start_date,end_date,min_sweep_ticks,min_orderflow_imbalance,signals,years,signals_per_year
midday_signed_two_sided_key_reversal_1400,full_history,2011-01-03,2026-06-09,1,0.02,2562,15.433264887063656,166.00505588078764
midday_signed_two_sided_key_reversal_1400,limited_core_window,2011-02-22,2012-09-06,1,0.02,208,1.541409993155373,134.94138543516874
midday_signed_two_sided_key_reversal_1400,full_history,2011-01-03,2026-06-09,1,0.04,2274,15.433264887063656,147.34406599254922
midday_signed_two_sided_key_reversal_1400,limited_core_window,2011-02-22,2012-09-06,1,0.04,187,1.541409993155373,121.31749555950266
midday_signed_two_sided_key_reversal_1400,full_history,2011-01-03,2026-06-09,2,0.0,2105,15.433264887063656,136.39369345396486
midday_signed_two_sided_key_reversal_1400,limited_core_window,2011-02-22,2012-09-06,2,0.0,122,1.541409993155373,79.14831261101243
midday_signed_two_sided_key_reversal_1400,full_history,2011-01-03,2026-06-09,2,0.02,1839,15.433264887063656,119.15819584885577
midday_signed_two_sided_key_reversal_1400,limited_core_window,2011-02-22,2012-09-06,2,0.02,112,1.541409993155373,72.66074600355239
midday_signed_two_sided_key_reversal_1400,full_history,2011-01-03,2026-06-09,2,0.04,1534,15.433264887063656,99.39568919638106
midday_signed_two_sided_key_reversal_1400,limited_core_window,2011-02-22,2012-09-06,2,0.04,93,1.541409993155373,60.33436944937833
midday_signed_two_sided_key_reversal_1400,full_history,2011-01-03,2026-06-09,4,0.0,1281,15.433264887063656,83.00252794039382
midday_signed_two_sided_key_reversal_1400,limited_core_window,2011-02-22,2012-09-06,4,0.0,37,1.541409993155373,24.00399644760213
midday_signed_two_sided_key_reversal_1400,full_history,2011-01-03,2026-06-09,4,0.02,1035,15.433264887063656,67.06293241085683
midday_signed_two_sided_key_reversal_1400,limited_core_window,2011-02-22,2012-09-06,4,0.02,34,1.541409993155373,22.05772646536412
midday_signed_two_sided_key_reversal_1400,full_history,2011-01-03,2026-06-09,4,0.04,769,15.433264887063656,49.827434805747735
midday_signed_two_sided_key_reversal_1400,limited_core_window,2011-02-22,2012-09-06,4,0.04,26,1.541409993155373,16.867673179396093
morning_signed_two_sided_key_reversal_1130,full_history,2011-01-03,2026-06-09,1,0.0,2859,15.433264887063656,185.24920170303352
morning_signed_two_sided_key_reversal_1130,limited_core_window,2011-02-22,2012-09-06,1,0.0,298,1.541409993155373,193.32948490230905
morning_signed_two_sided_key_reversal_1130,full_history,2011-01-03,2026-06-09,1,0.02,2580,15.433264887063656,167.17136774880254
morning_signed_two_sided_key_reversal_1130,limited_core_window,2011-02-22,2012-09-06,1,0.02,276,1.541409993155373,179.05683836589697
morning_signed_two_sided_key_reversal_1130,full_history,2011-01-03,2026-06-09,1,0.04,2181,15.433264887063656,141.3181213411389
morning_signed_two_sided_key_reversal_1130,limited_core_window,2011-02-22,2012-09-06,1,0.04,246,1.541409993155373,159.59413854351686
morning_signed_two_sided_key_reversal_1130,full_history,2011-01-03,2026-06-09,2,0.0,2430,15.433264887063656,157.4521021820117
morning_signed_two_sided_key_reversal_1130,limited_core_window,2011-02-22,2012-09-06,2,0.0,225,1.541409993155373,145.9702486678508
morning_signed_two_sided_key_reversal_1130,full_history,2011-01-03,2026-06-09,2,0.02,2102,15.433264887063656,136.19930814262906
morning_signed_two_sided_key_reversal_1130,limited_core_window,2011-02-22,2012-09-06,2,0.02,195,1.541409993155373,126.5075488454707
morning_signed_two_sided_key_reversal_1130,full_history,2011-01-03,2026-06-09,2,0.04,1683,15.433264887063656,109.05015965939329
morning_signed_two_sided_key_reversal_1130,limited_core_window,2011-02-22,2012-09-06,2,0.04,164,1.541409993155373,106.39609236234458
morning_signed_two_sided_key_reversal_1130,full_history,2011-01-03,2026-06-09,4,0.0,1542,15.433264887063656,99.9140500266099
morning_signed_two_sided_key_reversal_1130,limited_core_window,2011-02-22,2012-09-06,4,0.0,78,1.541409993155373,50.60301953818828
morning_signed_two_sided_key_reversal_1130,full_history,2011-01-03,2026-06-09,4,0.02,1226,15.433264887063656,79.43879723257051
morning_signed_two_sided_key_reversal_1130,limited_core_window,2011-02-22,2012-09-06,4,0.02,60,1.541409993155373,38.92539964476021
morning_signed_two_sided_key_reversal_1130,full_history,2011-01-03,2026-06-09,4,0.04,865,15.433264887063656,56.04776476849388
morning_signed_two_sided_key_reversal_1130,limited_core_window,2011-02-22,2012-09-06,4,0.04,41,1.541409993155373,26.599023090586144
