variant,window,start_date,end_date,entry_combos,calendar_sessions,lookback_days,min_orderflow_imbalance,min_mean_return_bps,signals,signals_per_year,density_pass
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.0,0.75,150,97.48665480427046,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.0,0.75,1398,100.67419164037855,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.0,0.75,89,89.06095890410958,True
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.01,0.75,1489,96.49702803406672,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.01,0.75,147,95.53692170818505,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.01,0.75,1337,96.28139787066246,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.01,0.75,88,88.06027397260274,True
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.02,0.75,1420,92.02537260468418,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.02,0.75,142,92.2873665480427,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.02,0.75,1272,91.6005520504732,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.02,0.75,84,84.05753424657534,True
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.0,0.75,1409,91.3125,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.0,0.75,128,83.18861209964412,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.0,0.75,1269,91.3845130126183,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.0,0.75,84,84.05753424657534,True
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.01,0.75,1354,87.74813697657913,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.01,0.75,126,81.88879003558718,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.01,0.75,1216,87.56782334384859,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.01,0.75,83,83.05684931506849,True
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.02,0.75,1301,84.31338715400993,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.02,0.75,122,79.28914590747331,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.02,0.75,1166,83.96717271293376,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.02,0.75,80,80.05479452054794,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.0,0.75,1702,110.30083392476934,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.0,0.75,174,113.08451957295372,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.0,0.75,1524,109.74783123028392,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.0,0.75,114,114.07808219178082,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.005,0.75,1550,100.45023066004258,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.005,0.75,170,110.48487544483986,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.005,0.75,1397,100.60217862776025,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.005,0.75,92,92.06301369863013,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.01,0.75,1412,91.5069198012775,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.01,0.75,164,106.58540925266904,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.01,0.75,1280,92.17665615141956,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.01,0.75,81,81.0554794520548,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.0,0.75,1585,102.71846167494677,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.0,0.75,161,104.63567615658363,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.0,0.75,1421,102.33049093059938,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.0,0.75,108,108.07397260273973,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.005,0.75,1439,93.25669801277502,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.005,0.75,157,102.03603202846975,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.005,0.75,1299,93.5449033911672,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.005,0.75,88,88.06027397260274,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.01,0.75,1302,84.37819375443577,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.01,0.75,150,97.48665480427046,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.01,0.75,1184,85.26340694006309,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.01,0.75,76,76.05205479452054,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.0,0.75,1368,88.65542938254082,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.0,0.75,136,88.38790035587188,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.0,0.75,1261,90.80840891167193,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.0,0.75,70,70.04794520547945,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.005,0.75,1261,81.72112313697659,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.005,0.75,131,85.13834519572953,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.005,0.75,1166,83.96717271293376,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.005,0.75,61,61.041780821917804,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.01,0.75,1152,74.65720369056068,True
late_morning_1130_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.01,0.75,127,82.53870106761565,True
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.01,0.75,1073,77.26996253943219,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.01,0.75,50,50.034246575342465,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.0,0.75,1655,107.25492370475514,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.0,0.75,165,107.23532028469751,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.0,0.75,1480,106.57925867507888,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.0,0.75,119,119.08150684931506,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.005,0.75,1445,93.64553761533003,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.005,0.75,153,99.43638790035587,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.005,0.75,1288,92.75276025236593,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.005,0.75,111,111.07602739726028,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.01,0.75,1253,81.20267033356991,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.01,0.75,147,95.53692170818505,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.01,0.75,1119,80.58256111987382,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.01,0.75,92,92.06301369863013,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.0,0.75,1614,104.59785308729596,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.0,0.75,153,99.43638790035587,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.0,0.75,1465,105.49906348580443,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.0,0.75,95,95.06506849315069,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.005,0.75,1407,91.18288679914833,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.005,0.75,144,93.58718861209964,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.005,0.75,1278,92.03263012618297,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.005,0.75,85,85.0582191780822,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.01,0.75,1221,79.12885911994323,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.01,0.75,138,89.68772241992882,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.01,0.75,1110,79.93444400630915,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.01,0.75,71,71.0486301369863,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.0,0.75,1420,92.02537260468418,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.0,0.75,143,92.93727758007117,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.0,0.75,1284,92.46470820189275,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.0,0.75,91,91.06232876712329,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.005,0.75,1230,79.71211852377573,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.005,0.75,133,86.43816725978647,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.005,0.75,1117,80.43853509463723,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.005,0.75,78,78.05342465753425,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.01,0.75,1064,68.9542228530873,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.01,0.75,126,81.88879003558718,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.01,0.75,970,69.85262223974763,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.01,0.75,64,64.04383561643836,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.0,0.75,1710,110.81928672817601,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.0,0.75,158,102.68594306049822,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.0,0.75,1529,110.1078962933754,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.0,0.75,113,113.07739726027397,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.01,0.75,1568,101.61674946770759,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.01,0.75,144,93.58718861209964,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.01,0.75,1397,100.60217862776025,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.01,0.75,109,109.07465753424657,True
