campaign_id,variant_id,config_path,setup_mode,entry_time,signal_bar_timestamp,flatten_time,pressure_rank_column,pressure_value_column,return_column,pressure_rank_threshold,min_return_ticks,full_start_date,full_end_date,full_sessions,full_signals,full_signal_sessions,full_long_impulses,full_short_impulses,full_signals_per_year,pass_full_50_per_year,limited_start_date,limited_end_date,limited_sessions,limited_signals,limited_signal_sessions,limited_long_impulses,limited_short_impulses,limited_signals_per_year,pass_limited_50_per_year,latest_start_date,latest_end_date,latest_sessions,latest_signals,latest_signal_sessions,latest_long_impulses,latest_short_impulses,latest_signals_per_year,pass_latest_50_signals,density_pass,decision,failure_reason
nq_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,campaigns/nq_orderflow_impulse_reversal/variants/late_day_30m_impulse_reversal_1500/config.yaml,late_day_30m_impulse_reversal_1500,15:00:00,14:59:00,15:55:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.8,4.0,2011-01-03,2026-06-12,3813,1373,1373,697,676,88.932124,True,2011-02-22,2012-09-07,371,137,137,67,70,88.879663,True,2025-06-09,2026-06-12,252,97,97,44,53,96.275136,True,True,PASS,
nq_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,campaigns/nq_orderflow_impulse_reversal/variants/late_day_30m_impulse_reversal_1500/config.yaml,late_day_30m_impulse_reversal_1500,15:00:00,14:59:00,15:55:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.8,5.0,2011-01-03,2026-06-12,3813,1359,1359,692,667,88.025315,True,2011-02-22,2012-09-07,371,135,135,67,68,87.582149,True,2025-06-09,2026-06-12,252,97,97,44,53,96.275136,True,True,PASS,
nq_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,campaigns/nq_orderflow_impulse_reversal/variants/late_day_30m_impulse_reversal_1500/config.yaml,late_day_30m_impulse_reversal_1500,15:00:00,14:59:00,15:55:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.85,3.0,2011-01-03,2026-06-12,3813,1100,1100,560,540,71.249335,True,2011-02-22,2012-09-07,371,101,101,52,49,65.524423,True,2025-06-09,2026-06-12,252,76,76,35,41,75.432065,True,True,PASS,
nq_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,campaigns/nq_orderflow_impulse_reversal/variants/late_day_30m_impulse_reversal_1500/config.yaml,late_day_30m_impulse_reversal_1500,15:00:00,14:59:00,15:55:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.85,4.0,2011-01-03,2026-06-12,3813,1087,1087,557,530,70.407297,True,2011-02-22,2012-09-07,371,99,99,52,47,64.226909,True,2025-06-09,2026-06-12,252,75,75,35,40,74.439538,True,True,PASS,
nq_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,campaigns/nq_orderflow_impulse_reversal/variants/late_day_30m_impulse_reversal_1500/config.yaml,late_day_30m_impulse_reversal_1500,15:00:00,14:59:00,15:55:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.85,5.0,2011-01-03,2026-06-12,3813,1078,1078,554,524,69.824348,True,2011-02-22,2012-09-07,371,98,98,52,46,63.578153,True,2025-06-09,2026-06-12,252,75,75,35,40,74.439538,True,True,PASS,
nq_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,campaigns/nq_orderflow_impulse_reversal/variants/late_morning_15m_impulse_reversal_1130/config.yaml,late_morning_15m_impulse_reversal_1130,11:30:00,11:29:00,12:30:00,trade_orderflow_imbalance_15_rank42,trade_orderflow_imbalance_15,trade_orderflow_return_ticks_15,0.75,2.0,2011-01-03,2026-06-12,3813,1703,1703,883,820,110.306925,True,2011-02-22,2012-09-07,371,141,141,82,59,91.474689,True,2025-06-09,2026-06-12,252,117,117,58,59,116.125679,True,True,PASS,
nq_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,campaigns/nq_orderflow_impulse_reversal/variants/late_morning_15m_impulse_reversal_1130/config.yaml,late_morning_15m_impulse_reversal_1130,11:30:00,11:29:00,12:30:00,trade_orderflow_imbalance_15_rank42,trade_orderflow_imbalance_15,trade_orderflow_return_ticks_15,0.75,3.0,2011-01-03,2026-06-12,3813,1684,1684,873,811,109.076255,True,2011-02-22,2012-09-07,371,138,138,79,59,89.528419,True,2025-06-09,2026-06-12,252,117,117,58,59,116.125679,True,True,PASS,
nq_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,campaigns/nq_orderflow_impulse_reversal/variants/late_morning_15m_impulse_reversal_1130/config.yaml,late_morning_15m_impulse_reversal_1130,11:30:00,11:29:00,12:30:00,trade_orderflow_imbalance_15_rank42,trade_orderflow_imbalance_15,trade_orderflow_return_ticks_15,0.75,4.0,2011-01-03,2026-06-12,3813,1662,1662,860,802,107.651268,True,2011-02-22,2012-09-07,371,136,136,77,59,88.230906,True,2025-06-09,2026-06-12,252,117,117,58,59,116.125679,True,True,PASS,
nq_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,campaigns/nq_orderflow_impulse_reversal/variants/late_morning_15m_impulse_reversal_1130/config.yaml,late_morning_15m_impulse_reversal_1130,11:30:00,11:29:00,12:30:00,trade_orderflow_imbalance_15_rank42,trade_orderflow_imbalance_15,trade_orderflow_return_ticks_15,0.8,2.0,2011-01-03,2026-06-12,3813,1403,1403,722,681,90.875288,True,2011-02-22,2012-09-07,371,110,110,64,46,71.363233,True,2025-06-09,2026-06-12,252,96,96,45,51,95.282609,True,True,PASS,
nq_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,campaigns/nq_orderflow_impulse_reversal/variants/late_morning_15m_impulse_reversal_1130/config.yaml,late_morning_15m_impulse_reversal_1130,11:30:00,11:29:00,12:30:00,trade_orderflow_imbalance_15_rank42,trade_orderflow_imbalance_15,trade_orderflow_return_ticks_15,0.8,3.0,2011-01-03,2026-06-12,3813,1388,1388,714,674,89.903706,True,2011-02-22,2012-09-07,371,108,108,62,46,70.065719,True,2025-06-09,2026-06-12,252,96,96,45,51,95.282609,True,True,PASS,
nq_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,campaigns/nq_orderflow_impulse_reversal/variants/late_morning_15m_impulse_reversal_1130/config.yaml,late_morning_15m_impulse_reversal_1130,11:30:00,11:29:00,12:30:00,trade_orderflow_imbalance_15_rank42,trade_orderflow_imbalance_15,trade_orderflow_return_ticks_15,0.8,4.0,2011-01-03,2026-06-12,3813,1371,1371,704,667,88.80258,True,2011-02-22,2012-09-07,371,106,106,60,46,68.768206,True,2025-06-09,2026-06-12,252,96,96,45,51,95.282609,True,True,PASS,
nq_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,campaigns/nq_orderflow_impulse_reversal/variants/late_morning_15m_impulse_reversal_1130/config.yaml,late_morning_15m_impulse_reversal_1130,11:30:00,11:29:00,12:30:00,trade_orderflow_imbalance_15_rank42,trade_orderflow_imbalance_15,trade_orderflow_return_ticks_15,0.85,2.0,2011-01-03,2026-06-12,3813,1121,1121,577,544,72.60955,True,2011-02-22,2012-09-07,371,89,89,52,37,57.739343,True,2025-06-09,2026-06-12,252,78,78,39,39,77.41712,True,True,PASS,
nq_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,campaigns/nq_orderflow_impulse_reversal/variants/late_morning_15m_impulse_reversal_1130/config.yaml,late_morning_15m_impulse_reversal_1130,11:30:00,11:29:00,12:30:00,trade_orderflow_imbalance_15_rank42,trade_orderflow_imbalance_15,trade_orderflow_return_ticks_15,0.85,3.0,2011-01-03,2026-06-12,3813,1108,1108,571,537,71.767512,True,2011-02-22,2012-09-07,371,87,87,50,37,56.441829,True,2025-06-09,2026-06-12,252,78,78,39,39,77.41712,True,True,PASS,
nq_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,campaigns/nq_orderflow_impulse_reversal/variants/late_morning_15m_impulse_reversal_1130/config.yaml,late_morning_15m_impulse_reversal_1130,11:30:00,11:29:00,12:30:00,trade_orderflow_imbalance_15_rank42,trade_orderflow_imbalance_15,trade_orderflow_return_ticks_15,0.85,4.0,2011-01-03,2026-06-12,3813,1095,1095,563,532,70.925474,True,2011-02-22,2012-09-07,371,86,86,49,37,55.793073,True,2025-06-09,2026-06-12,252,78,78,39,39,77.41712,True,True,PASS,
nq_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,campaigns/nq_orderflow_impulse_reversal/variants/midday_30m_impulse_reversal_1230/config.yaml,midday_30m_impulse_reversal_1230,12:30:00,12:29:00,14:00:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.75,2.0,2011-01-03,2026-06-12,3813,1697,1697,853,844,109.918292,True,2011-02-22,2012-09-07,371,150,150,73,77,97.313499,True,2025-06-09,2026-06-12,252,117,117,57,60,116.125679,True,True,PASS,
nq_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,campaigns/nq_orderflow_impulse_reversal/variants/midday_30m_impulse_reversal_1230/config.yaml,midday_30m_impulse_reversal_1230,12:30:00,12:29:00,14:00:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.75,3.0,2011-01-03,2026-06-12,3813,1679,1679,846,833,108.752394,True,2011-02-22,2012-09-07,371,145,145,70,75,94.069716,True,2025-06-09,2026-06-12,252,117,117,57,60,116.125679,True,True,PASS,
nq_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,campaigns/nq_orderflow_impulse_reversal/variants/midday_30m_impulse_reversal_1230/config.yaml,midday_30m_impulse_reversal_1230,12:30:00,12:29:00,14:00:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.75,4.0,2011-01-03,2026-06-12,3813,1653,1653,835,818,107.068319,True,2011-02-22,2012-09-07,371,140,140,68,72,90.825933,True,2025-06-09,2026-06-12,252,117,117,57,60,116.125679,True,True,PASS,
nq_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,campaigns/nq_orderflow_impulse_reversal/variants/midday_30m_impulse_reversal_1230/config.yaml,midday_30m_impulse_reversal_1230,12:30:00,12:29:00,14:00:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.8,2.0,2011-01-03,2026-06-12,3813,1451,1451,730,721,93.98435,True,2011-02-22,2012-09-07,371,128,128,59,69,83.040853,True,2025-06-09,2026-06-12,252,97,97,49,48,96.275136,True,True,PASS,
nq_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,campaigns/nq_orderflow_impulse_reversal/variants/midday_30m_impulse_reversal_1230/config.yaml,midday_30m_impulse_reversal_1230,12:30:00,12:29:00,14:00:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.8,3.0,2011-01-03,2026-06-12,3813,1438,1438,725,713,93.142312,True,2011-02-22,2012-09-07,371,124,124,57,67,80.445826,True,2025-06-09,2026-06-12,252,97,97,49,48,96.275136,True,True,PASS,
nq_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,campaigns/nq_orderflow_impulse_reversal/variants/midday_30m_impulse_reversal_1230/config.yaml,midday_30m_impulse_reversal_1230,12:30:00,12:29:00,14:00:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.8,4.0,2011-01-03,2026-06-12,3813,1415,1415,716,699,91.652554,True,2011-02-22,2012-09-07,371,119,119,55,64,77.202043,True,2025-06-09,2026-06-12,252,97,97,49,48,96.275136,True,True,PASS,
nq_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,campaigns/nq_orderflow_impulse_reversal/variants/midday_30m_impulse_reversal_1230/config.yaml,midday_30m_impulse_reversal_1230,12:30:00,12:29:00,14:00:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.85,2.0,2011-01-03,2026-06-12,3813,1129,1129,567,562,73.127727,True,2011-02-22,2012-09-07,371,102,102,45,57,66.173179,True,2025-06-09,2026-06-12,252,74,74,38,36,73.447011,True,True,PASS,
nq_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,campaigns/nq_orderflow_impulse_reversal/variants/midday_30m_impulse_reversal_1230/config.yaml,midday_30m_impulse_reversal_1230,12:30:00,12:29:00,14:00:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.85,3.0,2011-01-03,2026-06-12,3813,1119,1119,563,556,72.480005,True,2011-02-22,2012-09-07,371,100,100,44,56,64.875666,True,2025-06-09,2026-06-12,252,74,74,38,36,73.447011,True,True,PASS,
nq_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,campaigns/nq_orderflow_impulse_reversal/variants/midday_30m_impulse_reversal_1230/config.yaml,midday_30m_impulse_reversal_1230,12:30:00,12:29:00,14:00:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.85,4.0,2011-01-03,2026-06-12,3813,1103,1103,556,547,71.443651,True,2011-02-22,2012-09-07,371,95,95,42,53,61.631883,True,2025-06-09,2026-06-12,252,74,74,38,36,73.447011,True,True,PASS,
