variant_id,rank_column,value_column,direction_mode,max_rank_threshold,window,window_start,window_end,sessions,signals,signals_per_year,density_pass
high_63d_max_fade_short_1200,max_return_63d_rank_252,prior_max_return_63d,high_short,0.5,latest_252,2025-06-09,2026-06-12,252,153,153.0,True
low_5d_max_carry_long_1030,max_return_5d_rank_252,prior_max_return_5d,low_long,0.35,full,2011-01-03,2026-06-12,3813,1297,85.7183320220299,True
low_5d_max_carry_long_1030,max_return_5d_rank_252,prior_max_return_5d,low_long,0.35,limited_core,2011-02-22,2012-09-07,371,119,80.83018867924528,True
low_5d_max_carry_long_1030,max_return_5d_rank_252,prior_max_return_5d,low_long,0.35,latest_252,2025-06-09,2026-06-12,252,102,102.0,True
low_5d_max_carry_long_1030,max_return_5d_rank_252,prior_max_return_5d,low_long,0.45,full,2011-01-03,2026-06-12,3813,1715,113.34382376081825,True
low_5d_max_carry_long_1030,max_return_5d_rank_252,prior_max_return_5d,low_long,0.45,limited_core,2011-02-22,2012-09-07,371,155,105.28301886792453,True
low_5d_max_carry_long_1030,max_return_5d_rank_252,prior_max_return_5d,low_long,0.45,latest_252,2025-06-09,2026-06-12,252,149,149.0,True
low_5d_max_carry_long_1030,max_return_5d_rank_252,prior_max_return_5d,low_long,0.5,full,2011-01-03,2026-06-12,3813,1916,126.62785208497246,True
low_5d_max_carry_long_1030,max_return_5d_rank_252,prior_max_return_5d,low_long,0.5,limited_core,2011-02-22,2012-09-07,371,169,114.79245283018867,True
low_5d_max_carry_long_1030,max_return_5d_rank_252,prior_max_return_5d,low_long,0.5,latest_252,2025-06-09,2026-06-12,252,159,159.0,True
high_avg_top5_20d_fade_short_1430,avg_top5_return_20d_rank_252,prior_avg_top5_return_20d,high_short,0.35,full,2011-01-03,2026-06-12,3813,1297,85.7183320220299,True
high_avg_top5_20d_fade_short_1430,avg_top5_return_20d_rank_252,prior_avg_top5_return_20d,high_short,0.35,limited_core,2011-02-22,2012-09-07,371,104,70.64150943396226,True
high_avg_top5_20d_fade_short_1430,avg_top5_return_20d_rank_252,prior_avg_top5_return_20d,high_short,0.35,latest_252,2025-06-09,2026-06-12,252,80,80.0,True
high_avg_top5_20d_fade_short_1430,avg_top5_return_20d_rank_252,prior_avg_top5_return_20d,high_short,0.45,full,2011-01-03,2026-06-12,3813,1558,102.96774193548387,True
high_avg_top5_20d_fade_short_1430,avg_top5_return_20d_rank_252,prior_avg_top5_return_20d,high_short,0.45,limited_core,2011-02-22,2012-09-07,371,143,97.1320754716981,True
high_avg_top5_20d_fade_short_1430,avg_top5_return_20d_rank_252,prior_avg_top5_return_20d,high_short,0.45,latest_252,2025-06-09,2026-06-12,252,101,101.0,True
high_avg_top5_20d_fade_short_1430,avg_top5_return_20d_rank_252,prior_avg_top5_return_20d,high_short,0.5,full,2011-01-03,2026-06-12,3813,1734,114.59952793076317,True
high_avg_top5_20d_fade_short_1430,avg_top5_return_20d_rank_252,prior_avg_top5_return_20d,high_short,0.5,limited_core,2011-02-22,2012-09-07,371,166,112.75471698113206,True
high_avg_top5_20d_fade_short_1430,avg_top5_return_20d_rank_252,prior_avg_top5_return_20d,high_short,0.5,latest_252,2025-06-09,2026-06-12,252,103,103.0,True
