campaign_id,variant_id,window,start_date,end_date,sessions,min_extreme_break_ticks,max_delta_progress_ratio,signals,long,short,signals_per_year
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,full_available,2011-01-03,2026-06-09,3817,2,0.05,2880,1345,1535,186.64300922640172
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,full_available,2011-01-03,2026-06-09,3817,2,0.1,2986,1400,1586,193.5125088715401
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,shortlist_random_10pct,2011-02-22,2012-09-06,374,1,0.05,225,0,225,146.22998220640568
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,shortlist_random_10pct,2011-02-22,2012-09-06,374,1,0.1,237,0,237,154.02891459074732
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,shortlist_random_10pct,2011-02-22,2012-09-06,374,2,0.05,175,0,175,113.7344306049822
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,shortlist_random_10pct,2011-02-22,2012-09-06,374,2,0.1,198,0,198,128.682384341637
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,wfa_first_90pct,2011-01-03,2024-11-22,3438,1,0.05,2120,0,2120,152.66758675078864
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,wfa_first_90pct,2011-01-03,2024-11-22,3438,1,0.1,2159,0,2159,155.4760942429022
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,wfa_first_90pct,2011-01-03,2024-11-22,3438,2,0.05,1837,0,1837,132.28790417981074
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,wfa_first_90pct,2011-01-03,2024-11-22,3438,2,0.1,1939,0,1939,139.633231466877
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,full_available,2011-01-03,2026-06-09,3817,1,0.05,2365,0,2365,153.26761000709723
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,full_available,2011-01-03,2026-06-09,3817,1,0.1,2405,0,2405,155.8598740241306
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,full_available,2011-01-03,2026-06-09,3817,2,0.05,2077,0,2077,134.60330908445707
es_session_extreme_delta_divergence,morning_high_delta_divergence_short,full_available,2011-01-03,2026-06-09,3817,2,0.1,2181,0,2181,141.3431955287438
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,shortlist_random_10pct,2011-02-22,2012-09-06,374,1,0.05,219,219,0,142.33051601423486
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,shortlist_random_10pct,2011-02-22,2012-09-06,374,1,0.1,228,228,0,148.1797153024911
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,shortlist_random_10pct,2011-02-22,2012-09-06,374,2,0.05,175,175,0,113.7344306049822
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,shortlist_random_10pct,2011-02-22,2012-09-06,374,2,0.1,204,204,0,132.58185053380782
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,wfa_first_90pct,2011-01-03,2024-11-22,3438,1,0.05,1979,1979,0,142.51375197160885
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,wfa_first_90pct,2011-01-03,2024-11-22,3438,1,0.1,2012,2012,0,144.89018138801262
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,wfa_first_90pct,2011-01-03,2024-11-22,3438,2,0.05,1739,1739,0,125.23062894321767
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,wfa_first_90pct,2011-01-03,2024-11-22,3438,2,0.1,1841,1841,0,132.5759562302839
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,full_available,2011-01-03,2026-06-09,3817,1,0.05,2201,2201,0,142.63932753726047
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,full_available,2011-01-03,2026-06-09,3817,1,0.1,2234,2234,0,144.77794535131298
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,full_available,2011-01-03,2026-06-09,3817,2,0.05,1957,1957,0,126.82651703335699
es_session_extreme_delta_divergence,morning_low_delta_divergence_long,full_available,2011-01-03,2026-06-09,3817,2,0.1,2060,2060,0,133.50159687721788
