variant_id,period,start_date,end_date,min_trend_move_ticks,min_reclaim_orderflow_imbalance,signals,years,signals_per_year
or30_signed_two_sided_trend_reclaim_1100,full_history,2011-01-03,2026-06-09,0,0.0,458,15.433264887063656,29.676157530601383
or30_signed_two_sided_trend_reclaim_1100,limited_core_window,2011-02-22,2012-09-06,0,0.0,37,1.541409993155373,24.00399644760213
or30_signed_two_sided_trend_reclaim_1100,full_history,2011-01-03,2026-06-09,0,0.02,451,15.433264887063656,29.222591804151143
or30_signed_two_sided_trend_reclaim_1100,limited_core_window,2011-02-22,2012-09-06,0,0.02,36,1.541409993155373,23.355239786856128
or30_signed_two_sided_trend_reclaim_1100,full_history,2011-01-03,2026-06-09,0,0.04,434,15.433264887063656,28.121075039914846
or30_signed_two_sided_trend_reclaim_1100,limited_core_window,2011-02-22,2012-09-06,0,0.04,36,1.541409993155373,23.355239786856128
or30_signed_two_sided_trend_reclaim_1100,full_history,2011-01-03,2026-06-09,1,0.0,363,15.433264887063656,23.52062267163385
or30_signed_two_sided_trend_reclaim_1100,limited_core_window,2011-02-22,2012-09-06,1,0.0,28,1.541409993155373,18.165186500888097
or30_signed_two_sided_trend_reclaim_1100,full_history,2011-01-03,2026-06-09,1,0.02,359,15.433264887063656,23.261442256519423
or30_signed_two_sided_trend_reclaim_1100,limited_core_window,2011-02-22,2012-09-06,1,0.02,28,1.541409993155373,18.165186500888097
or30_signed_two_sided_trend_reclaim_1100,full_history,2011-01-03,2026-06-09,1,0.04,344,15.433264887063656,22.28951569984034
or30_signed_two_sided_trend_reclaim_1100,limited_core_window,2011-02-22,2012-09-06,1,0.04,28,1.541409993155373,18.165186500888097
or30_signed_two_sided_trend_reclaim_1100,full_history,2011-01-03,2026-06-09,2,0.0,285,15.433264887063656,18.466604576902608
or30_signed_two_sided_trend_reclaim_1100,limited_core_window,2011-02-22,2012-09-06,2,0.0,19,1.541409993155373,12.326376554174066
or30_signed_two_sided_trend_reclaim_1100,full_history,2011-01-03,2026-06-09,2,0.02,282,15.433264887063656,18.27221926556679
or30_signed_two_sided_trend_reclaim_1100,limited_core_window,2011-02-22,2012-09-06,2,0.02,19,1.541409993155373,12.326376554174066
or30_signed_two_sided_trend_reclaim_1100,full_history,2011-01-03,2026-06-09,2,0.04,267,15.433264887063656,17.300292708887707
