trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,share_mode,lookback_minutes,trend_lookback_minutes,rank_window,configured_direction,share_rank,share_value,es_pullback_return_ticks,trend_return_ticks,trend_start_timestamp,trend_end_timestamp,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,crowding_signal_timestamp,crowding_intended_entry_timestamp,signal_close_timestamp,intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
19,trend_filtered_mes_participation_crowding,2025-10-17,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.9206349206349206,0.1055342339666412,-32.0,181.0,2025-10-17 09:45:00-04:00,2025-10-17 10:15:00-04:00,0.55,4.0,4.0,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,0.0025,1.5,12:00:00,6683.0,2025-10-17 10:29:00-04:00,6686.25,6681.0,2025-10-17 10:30:00-04:00,2025-10-17 10:30:00-04:00,6683.25,6666.5,6700.0,16.75,1,0.75,19.25,fixed_contracts,2025-10-17 10:35:00-04:00,6666.25,stop,-850.0,-855.0,-1.0149253731343284,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
20,trend_filtered_mes_participation_crowding,2025-10-23,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.5873015873015873,0.081538983076671,11.0,-17.0,2025-10-23 09:45:00-04:00,2025-10-23 10:15:00-04:00,0.55,4.0,4.0,2025-10-23 10:30:00-04:00,2025-10-23 10:30:00-04:00,2025-10-23 10:30:00-04:00,2025-10-23 10:30:00-04:00,0.0025,1.5,12:00:00,6752.0,2025-10-23 10:29:00-04:00,6753.5,6751.0,2025-10-23 10:30:00-04:00,2025-10-23 10:30:00-04:00,6751.75,6768.75,6734.75,17.0,1,6.5,13.75,fixed_contracts,2025-10-23 12:00:00-04:00,6761.25,eod_flatten,-475.0,-480.0,-0.5588235294117647,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
21,trend_filtered_mes_participation_crowding,2025-11-06,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7738095238095238,0.0891620476997488,59.0,-117.0,2025-11-06 09:45:00-05:00,2025-11-06 10:15:00-05:00,0.55,4.0,4.0,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,0.0025,1.5,12:00:00,6792.75,2025-11-06 10:29:00-05:00,6796.5,6791.5,2025-11-06 10:30:00-05:00,2025-11-06 10:30:00-05:00,6792.25,6809.25,6775.25,17.0,1,22.0,1.75,fixed_contracts,2025-11-06 10:36:00-05:00,6775.5,target,837.5,832.5,0.9852941176470589,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
22,trend_filtered_mes_participation_crowding,2025-11-07,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.8849206349206349,0.0984855983371275,-25.0,45.0,2025-11-07 09:45:00-05:00,2025-11-07 10:15:00-05:00,0.55,4.0,4.0,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,0.0025,1.5,12:00:00,6703.25,2025-11-07 10:29:00-05:00,6707.25,6700.75,2025-11-07 10:30:00-05:00,2025-11-07 10:30:00-05:00,6703.5,6686.5,6720.5,17.0,1,3.5,18.25,fixed_contracts,2025-11-07 10:44:00-05:00,6686.25,stop,-862.5,-867.5,-1.0147058823529411,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
23,trend_filtered_mes_participation_crowding,2025-11-13,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.8015873015873016,0.0912140400020313,-60.0,107.0,2025-11-13 09:45:00-05:00,2025-11-13 10:15:00-05:00,0.55,4.0,4.0,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,0.0025,1.5,12:00:00,6831.0,2025-11-13 10:29:00-05:00,6833.0,6829.75,2025-11-13 10:30:00-05:00,2025-11-13 10:30:00-05:00,6831.25,6814.0,6848.5,17.25,1,0.75,17.5,fixed_contracts,2025-11-13 10:37:00-05:00,6813.75,stop,-875.0,-880.0,-1.0144927536231885,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
24,trend_filtered_mes_participation_crowding,2025-11-17,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.9126984126984128,0.1048655711876407,13.0,-9.0,2025-11-17 09:45:00-05:00,2025-11-17 10:15:00-05:00,0.55,4.0,4.0,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,0.0025,1.5,12:00:00,6758.25,2025-11-17 10:29:00-05:00,6760.75,6756.75,2025-11-17 10:30:00-05:00,2025-11-17 10:30:00-05:00,6757.75,6774.75,6740.75,17.0,1,19.5,3.75,fixed_contracts,2025-11-17 10:40:00-05:00,6741.0,target,837.5,832.5,0.9852941176470589,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
25,trend_filtered_mes_participation_crowding,2025-11-18,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.6944444444444444,0.0852593733949666,11.0,-123.0,2025-11-18 09:45:00-05:00,2025-11-18 10:15:00-05:00,0.55,4.0,4.0,2025-11-18 10:30:00-05:00,2025-11-18 10:30:00-05:00,2025-11-18 10:30:00-05:00,2025-11-18 10:30:00-05:00,0.0025,1.5,12:00:00,6626.5,2025-11-18 10:29:00-05:00,6632.5,6625.25,2025-11-18 10:30:00-05:00,2025-11-18 10:30:00-05:00,6626.25,6643.0,6609.5,16.75,1,19.5,11.5,fixed_contracts,2025-11-18 10:50:00-05:00,6609.75,target,825.0,820.0,0.9850746268656716,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
26,trend_filtered_mes_participation_crowding,2025-11-26,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7103174603174603,0.0863748506134858,22.0,-49.0,2025-11-26 09:45:00-05:00,2025-11-26 10:15:00-05:00,0.55,4.0,4.0,2025-11-26 10:30:00-05:00,2025-11-26 10:30:00-05:00,2025-11-26 10:30:00-05:00,2025-11-26 10:30:00-05:00,0.0025,1.5,12:00:00,6810.25,2025-11-26 10:29:00-05:00,6812.75,6808.75,2025-11-26 10:30:00-05:00,2025-11-26 10:30:00-05:00,6810.0,6827.25,6792.75,17.25,1,0.5,17.75,fixed_contracts,2025-11-26 11:02:00-05:00,6827.5,stop,-875.0,-880.0,-1.0144927536231885,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
27,trend_filtered_mes_participation_crowding,2025-12-01,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7142857142857143,0.0864396574459721,-39.0,62.0,2025-12-01 09:45:00-05:00,2025-12-01 10:15:00-05:00,0.55,4.0,4.0,2025-12-01 10:30:00-05:00,2025-12-01 10:30:00-05:00,2025-12-01 10:30:00-05:00,2025-12-01 10:30:00-05:00,0.0025,1.5,12:00:00,6823.75,2025-12-01 10:29:00-05:00,6826.5,6822.5,2025-12-01 10:30:00-05:00,2025-12-01 10:30:00-05:00,6824.0,6806.75,6841.25,17.25,1,19.25,10.25,fixed_contracts,2025-12-01 10:54:00-05:00,6841.0,target,850.0,845.0,0.9855072463768116,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
28,trend_filtered_mes_participation_crowding,2025-12-02,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.873015873015873,0.098373389952482,-56.0,23.0,2025-12-02 09:45:00-05:00,2025-12-02 10:15:00-05:00,0.55,4.0,4.0,2025-12-02 10:30:00-05:00,2025-12-02 10:30:00-05:00,2025-12-02 10:30:00-05:00,2025-12-02 10:30:00-05:00,0.0025,1.5,12:00:00,6840.75,2025-12-02 10:29:00-05:00,6842.5,6838.75,2025-12-02 10:30:00-05:00,2025-12-02 10:30:00-05:00,6840.75,6823.5,6858.0,17.25,1,18.0,7.5,fixed_contracts,2025-12-02 10:48:00-05:00,6857.75,target,850.0,845.0,0.9855072463768116,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
29,trend_filtered_mes_participation_crowding,2025-12-04,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.9126984126984128,0.1050566120882624,17.0,-28.0,2025-12-04 09:45:00-05:00,2025-12-04 10:15:00-05:00,0.55,4.0,4.0,2025-12-04 10:30:00-05:00,2025-12-04 10:30:00-05:00,2025-12-04 10:30:00-05:00,2025-12-04 10:30:00-05:00,0.0025,1.5,12:00:00,6858.75,2025-12-04 10:29:00-05:00,6859.5,6857.0,2025-12-04 10:30:00-05:00,2025-12-04 10:30:00-05:00,6858.75,6876.0,6841.5,17.25,1,13.75,10.0,fixed_contracts,2025-12-04 12:00:00-05:00,6867.5,eod_flatten,-437.5,-442.5,-0.5072463768115942,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
30,trend_filtered_mes_participation_crowding,2025-12-16,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.6388888888888888,0.0851199320738696,-67.0,23.0,2025-12-16 09:45:00-05:00,2025-12-16 10:15:00-05:00,0.55,4.0,4.0,2025-12-16 10:30:00-05:00,2025-12-16 10:30:00-05:00,2025-12-16 10:30:00-05:00,2025-12-16 10:30:00-05:00,0.0025,1.5,12:00:00,6845.25,2025-12-16 10:29:00-05:00,6847.25,6839.75,2025-12-16 10:30:00-05:00,2025-12-16 10:30:00-05:00,6845.5,6828.25,6862.75,17.25,1,17.25,7.25,fixed_contracts,2025-12-16 10:55:00-05:00,6862.5,target,850.0,845.0,0.9855072463768116,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
31,trend_filtered_mes_participation_crowding,2025-12-22,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7738095238095238,0.092807136463125,33.0,-12.0,2025-12-22 09:45:00-05:00,2025-12-22 10:15:00-05:00,0.55,4.0,4.0,2025-12-22 10:30:00-05:00,2025-12-22 10:30:00-05:00,2025-12-22 10:30:00-05:00,2025-12-22 10:30:00-05:00,0.0025,1.5,12:00:00,6920.0,2025-12-22 10:29:00-05:00,6921.0,6919.0,2025-12-22 10:30:00-05:00,2025-12-22 10:30:00-05:00,6919.75,6937.25,6902.25,17.5,1,11.25,12.5,fixed_contracts,2025-12-22 12:00:00-05:00,6932.5,eod_flatten,-637.5,-642.5,-0.7285714285714285,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
32,trend_filtered_mes_participation_crowding,2025-12-23,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7936507936507936,0.0948797379894444,21.0,-42.0,2025-12-23 09:45:00-05:00,2025-12-23 10:15:00-05:00,0.55,4.0,4.0,2025-12-23 10:30:00-05:00,2025-12-23 10:30:00-05:00,2025-12-23 10:30:00-05:00,2025-12-23 10:30:00-05:00,0.0025,1.5,12:00:00,6933.25,2025-12-23 10:29:00-05:00,6933.75,6930.5,2025-12-23 10:30:00-05:00,2025-12-23 10:30:00-05:00,6932.75,6950.25,6915.25,17.5,1,0.0,17.5,fixed_contracts,2025-12-23 11:50:00-05:00,6950.5,stop,-887.5,-892.5,-1.0142857142857142,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
33,trend_filtered_mes_participation_crowding,2025-12-26,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.8849206349206349,0.1016500555750016,33.0,-68.0,2025-12-26 09:45:00-05:00,2025-12-26 10:15:00-05:00,0.55,4.0,4.0,2025-12-26 10:30:00-05:00,2025-12-26 10:30:00-05:00,2025-12-26 10:30:00-05:00,2025-12-26 10:30:00-05:00,0.0025,1.5,12:00:00,6984.0,2025-12-26 10:29:00-05:00,6984.25,6982.0,2025-12-26 10:30:00-05:00,2025-12-26 10:30:00-05:00,6983.75,7001.25,6966.25,17.5,1,9.75,3.0,fixed_contracts,2025-12-26 12:00:00-05:00,6977.0,eod_flatten,337.5,332.5,0.38571428571428573,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
34,trend_filtered_mes_participation_crowding,2025-12-29,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.9047619047619048,0.1039436334421867,35.0,-56.0,2025-12-29 09:45:00-05:00,2025-12-29 10:15:00-05:00,0.55,4.0,4.0,2025-12-29 10:30:00-05:00,2025-12-29 10:30:00-05:00,2025-12-29 10:30:00-05:00,2025-12-29 10:30:00-05:00,0.0025,1.5,12:00:00,6955.0,2025-12-29 10:29:00-05:00,6955.75,6953.25,2025-12-29 10:30:00-05:00,2025-12-29 10:30:00-05:00,6954.75,6972.25,6937.25,17.5,1,12.5,5.0,fixed_contracts,2025-12-29 12:00:00-05:00,6946.75,eod_flatten,400.0,395.0,0.45714285714285713,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
35,trend_filtered_mes_participation_crowding,2025-12-31,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7738095238095238,0.0941319152906054,4.0,-18.0,2025-12-31 09:45:00-05:00,2025-12-31 10:15:00-05:00,0.55,4.0,4.0,2025-12-31 10:30:00-05:00,2025-12-31 10:30:00-05:00,2025-12-31 10:30:00-05:00,2025-12-31 10:30:00-05:00,0.0025,1.5,12:00:00,6927.75,2025-12-31 10:29:00-05:00,6928.0,6926.75,2025-12-31 10:30:00-05:00,2025-12-31 10:30:00-05:00,6927.5,6945.0,6910.0,17.5,1,13.75,1.5,fixed_contracts,2025-12-31 12:00:00-05:00,6926.25,eod_flatten,62.5,57.5,0.07142857142857142,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
