run_id,entry.params.share_rank_min,entry.params.min_abs_return_ticks,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
11,0.35,3,0.003,2.0,263,263,263,0,0,0,0,0,0,0,263,65.92903098811463,20272.5,1.2892662219526987,0.10462771862632937,7330.0,0.04627671328009091,0.03228778778609964,0.6977113432986702,0.49049429657794674,0,0,True,-930.0,0.08669379701566161,5,True,
12,0.35,3,0.003,2.5,263,263,263,0,0,0,0,0,0,0,263,65.92903098811463,20847.5,1.2963397299218196,0.11105145180691121,7022.5,0.04384061929361822,0.03316055078935265,0.7563887400235644,0.4866920152091255,0,0,True,-930.0,0.1055882000239837,5,True,
13,0.35,3,0.004,1.5,263,263,263,0,0,0,0,0,0,0,263,65.9289995653268,24666.25,1.3483318623124447,0.09571383336587902,6033.75,0.037728622791933716,0.03890164629824033,1.0310910767343833,0.5247148288973384,0,0,True,-1230.0,0.07150458622611869,5,True,
14,0.35,3,0.004,2.0,263,263,263,0,0,0,0,0,0,0,263,65.9289995653268,25572.5,1.3597706809229038,0.10202388519055428,6777.5,0.04161166538756715,0.04025027281411919,0.9672833913094303,0.5209125475285171,0,0,True,-1230.0,0.092188874767817,5,True,
15,0.35,3,0.004,2.5,263,263,263,0,0,0,0,0,0,0,263,65.9289995653268,26485.0,1.3726083286437816,0.10623424103351523,7113.75,0.0432795412718451,0.04160294022242894,0.9612611178365966,0.5209125475285171,0,0,True,-1230.0,0.08547290919388333,5,True,
16,0.35,3,0.006,1.5,263,263,263,0,0,0,0,0,0,0,263,65.92767983528503,33078.75,1.4863270481861286,0.0909452183793104,5077.5,0.030341736694677872,0.051223690977275194,1.6882254134866361,0.5399239543726235,0,0,True,-1730.0,0.0799606998450667,5,True,
17,0.35,3,0.006,2.0,263,263,263,0,0,0,0,0,0,0,263,65.92767983528503,32197.5,1.473370823685081,0.08861774322415351,5077.5,0.030178306092124813,0.049952961530334905,1.6552606159485668,0.5399239543726235,0,0,True,-1730.0,0.08098454848978957,5,True,
18,0.35,3,0.006,2.5,263,263,263,0,0,0,0,0,0,0,263,65.92767983528503,32428.75,1.476770684015143,0.0896225493210118,5077.5,0.030136884668175244,0.05028686028348095,1.6686150820553864,0.5399239543726235,0,0,True,-1730.0,0.08137069729792237,5,True,
19,0.35,4,0.003,1.5,253,253,253,0,0,0,0,0,0,0,253,63.42222372620914,18035.0,1.2742652929323652,0.09721695541473938,6168.75,0.03926545356173866,0.02887043646822307,0.735263032752924,0.5098814229249012,0,0,True,-930.0,0.07596340449126698,5,True,
20,0.35,4,0.003,2.0,253,253,253,0,0,0,0,0,0,0,253,63.42222372620914,18985.0,1.2786686727092584,0.10164489129442919,7330.0,0.0467221212990407,0.03032551900884961,0.6490612618967764,0.49407114624505927,0,0,True,-930.0,0.09257308401369502,5,True,
