previous_rth_available,overnight_available,events,neutral_side_events,aoi_eligible_events,taps,delta_bubbles,big_trade_bubbles,orders_armed,fill_gate_rejections,target_guard_exits,news_resets,news_flatten_trades,session_date,contract_symbol,source_events,trades,input_was_canonically_sorted,canonical_event_order
True,True,129304,0,15,86,5848,9738,10,0,0,0,0,2025-12-02,ESZ5,129304,0,True,utc_timestamp_ns_then_source_ordinal
True,True,144057,0,41,188,8806,17269,23,0,0,0,0,2025-12-03,ESZ5,144057,0,True,utc_timestamp_ns_then_source_ordinal
True,True,126978,0,14,119,3606,0,11,1,0,0,0,2025-12-04,ESZ5,126978,2,True,utc_timestamp_ns_then_source_ordinal
True,True,109875,0,11,83,6951,9858,13,0,0,0,0,2025-12-05,ESZ5,109875,1,True,utc_timestamp_ns_then_source_ordinal
True,True,93126,0,22,64,3334,3700,20,0,0,0,0,2025-12-08,ESZ5,93126,1,True,utc_timestamp_ns_then_source_ordinal
True,True,90311,0,17,77,1414,1866,6,0,0,0,0,2025-12-09,ESZ5,90311,2,True,utc_timestamp_ns_then_source_ordinal
True,True,98268,0,16,97,1931,9478,1,0,0,0,0,2025-12-10,ESZ5,98268,1,True,utc_timestamp_ns_then_source_ordinal
True,True,176749,0,21,51,4467,4736,17,0,0,0,0,2025-12-11,ESZ5,176749,2,True,utc_timestamp_ns_then_source_ordinal
True,True,181743,0,31,67,8250,22321,21,0,0,0,0,2025-12-12,ESZ5,181743,0,True,utc_timestamp_ns_then_source_ordinal
True,True,84717,0,13,64,2071,2,1,1,0,0,0,2025-12-15,ESZ5,84717,0,True,utc_timestamp_ns_then_source_ordinal
False,True,204427,0,23,64,2697,12202,1,0,0,0,0,2025-12-16,ESH6,204427,1,True,utc_timestamp_ns_then_source_ordinal
True,True,168732,0,34,115,9700,16764,5,0,0,0,0,2025-12-17,ESH6,168732,0,True,utc_timestamp_ns_then_source_ordinal
True,True,173827,0,40,87,12119,26515,3,1,0,0,0,2025-12-18,ESH6,173827,0,True,utc_timestamp_ns_then_source_ordinal
True,True,133368,0,32,57,5234,0,1,0,0,0,0,2025-12-19,ESH6,133368,1,True,utc_timestamp_ns_then_source_ordinal
True,True,98865,0,11,62,1342,0,11,0,0,0,0,2025-12-22,ESH6,98865,3,True,utc_timestamp_ns_then_source_ordinal
True,True,88263,0,23,57,4759,5719,7,0,0,0,0,2025-12-23,ESH6,88263,1,True,utc_timestamp_ns_then_source_ordinal
True,True,42951,0,30,59,5282,0,8,0,0,0,0,2025-12-24,ESH6,42951,1,True,utc_timestamp_ns_then_source_ordinal
True,True,67707,0,16,82,1760,545,8,1,0,0,0,2025-12-26,ESH6,67707,1,True,utc_timestamp_ns_then_source_ordinal
True,True,89669,0,20,61,1741,13031,7,0,0,0,0,2025-12-29,ESH6,89669,1,True,utc_timestamp_ns_then_source_ordinal
True,True,71117,0,17,79,5758,9737,11,0,0,0,0,2025-12-30,ESH6,71117,0,True,utc_timestamp_ns_then_source_ordinal
True,True,67704,0,38,66,2736,2537,6,0,0,0,0,2025-12-31,ESH6,67704,1,True,utc_timestamp_ns_then_source_ordinal
True,True,156401,0,39,104,10057,18422,3,0,0,0,0,2026-01-02,ESH6,156401,1,True,utc_timestamp_ns_then_source_ordinal
