variant_id,min_sector_count,min_orderflow_imbalance,window,start_date,end_date,signals,signals_per_year
cyclical_up_vwap_accept_long_1130,2,0.02,wfa90,2011-01-03,2024-12-22,626,44.815072520580166
cyclical_up_vwap_accept_long_1130,2,0.02,latest1y,2025-06-10,2026-06-09,42,42.14423076923077
cyclical_up_vwap_accept_long_1130,2,0.04,full,2011-01-03,2026-06-09,328,21.256564939673527
cyclical_up_vwap_accept_long_1130,2,0.04,limited_core,2011-02-22,2012-09-06,61,39.644572953736656
cyclical_up_vwap_accept_long_1130,2,0.04,wfa90,2011-01-03,2024-12-22,313,22.407536260290083
cyclical_up_vwap_accept_long_1130,2,0.04,latest1y,2025-06-10,2026-06-09,9,9.030906593406593
cyclical_up_vwap_accept_long_1130,3,0.0,full,2011-01-03,2026-06-09,976,63.25124201561391
cyclical_up_vwap_accept_long_1130,3,0.0,limited_core,2011-02-22,2012-09-06,100,64.99110320284697
cyclical_up_vwap_accept_long_1130,3,0.0,wfa90,2011-01-03,2024-12-22,874,62.56928655429243
cyclical_up_vwap_accept_long_1130,3,0.0,latest1y,2025-06-10,2026-06-09,71,71.24381868131867
cyclical_up_vwap_accept_long_1130,3,0.02,full,2011-01-03,2026-06-09,609,39.46721965933286
cyclical_up_vwap_accept_long_1130,3,0.02,limited_core,2011-02-22,2012-09-06,81,52.64279359430605
cyclical_up_vwap_accept_long_1130,3,0.02,wfa90,2011-01-03,2024-12-22,558,39.946981575852604
cyclical_up_vwap_accept_long_1130,3,0.02,latest1y,2025-06-10,2026-06-09,35,35.12019230769231
cyclical_up_vwap_accept_long_1130,3,0.04,full,2011-01-03,2026-06-09,294,19.053140525195175
cyclical_up_vwap_accept_long_1130,3,0.04,limited_core,2011-02-22,2012-09-06,57,37.044928825622776
cyclical_up_vwap_accept_long_1130,3,0.04,wfa90,2011-01-03,2024-12-22,280,20.045080360642885
cyclical_up_vwap_accept_long_1130,3,0.04,latest1y,2025-06-10,2026-06-09,8,8.027472527472527
cyclical_up_vwap_accept_long_1130,4,0.0,full,2011-01-03,2026-06-09,742,48.08649751596877
cyclical_up_vwap_accept_long_1130,4,0.0,limited_core,2011-02-22,2012-09-06,86,55.8923487544484
cyclical_up_vwap_accept_long_1130,4,0.0,wfa90,2011-01-03,2024-12-22,671,48.03660329282634
cyclical_up_vwap_accept_long_1130,4,0.0,latest1y,2025-06-10,2026-06-09,51,51.17513736263736
cyclical_up_vwap_accept_long_1130,4,0.02,full,2011-01-03,2026-06-09,463,30.005455997161107
cyclical_up_vwap_accept_long_1130,4,0.02,limited_core,2011-02-22,2012-09-06,69,44.84386120996441
cyclical_up_vwap_accept_long_1130,4,0.02,wfa90,2011-01-03,2024-12-22,428,30.64033712269698
cyclical_up_vwap_accept_long_1130,4,0.02,latest1y,2025-06-10,2026-06-09,26,26.08928571428571
cyclical_up_vwap_accept_long_1130,4,0.04,full,2011-01-03,2026-06-09,228,14.775904897090134
cyclical_up_vwap_accept_long_1130,4,0.04,limited_core,2011-02-22,2012-09-06,49,31.845640569395016
cyclical_up_vwap_accept_long_1130,4,0.04,wfa90,2011-01-03,2024-12-22,220,15.74970599764798
cyclical_up_vwap_accept_long_1130,4,0.04,latest1y,2025-06-10,2026-06-09,5,5.017170329670329
riskoff_cycdown_vwap_accept_short_1230,2,0.0,full,2011-01-03,2026-06-09,752,48.73456352022711
riskoff_cycdown_vwap_accept_short_1230,2,0.0,limited_core,2011-02-22,2012-09-06,102,66.29092526690391
riskoff_cycdown_vwap_accept_short_1230,2,0.0,wfa90,2011-01-03,2024-12-22,684,48.967267738141906
riskoff_cycdown_vwap_accept_short_1230,2,0.0,latest1y,2025-06-10,2026-06-09,42,42.14423076923077
riskoff_cycdown_vwap_accept_short_1230,2,0.02,full,2011-01-03,2026-06-09,431,27.931644783534423
riskoff_cycdown_vwap_accept_short_1230,2,0.02,limited_core,2011-02-22,2012-09-06,81,52.64279359430605
riskoff_cycdown_vwap_accept_short_1230,2,0.02,wfa90,2011-01-03,2024-12-22,407,29.136956095648767
riskoff_cycdown_vwap_accept_short_1230,2,0.02,latest1y,2025-06-10,2026-06-09,12,12.04120879120879
riskoff_cycdown_vwap_accept_short_1230,2,0.04,full,2011-01-03,2026-06-09,201,13.026126685592619
riskoff_cycdown_vwap_accept_short_1230,2,0.04,limited_core,2011-02-22,2012-09-06,50,32.495551601423486
riskoff_cycdown_vwap_accept_short_1230,2,0.04,wfa90,2011-01-03,2024-12-22,193,13.816787534300275
riskoff_cycdown_vwap_accept_short_1230,2,0.04,latest1y,2025-06-10,2026-06-09,3,3.0103021978021975
riskoff_cycdown_vwap_accept_short_1230,3,0.0,full,2011-01-03,2026-06-09,629,40.76335166784954
riskoff_cycdown_vwap_accept_short_1230,3,0.0,limited_core,2011-02-22,2012-09-06,92,59.79181494661921
riskoff_cycdown_vwap_accept_short_1230,3,0.0,wfa90,2011-01-03,2024-12-22,576,41.235593884751076
riskoff_cycdown_vwap_accept_short_1230,3,0.0,latest1y,2025-06-10,2026-06-09,30,30.103021978021978
riskoff_cycdown_vwap_accept_short_1230,3,0.02,full,2011-01-03,2026-06-09,365,23.654409155429384
riskoff_cycdown_vwap_accept_short_1230,3,0.02,limited_core,2011-02-22,2012-09-06,73,47.44350533807829
riskoff_cycdown_vwap_accept_short_1230,3,0.02,wfa90,2011-01-03,2024-12-22,347,24.84158173265386
riskoff_cycdown_vwap_accept_short_1230,3,0.02,latest1y,2025-06-10,2026-06-09,7,7.024038461538462
riskoff_cycdown_vwap_accept_short_1230,3,0.04,full,2011-01-03,2026-06-09,173,11.211541873669269
riskoff_cycdown_vwap_accept_short_1230,3,0.04,limited_core,2011-02-22,2012-09-06,45,29.245996441281136
riskoff_cycdown_vwap_accept_short_1230,3,0.04,wfa90,2011-01-03,2024-12-22,167,11.95545864366915
riskoff_cycdown_vwap_accept_short_1230,3,0.04,latest1y,2025-06-10,2026-06-09,2,2.006868131868132
riskoff_cycdown_vwap_accept_short_1230,4,0.0,full,2011-01-03,2026-06-09,488,31.625621007806956
riskoff_cycdown_vwap_accept_short_1230,4,0.0,limited_core,2011-02-22,2012-09-06,81,52.64279359430605
riskoff_cycdown_vwap_accept_short_1230,4,0.0,wfa90,2011-01-03,2024-12-22,449,32.1437181497452
riskoff_cycdown_vwap_accept_short_1230,4,0.0,latest1y,2025-06-10,2026-06-09,19,19.065247252747252
riskoff_cycdown_vwap_accept_short_1230,4,0.02,full,2011-01-03,2026-06-09,273,17.69220191625266
riskoff_cycdown_vwap_accept_short_1230,4,0.02,limited_core,2011-02-22,2012-09-06,64,41.59430604982206
riskoff_cycdown_vwap_accept_short_1230,4,0.02,wfa90,2011-01-03,2024-12-22,263,18.828057624460996
riskoff_cycdown_vwap_accept_short_1230,4,0.02,latest1y,2025-06-10,2026-06-09,1,1.003434065934066
riskoff_cycdown_vwap_accept_short_1230,4,0.04,full,2011-01-03,2026-06-09,128,8.295244854506743
riskoff_cycdown_vwap_accept_short_1230,4,0.04,limited_core,2011-02-22,2012-09-06,40,25.99644128113879
riskoff_cycdown_vwap_accept_short_1230,4,0.04,wfa90,2011-01-03,2024-12-22,126,9.020286162289299
