variant,time_set,thr,imb,signals,full_per_year,limited_per_year,long,short
twoy_1d_large10,morning,0.7,0.01,1101,71.35206706884316,57.8420818505338,1109,1040
teny_1d_two_sided,morning,0.7,0.02,751,48.66975691980128,59.14190391459074,641,647
twoy_1d_two_sided,morning,0.7,0.02,774,50.16030872959546,50.04314946619217,616,703
curve_1d_two_sided,morning,0.7,0.02,716,46.40152590489709,59.79181494661921,621,605
teny_5d_two_sided,morning,0.7,0.02,760,49.25301632363378,61.74154804270462,676,631
curve_5d_two_sided,morning,0.7,0.02,744,48.21611071682044,68.89056939501779,640,644
teny_1d_large10,morning,0.7,0.02,1000,64.80660042583392,60.44172597864768,1012,879
twoy_1d_large10,morning,0.7,0.02,1024,66.36195883605394,51.99288256227758,1006,925
teny_1d_two_sided,morning,0.7,0.04,324,20.99733853797019,40.29448398576512,242,247
twoy_1d_two_sided,morning,0.7,0.04,333,21.580597941802697,33.795373665480426,233,253
curve_1d_two_sided,morning,0.7,0.04,304,19.701206529453515,38.994661921708186,223,233
teny_5d_two_sided,morning,0.7,0.04,330,21.386178140525196,44.84386120996441,264,243
curve_5d_two_sided,morning,0.7,0.04,336,21.7750177430802,51.34297153024911,260,251
teny_1d_large10,morning,0.7,0.04,800,51.84528034066714,49.3932384341637,806,653
twoy_1d_large10,morning,0.7,0.04,817,52.94699254790632,40.94439501779359,800,671
teny_1d_two_sided,full,0.55,0.0,2151,139.39899751596877,133.88167259786476,3778,3621
twoy_1d_two_sided,full,0.55,0.0,1960,127.0209368346345,99.43638790035587,3446,3271
curve_1d_two_sided,full,0.55,0.0,2097,135.89944109297375,127.38256227758006,3755,3381
teny_5d_two_sided,full,0.55,0.0,2173,140.82474272533713,137.78113879003558,3796,3604
curve_5d_two_sided,full,0.55,0.0,2170,140.6303229240596,144.28024911032028,3774,3546
teny_1d_large10,full,0.55,0.0,2039,132.1406582682754,129.98220640569394,3751,3121
twoy_1d_large10,full,0.55,0.0,1846,119.63298438608943,98.13656583629893,3444,2826
teny_1d_two_sided,full,0.55,0.01,1737,112.56906493967352,121.53336298932383,2555,2544
twoy_1d_two_sided,full,0.55,0.01,1545,100.12619765791341,89.68772241992882,2282,2274
curve_1d_two_sided,full,0.55,0.01,1696,109.91199432221434,115.03425266903913,2520,2378
teny_5d_two_sided,full,0.55,0.01,1744,113.02271114265437,122.83318505338077,2546,2531
curve_5d_two_sided,full,0.55,0.01,1724,111.7265791341377,129.33229537366546,2561,2475
teny_1d_large10,full,0.55,0.01,1870,121.18834279630944,120.88345195729536,3324,2695
