variant,slot_id,source_start,entry_time,flow_mode,lookback_days,min_mean_return_bps,min_orderflow_imbalance,signals,long_signals,short_signals,signals_per_year
afternoon_1330_large20_confirmed_slot,slot_1330_1400,13:00:00,13:30:00,large20_imbalance,10,0.75,0.02,1530,767,763,99.10134775669445
afternoon_1330_large20_confirmed_slot,slot_1330_1400,13:00:00,13:30:00,large20_imbalance,20,0.75,0.0,1491,773,718,96.57523497073949
afternoon_1330_large20_confirmed_slot,slot_1330_1400,13:00:00,13:30:00,large20_imbalance,20,0.75,0.01,1456,754,702,94.30821067565171
afternoon_1330_large20_confirmed_slot,slot_1330_1400,13:00:00,13:30:00,large20_imbalance,20,0.75,0.02,1432,742,690,92.75367973044865
afternoon_1330_large20_confirmed_slot,slot_1330_1400,13:00:00,13:30:00,large20_imbalance,40,0.75,0.0,1307,710,597,84.65716439084943
afternoon_1330_large20_confirmed_slot,slot_1330_1400,13:00:00,13:30:00,large20_imbalance,40,0.75,0.01,1271,689,582,82.32536797304486
afternoon_1330_large20_confirmed_slot,slot_1330_1400,13:00:00,13:30:00,large20_imbalance,40,0.75,0.02,1255,680,575,81.28901400957616
late_afternoon_1430_large20_confirmed_slot,slot_1430_1500,14:00:00,14:30:00,large20_imbalance,10,0.75,0.0,1559,813,746,100.97973931548147
late_afternoon_1430_large20_confirmed_slot,slot_1430_1500,14:00:00,14:30:00,large20_imbalance,10,0.75,0.01,1520,791,729,98.4536265295265
late_afternoon_1430_large20_confirmed_slot,slot_1430_1500,14:00:00,14:30:00,large20_imbalance,10,0.75,0.02,1496,781,715,96.89909558432346
late_afternoon_1430_large20_confirmed_slot,slot_1430_1500,14:00:00,14:30:00,large20_imbalance,20,0.75,0.0,1532,840,692,99.23089200212803
late_afternoon_1430_large20_confirmed_slot,slot_1430_1500,14:00:00,14:30:00,large20_imbalance,20,0.75,0.01,1499,822,677,97.09341195247384
late_afternoon_1430_large20_confirmed_slot,slot_1430_1500,14:00:00,14:30:00,large20_imbalance,20,0.75,0.02,1477,812,665,95.66842525270438
late_afternoon_1430_large20_confirmed_slot,slot_1430_1500,14:00:00,14:30:00,large20_imbalance,40,0.75,0.0,1465,813,652,94.89115978010285
late_afternoon_1430_large20_confirmed_slot,slot_1430_1500,14:00:00,14:30:00,large20_imbalance,40,0.75,0.01,1430,797,633,92.62413548501507
late_afternoon_1430_large20_confirmed_slot,slot_1430_1500,14:00:00,14:30:00,large20_imbalance,40,0.75,0.02,1409,785,624,91.2639209079624
