campaign_id,variant_id,scope,timeframe,period_start,period_end,rows,years,signals,signals_per_year,passed_density,entry.params.band_z,entry.params.min_orderflow_imbalance,lookback_bars,min_bar_range_ticks,orderflow_mode
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,2011-01-03,2026-06-09,1488630,15.433265,2701,175.011575,True,3.0,0.3,30,4.0,signed
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,355,230.308615,True,1.75,0.1,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,328,212.792185,True,1.75,0.2,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,277,179.705595,True,1.75,0.25,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,327,212.143428,True,2.25,0.1,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,284,184.246892,True,2.25,0.2,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,233,151.160302,True,2.25,0.25,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,254,164.784192,True,2.75,0.1,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,208,134.941385,True,2.75,0.2,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,164,106.396092,True,2.75,0.25,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,3555,230.346594,True,1.75,0.1,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,3109,201.447978,True,1.75,0.2,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2711,175.659526,True,1.75,0.25,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,3090,200.216871,True,2.25,0.1,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2505,162.311735,True,2.25,0.2,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2086,135.162586,True,2.25,0.25,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2223,144.039516,True,2.75,0.1,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,1689,109.43893,True,2.75,0.2,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,1342,86.955029,True,2.75,0.25,12,6.0,large10
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,353,229.011101,True,1.75,0.1,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,347,225.118561,True,1.75,0.15,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,327,212.143428,True,1.75,0.2,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,326,211.494671,True,2.25,0.1,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,316,205.007105,True,2.25,0.15,18,6.0,signed
