wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.level_rank_max,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,11,False,3,0.32,0.006,2.5,162,162,162,0,0,0,0,0,0,0,162,113.34621033139646,3202.5,1.156219512195122,0.09183197184658884,2235.0,0.014378769601930037,0.014890457270137603,1.0355863319583953,0.43209876543209874,0,0,True,-345.0,0.21935987509758,7,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,12,False,23,0.24,0.009,2.0,133,133,133,0,0,0,0,0,0,0,133,170.31512569237321,2975.0,1.1554336468129571,0.06659343610562007,3960.0,0.025233376875776595,0.025468200043960776,1.009306054014895,0.48872180451127817,0,0,True,-445.0,0.26554621848739496,6,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,13,False,22,0.24,0.009,1.5,133,133,133,0,0,0,0,0,0,0,133,170.31512569237321,2850.0,1.1489028213166144,0.06322790431528649,3967.5,0.025300110000478264,0.024395289454440583,0.9642364975480116,0.48872180451127817,0,0,True,-445.0,0.22543859649122808,6,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,14,False,15,0.28,0.009,2.5,146,146,146,0,0,0,0,0,0,0,146,186.30926934601433,2690.0,1.129140662506001,0.057634408553731135,3775.0,0.024126801521106956,0.02294097330427669,0.9508501690208351,0.4657534246575342,0,0,True,-445.0,0.3680297397769517,6,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,15,False,26,0.24,0.012,2.0,133,133,133,0,0,0,0,0,0,0,133,170.31512569237321,3060.0,1.1518987341772151,0.05104286828156487,4485.0,0.028774901356943508,0.026197919769189282,0.9104434258249025,0.5037593984962406,0,0,True,-580.0,0.3464052287581699,6,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,16,False,13,0.28,0.009,1.5,146,146,146,0,0,0,0,0,0,0,146,186.30926934601433,2435.0,1.1168987037926068,0.05205427914798117,3617.5,0.023181301164672145,0.020761449627918926,0.8956119192980838,0.4657534246575342,0,0,True,-445.0,0.26386036960985626,6,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,17,False,14,0.28,0.009,2.0,146,146,146,0,0,0,0,0,0,0,146,186.30926934601433,2395.0,1.114978396543447,0.052450315148725654,3775.0,0.0241723762566434,0.02041965484465491,0.8447516548582139,0.4657534246575342,0,0,True,-445.0,0.3298538622129436,6,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,18,False,17,0.28,0.012,2.0,146,146,146,0,0,0,0,0,0,0,146,186.30926934601433,2540.0,1.1166475315729048,0.041076522859762175,4485.0,0.028916827852998067,0.021658778741009188,0.7490025825486121,0.4794520547945205,0,0,True,-580.0,0.41732283464566927,6,False,min_profit_factor;max_best_day_concentration
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,19,False,7,0.32,0.012,1.5,162,162,162,0,0,0,0,0,0,0,162,113.31350032249698,3515.0,1.1519671422395157,0.04937481840122604,4325.0,0.027874452178396493,0.0163336833940102,0.585973252118988,0.47530864197530864,0,0,True,-580.0,0.23826458036984352,7,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,20,False,27,0.24,0.012,2.5,133,133,133,0,0,0,0,0,0,0,133,170.31512569237321,1617.5,1.0786339329120078,0.0298967300573145,4760.0,0.030439161644098416,0.013829592591908968,0.4543355284750514,0.49624060150375937,0,0,True,-580.0,0.7897990726429676,6,False,min_profit_factor;min_expectancy_r;max_best_day_concentration
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,21,False,6,0.32,0.009,2.5,162,162,162,0,0,0,0,0,0,0,162,113.31350032249698,2340.0,1.1015845452572173,0.04827796730210298,3765.0,0.024215722532199193,0.010886263094948445,0.4495535113797734,0.4567901234567901,0,0,True,-445.0,0.4230769230769231,7,False,min_profit_factor;max_best_day_concentration
