n,net,pf,cagr,mar,max_dd,max_dd_pct,worst_day,positive_month_rate,expectancy_ticks,early_net,mid_net,late_net,holdout_net,combo_id,legs,families,all_splits_positive,gate_count,loose,acceptance_shaped,score
1033,153697.5,1.811979132272337,0.047316470011513845,0.9504480082660967,7467.5,0.04978333333333333,-3105.0,0.5738636363636364,14.303000968054212,1315.0,16552.5,82772.5,53057.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h120:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:13:30:w60:h120:source_trades_rank63>=0.9:source_large20_imbalance0.1:long|participation::large20_composition_cont_0.1:10:30:w60:h120:short|volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,7,"participation,volume",True,8,True,True,20.024748484885443
1064,150655.0,1.7422891210090659,0.04670273181988449,1.1321874380578059,6187.5,0.04125,-3742.5,0.5842696629213483,13.727443609022556,4280.0,15842.5,80842.5,49690.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|participation::large20_composition_cont_0.05:10:30:w60:h120:short|participation::broad_trade_flow_cont_0.1:15:00:w5:h60:short,7,"participation,volume",True,8,True,True,20.009122574695578
1096,151782.5,1.766752544770276,0.046959957826137266,1.0513423393911328,6700.0,0.04466666666666667,-3742.5,0.576271186440678,13.479014598540147,587.5,11560.0,84207.5,55427.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:both|participation::large20_composition_cont_0.1:10:30:w30:h120:short|volume::flow_cont:13:30:w30:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:long|volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,7,"participation,volume",True,8,True,True,20.003078442883123
973,155072.5,1.9197793561588992,0.047626585598488536,1.080376232857963,6612.5,0.044083333333333335,-3217.5,0.6136363636363636,15.15005138746146,2730.0,7755.0,83797.5,60790.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h60:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long|volume::flow_cont:11:00:w30:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,7,volume,True,8,True,True,20.002021183078703
939,151680.0,1.801797277652967,0.046859062669315055,1.052618405151218,6677.5,0.04451666666666667,-3742.5,0.5942857142857143,15.322683706070288,552.5,17142.5,86537.5,47447.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w30:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:long|participation::large20_composition_cont_0.1:10:30:w60:h120:short|volume::flow_cont:11:00:w30:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,7,"participation,volume",True,8,True,True,20.001258324523658
1006,150657.5,1.8018708501323966,0.04670330316214888,1.0967507591894061,6387.5,0.042583333333333334,-3742.5,0.5898876404494382,14.380715705765407,595.0,20507.5,77847.5,51707.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|participation::large20_composition_cont_0.1:10:30:w60:h120:short|participation::broad_trade_flow_cont_0.05:15:00:w15:h30:long,7,"participation,volume",True,8,True,True,19.995651121198847
1065,149625.0,1.755348015397236,0.04646696031458264,1.173902155315772,5937.5,0.03958333333333333,-3742.5,0.5955056179775281,13.63943661971831,1247.5,16137.5,76247.5,55992.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|participation::large20_composition_cont_0.1:10:30:w30:h120:short|participation::broad_trade_flow_cont_0.05:15:00:w15:h30:long,7,"participation,volume",True,8,True,True,19.9944172249915
1014,150842.5,1.7735909533822247,0.046668344681001894,1.0959298163836062,6387.5,0.042583333333333334,-3742.5,0.6123595505617978,14.300788954635108,277.5,22772.5,79982.5,47810.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_trades_rank63>=0.9:source_large20_imbalance0.1:long|participation::large20_composition_cont_0.1:10:30:w60:h120:short|participation::broad_trade_flow_cont_0.05:15:00:w15:h30:long,7,"participation,volume",True,8,True,True,19.986632881394343
1050,145562.5,1.955463660381693,0.045529591813741055,1.2849367398045455,5315.0,0.03543333333333333,-3217.5,0.6101694915254238,13.49047619047619,1357.5,6507.5,81552.5,56145.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|volume::flow_cont:10:00:w30:h60:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:both|participation::large20_composition_cont_0.1:10:30:w30:h120:short|volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long|volume::flow_cont:11:00:w30:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,7,"participation,volume",True,8,True,True,19.979483207694965
922,148340.0,1.7924039475968536,0.0461717541736133,1.232890632139207,5617.5,0.03745,-3742.5,0.6057142857142858,15.271149674620391,4930.0,14607.5,82592.5,46210.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_trades_rank63>=0.9:source_large20_imbalance0.1:long|participation::broad_trade_flow_cont_0.1:15:00:w5:h60:short|volume::flow_cont:11:00:w30:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,7,"participation,volume",True,8,True,True,19.97582042663663
