wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.semivar_rank_threshold,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,23,False,4,0.45,0.0,0.004,1.5,220,220,220,0,0,0,0,0,0,0,220,58.86603549934628,9140.0,1.3960996749729144,0.20602530026180604,2020.0,0.012904874464958794,0.015952580338833844,1.2361670299196343,0.5,0,0,True,-350.0,0.05552516411378556,10,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,24,False,23,0.5,0.0,0.005,1.0,248,248,248,0,0,0,0,0,0,0,248,66.35824517402507,10710.0,1.419096067305811,0.1557564050926342,2410.0,0.015577532156938788,0.018624852124193847,1.1956227685203444,0.5766129032258065,0,0,True,-435.0,0.0392156862745098,11,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,25,False,20,0.5,0.0,0.003,1.5,248,248,248,0,0,0,0,0,0,0,248,66.35824517402507,9045.0,1.422663551401869,0.21584977960756124,2082.5,0.01355992902606176,0.015790307274953896,1.1644830326622964,0.5040322580645161,0,0,True,-265.0,0.04201216141514649,11,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,26,False,1,0.45,0.0,0.003,1.0,220,220,220,0,0,0,0,0,0,0,220,58.86618523502224,7405.0,1.4916998671978752,0.2100216597682303,1815.0,0.011784566438333928,0.01297699587126222,1.1011856854614055,0.6136363636363636,0,0,True,-265.0,0.0337609723160027,6,False,preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,27,False,22,0.5,0.0,0.004,1.5,248,248,248,0,0,0,0,0,0,0,248,66.35807638108126,8782.5,1.3302312464749013,0.17021925836543317,2172.5,0.013966794709011717,0.015341399345818685,1.0984194774424543,0.4879032258064516,0,0,True,-350.0,0.05778536863079989,11,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,28,False,31,0.5,0.01,0.003,1.0,234,234,234,0,0,0,0,0,0,0,234,62.61221520452366,7590.0,1.469532941540365,0.189284498815792,2100.0,0.013722799451088022,0.013295422338988505,0.9688564193025766,0.6025641025641025,0,0,True,-265.0,0.03293807641633729,4,False,preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,29,False,25,0.5,0.005,0.003,1.0,242,242,242,0,0,0,0,0,0,0,242,64.75280375852446,7400.0,1.4389086595492289,0.18103992559246948,2080.0,0.013579682705490632,0.012968385947071726,0.9549844593812385,0.5991735537190083,0,0,True,-265.0,0.033783783783783786,5,False,preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,30,False,12,0.45,0.005,0.005,1.5,215,215,215,0,0,0,0,0,0,0,215,57.528171056179325,6640.0,1.2577639751552796,0.11147557912501645,2325.0,0.015288508959395035,0.011657311800824743,0.762488469724913,0.4883720930232558,0,0,True,-435.0,0.09563253012048192,9,False,min_profit_factor;max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,31,False,19,0.5,0.0,0.003,1.0,248,248,248,0,0,0,0,0,0,0,248,66.35824517402507,6575.0,1.367626502655857,0.16230383766503775,2360.0,0.015425340697408411,0.011544996730978418,0.7484435486678149,0.592741935483871,0,0,True,-265.0,0.03802281368821293,5,False,preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,32,False,6,0.45,0.0,0.005,1.5,220,220,220,0,0,0,0,0,0,0,220,58.86603549934628,6645.0,1.2477166821994408,0.10739716246234646,2630.0,0.017165981332811175,0.01166595227915046,0.679597166801765,0.4863636363636364,0,0,True,-435.0,0.09556057185854025,10,False,min_profit_factor;max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,33,False,18,0.45,0.01,0.005,1.5,207,207,207,0,0,0,0,0,0,0,207,55.38758794711219,6617.5,1.2690587517788168,0.11326589120174974,2682.5,0.01763932270261384,0.011618427148314181,0.6586662846523315,0.48792270531400966,0,0,True,-435.0,0.09595768794862108,8,False,min_profit_factor;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,34,False,30,0.5,0.005,0.005,1.5,242,242,242,0,0,0,0,0,0,0,242,64.75263904928092,6200.0,1.2107051826677995,0.08539510466090557,3070.0,0.02021931702176705,0.010896157362768166,0.5388983886566464,0.4793388429752066,0,0,True,-435.0,0.10241935483870968,10,False,min_profit_factor;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,35,False,36,0.5,0.01,0.005,1.5,234,234,234,0,0,0,0,0,0,0,234,62.61205594021377,5972.5,1.2113411181882519,0.08378528149374123,3112.5,0.020499226133631903,0.01050198987403217,0.5123115285216625,0.47863247863247865,0,0,True,-435.0,0.10632063624947677,9,False,min_profit_factor;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,36,False,24,0.5,0.0,0.005,1.5,248,248,248,0,0,0,0,0,0,0,248,66.35807638108126,5790.0,1.187348325513671,0.07787659628534067,3545.0,0.023347712977903647,0.010185485077363499,0.43625193983680866,0.47580645161290325,0,0,True,-435.0,0.10967184801381692,11,False,min_profit_factor;min_mar;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
