point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
21,2015-03-17 15:55:00-04:00,21,480.0,2382.5,152382.5,152382.5,0.0,0.0
22,2015-03-18 13:39:00-04:00,22,-360.0,2022.5,152022.5,152382.5,360.0,0.002362476006103063
23,2015-03-20 15:55:00-04:00,23,-175.0,1847.5,151847.5,152382.5,535.0,0.003510901842403163
24,2015-03-23 15:55:00-04:00,24,-115.0,1732.5,151732.5,152382.5,650.0,0.004265581677686086
25,2015-03-27 15:55:00-04:00,25,285.0,2017.5,152017.5,152382.5,365.0,0.0023952881728544944
26,2015-03-31 12:04:00-04:00,26,-360.0,1657.5,151657.5,152382.5,725.0,0.004757764178957557
27,2015-04-07 15:37:00-04:00,27,-360.0,1297.5,151297.5,152382.5,1085.0,0.00712024018506062
28,2015-04-09 15:55:00-04:00,28,635.0,1932.5,151932.5,152382.5,450.0,0.0029530950076288288
29,2015-04-13 13:24:00-04:00,29,-365.0,1567.5,151567.5,152382.5,815.0,0.0053483831804833236
30,2015-04-16 15:55:00-04:00,30,-90.0,1477.5,151477.5,152382.5,905.0,0.005939002182009089
31,2015-04-21 15:55:00-04:00,31,-5.0,1472.5,151472.5,152382.5,910.0,0.00597181434876052
32,2015-04-27 12:18:00-04:00,32,-375.0,1097.5,151097.5,152382.5,1285.0,0.008432726855117877
33,2015-05-04 15:55:00-04:00,33,-270.0,827.5,150827.5,152382.5,1555.0,0.010204583859695174
34,2015-05-07 15:55:00-04:00,34,-5.0,822.5,150822.5,152382.5,1560.0,0.010237396026446606
35,2015-05-08 15:55:00-04:00,35,25.0,847.5,150847.5,152382.5,1535.0,0.010073335192689449
36,2015-05-11 15:55:00-04:00,36,-215.0,632.5,150632.5,152382.5,1750.0,0.011484258363001001
37,2015-05-12 15:55:00-04:00,37,145.0,777.5,150777.5,152382.5,1605.0,0.01053270552720949
38,2015-05-14 15:55:00-04:00,38,385.0,1162.5,151162.5,152382.5,1220.0,0.008006168687349269
39,2015-05-15 15:55:00-04:00,39,65.0,1227.5,151227.5,152382.5,1155.0,0.00757961051958066
40,2015-05-21 15:55:00-04:00,40,-40.0,1187.5,151187.5,152382.5,1195.0,0.007842107853592111
41,2015-05-28 15:55:00-04:00,41,-10.0,1177.5,151177.5,152382.5,1205.0,0.007907732187094976
42,2015-06-02 15:55:00-04:00,42,120.0,1297.5,151297.5,152382.5,1085.0,0.00712024018506062
43,2015-06-08 12:56:00-04:00,43,-370.0,927.5,150927.5,152382.5,1455.0,0.009548340524666547
44,2015-06-10 15:55:00-04:00,44,60.0,987.5,150987.5,152382.5,1395.0,0.009154594523649369
45,2015-06-11 15:55:00-04:00,45,-145.0,842.5,150842.5,152382.5,1540.0,0.010106147359440881
