run_id,ending_balance,net_pnl,trader_net_pnl,account_ending_balance,final_account_phase,max_drawdown,worst_day,best_day,best_day_concentration,max_consecutive_losses,account_breached,breach_reason,payout_eligible,profit_before_drawdown,drawdown_before_profit,accounts_purchased,accounts_breached,accounts_terminated,challenge_passes,funded_accounts_started,payout_count,gross_payouts,net_payouts,total_challenge_fees
46,54879.7109375,4879.7109375,4879.7109375,51197.5,challenge,2779.6875,-830.0,770.0,0.01707222437780611,4,True,trailing_drawdown,True,True,False,6,4,1,3,3,7,6075.234375,5467.7109375,588.0
47,53885.25,3885.25,3885.25,51060.0,funded,3622.5,-842.5,770.0,0.017036340505558936,5,True,trailing_drawdown,True,True,False,4,3,0,3,3,5,4752.5,4277.25,392.0
48,56451.5625,6451.5625,6451.5625,49932.5,funded,2667.5,-842.5,770.0,0.017393268579173254,5,True,trailing_drawdown,True,True,True,7,5,1,3,3,7,7930.625,7137.5625,686.0
49,51443.34375,1443.34375,1443.34375,51832.5,challenge,2765.0,-842.5,770.0,0.018147537119962292,4,True,trailing_drawdown,True,True,True,7,6,0,4,4,4,2365.9375,2129.34375,686.0
50,53817.921875,3817.921875,3817.921875,50092.5,funded,4261.71875,-842.5,770.0,0.01785817823389575,6,True,trailing_drawdown,True,True,True,6,5,0,3,3,4,4895.46875,4405.921875,588.0
51,54442.96875,4442.96875,4442.96875,50791.5625,funded,3023.75,-842.5,770.0,0.017391304347826087,4,True,trailing_drawdown,True,True,True,4,3,0,2,2,6,5372.1875,4834.96875,392.0
52,55369.421875,5369.421875,5369.421875,51195.0,challenge,2710.9375,-842.5,770.0,0.01755485893416928,3,True,trailing_drawdown,True,True,True,5,3,1,2,2,6,6510.46875,5859.421875,490.0
53,55248.109375,5248.109375,5248.109375,51460.0,funded,3707.34375,-842.5,770.0,0.017531876138433516,8,True,trailing_drawdown,True,True,True,8,7,0,3,3,6,6702.34375,6032.109375,784.0
54,52292.4375,2292.4375,2292.4375,51070.0,challenge,2963.125,-842.5,770.0,0.017482120558519696,4,True,trailing_drawdown,True,True,True,7,6,0,3,3,3,3309.375,2978.4375,686.0
55,49863.125,-136.875,-136.875,50732.5,challenge,2705.0,-842.5,770.0,0.017988552739165987,6,True,trailing_drawdown,True,True,False,6,5,0,4,4,1,501.25,451.125,588.0
56,56219.65625,6219.65625,6219.65625,53398.4375,funded,4140.0,-842.5,770.0,0.01753986332574032,5,True,trailing_drawdown,True,True,False,6,5,0,2,2,5,7564.0625,6807.65625,588.0
57,54827.875,4827.875,4827.875,51692.5,funded,4148.75,-842.5,770.0,0.017082640044370493,5,True,trailing_drawdown,True,True,False,5,4,0,3,3,5,5908.75,5317.875,490.0
58,52140.6875,2140.6875,2140.6875,51140.0,challenge,3483.125,-842.5,770.0,0.018389157561645473,4,True,trailing_drawdown,True,True,True,6,5,0,4,4,3,3031.875,2728.6875,588.0
59,52081.625,2081.625,2081.625,51700.0,funded,2522.5,-842.5,770.0,0.017205742695938775,7,True,trailing_drawdown,True,True,False,6,5,0,4,4,4,2966.25,2669.625,588.0
60,52419.5625,2419.5625,2419.5625,51160.0,challenge,4220.625,-842.5,770.0,0.017891373801916934,4,True,trailing_drawdown,True,True,True,7,6,0,3,3,3,3450.625,3105.5625,686.0
61,53255.8125,3255.8125,3255.8125,52901.875,funded,2845.0,-842.5,770.0,0.01729754015500393,4,True,trailing_drawdown,True,True,False,4,3,0,2,2,4,4053.125,3647.8125,392.0
62,54013.953125,4013.953125,4013.953125,50427.5,challenge,3497.96875,-842.5,770.0,0.017822011341279944,5,True,trailing_drawdown,True,True,False,6,5,0,2,2,5,5113.28125,4601.953125,588.0
63,55848.15625,5848.15625,5848.15625,,,4029.0625,-842.5,770.0,0.016919358382773017,9,True,trailing_drawdown,True,True,False,8,8,0,5,5,6,7369.0625,6632.15625,784.0
64,57721.953125,7721.953125,7721.953125,48760.0,challenge,3151.5625,-842.5,770.0,0.016928657799274487,5,True,trailing_drawdown,True,True,False,6,4,1,2,2,8,9233.28125,8309.953125,588.0
65,56537.328125,6537.328125,6537.328125,51305.0,challenge,3930.0,-842.5,770.0,0.01732965734541158,6,True,trailing_drawdown,True,True,True,6,4,1,2,2,7,7917.03125,7125.328125,588.0
66,55169.34375,5169.34375,5169.34375,50657.5,challenge,3655.9375,-842.5,770.0,0.017662575983484346,6,True,trailing_drawdown,True,True,False,7,6,0,3,3,6,6505.9375,5855.34375,686.0
67,54379.125,4379.125,4379.125,51116.25,funded,3347.5,-842.5,770.0,0.016563592363538587,4,True,trailing_drawdown,True,True,True,4,3,0,3,3,5,5301.25,4771.125,392.0
68,56868.625,6868.625,6868.625,52050.0,challenge,4881.25,-842.5,770.0,0.017247172135737485,4,True,trailing_drawdown,True,True,True,5,4,0,2,2,6,8176.25,7358.625,490.0
69,53808.75,3808.75,3808.75,49957.5,challenge,3648.75,-842.5,770.0,0.017612076852698992,4,True,trailing_drawdown,True,True,False,4,3,0,2,2,4,4667.5,4200.75,392.0
70,52991.3125,2991.3125,2991.3125,50600.0,challenge,2546.25,-842.5,770.0,0.017714384310116755,4,True,trailing_drawdown,True,True,True,5,4,0,3,3,5,3868.125,3481.3125,490.0
71,53251.5,3251.5,3251.5,50547.5,challenge,3512.5,-842.5,770.0,0.01748708340430364,5,True,trailing_drawdown,True,True,False,7,6,0,4,4,5,4375.0,3937.5,686.0
72,58700.140625,8700.140625,8700.140625,50092.5,challenge,3823.4375,-842.5,770.0,0.016805805641949036,8,True,trailing_drawdown,True,True,True,6,4,1,3,3,7,10320.15625,9288.140625,588.0
73,53902.875,3902.875,3902.875,50890.0,challenge,5100.0,-842.5,770.0,0.01803067556492214,5,True,trailing_drawdown,True,True,True,7,6,0,3,3,3,5098.75,4588.875,686.0
74,56638.125,6638.125,6638.125,50734.6875,funded,3236.25,-842.5,770.0,0.016931449617942938,5,True,trailing_drawdown,True,True,False,4,2,1,2,2,8,7811.25,7030.125,392.0
